Feature,55076,56020,56021
高度(mm),1525,1525,1525
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,手刹,手刹,手刹
驱动电机数,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱
首任车主质保政策,-,-,-
陡坡缓降,-,-,-
长度(mm),3620,3620,3620
长*宽*高(mm),3620*1610*1525,3620*1610*1525,3620*1610*1525
钥匙类型,,,
远程启动功能,-,,
远光灯光源,,,
近光灯光源,,,
轴距(mm),2440,2440,2440
轮圈材质,,,
车门数(个),5,5,5
车门开启方式,平开门,平开门,平开门
车道偏离预警系统,-,-,-
车道保持辅助系统,-,-,-
车载空气净化器,-,-,-
车身结构_y,两厢车,两厢车,两厢车
车身结构_x,5门4座两厢车,5门4座两厢车,5门4座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-,-
车联网,-,-,-
车窗防夹手功能,-,-,-
车窗一键升降功能,-,-,-
车型名称,芒果Pro 2022款 135基础版,芒果Pro 2022款 220标准版,芒果Pro 2022款 220高配版
车前雾灯,-,-,-
车内环境氛围灯,-,-,-
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,-,-,-
车体结构,承载式,承载式,承载式
语音识别控制系统,-,-,
行车电脑显示屏幕,,,
蓝牙/车载电话,●,●,●
自适应远近光,-,-,-
自动驻车,-,-,-
自动头灯,-,-,-
能量回收系统,●,●,●
能源类型,纯电动,纯电动,纯电动
胎压监测功能,,,
缺气保用轮胎,-,-,-
级别,微型车,微型车,微型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-
空调温度控制方式,-,,
离去角(°),32,32,32
百公里耗电量(kWh/100km),9.5,9.3,9.3
疲劳驾驶提示,-,-,-
电能当量燃料消耗量(L/100km),1.07,1.05,1.05
电池能量(kWh),12.1,17.28,17.28
电池组质保,八年或12万公里,八年或12万公里,八年或12万公里
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电机类型,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置
电动机总扭矩(N·m),105,105,105
电动机总功率(kW),25,25,25
电动机总功率(Ps),-,-,-
电动机(Ps),34,34,34
电动座椅记忆功能,-,-,-
电动后备厢,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-
满载最小离地间隙(mm),123,123,123
温度分区控制,-,-,-
液晶仪表尺寸,,,
最高车速(km/h),100,100,100
最大满载质量(kg),1220,1220,1220
最大扭矩(N·m),105,105,105
最大功率(kW),25,25,25
无钥匙进入功能,-,,
无钥匙启动系统,-,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,-,-,-
整车质保,三年或12万公里,三年或12万公里,三年或12万公里
整备质量(kg),820,860,860
接近角(°),21,21,21
换挡形式,,,
挡位个数,1,1,1
扬声器数量,,,
扬声器品牌名称,-,-,-
手机无线充电功能,-,-,-
手机互联/映射,,,
慢充时间(小时)_y,8,10,10
慢充时间(小时)_x,8,10,10
感应雨刷功能,-,-,-
快充电量百分比,-,-,-
快充电量(%),-,-,-
快充时间(小时)_y,-,-,-
快充时间(小时)_x,-,-,-
快充功能,-,-,-
座椅材质,,,
座位数(个),4,4,4
并线辅助,-,-,●
巡航系统,-,-,-
导航路况信息显示,-,-,●
宽度(mm),1610,1610,1610
官方0-50km/h加速(s),10,10,10
官方0-100km/h加速(s),30,30,30
安全带未系提醒,,,
天窗类型,-,-,-
大灯高度可调,●,●,●
大灯延时关闭,●,●,●
多媒体/充电接口,,,
多功能方向盘,-,-,-
外后视镜功能,-,-,-
备胎规格,无,无,无
四驱形式,-,-,-
后雨刷,-,-,-
后轮距(mm),1395,1395,1395
后轮胎规格,165/65 R14,165/65 R14,165/65 R14
后电动机最大扭矩(N·m),105,105,105
后电动机最大功率(kW),25,25,25
后排独立空调,-,-,-
后排杯架,-,-,-
后排座椅放倒形式,,,
后悬架类型,未知,未知,未知
后座出风口,-,-,-
后备厢容积(L),-,-,-
后制动器类型,鼓式,鼓式,鼓式
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),3.98万,5.79万,6.19万
厂商,雷丁,雷丁,雷丁
卫星导航系统,-,-,●
助力类型,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-
副座椅调节方式,,,
前轮距(mm),1410,1410,1410
前轮胎规格,165/65 R14,165/65 R14,165/65 R14
前排座椅功能,-,-,-
前悬架类型,未知,未知,未知
前制动器类型,盘式,盘式,盘式
前/后驻车雷达,-,-,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-
前/后排侧气囊,-,-,-
前/后中央扶手,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-
制动力分配(EBD/CBC等),●,●,●
内后视镜功能,-,-,-
全液晶仪表盘,-,-,-
倒车车侧预警系统,-,-,●
低速行车警告,●,●,●
主座椅调节方式,,,
主动刹车/主动安全系统,-,-,-
主/副驾驶座电动调节,-,-,-
主/副驾驶座安全气囊,-,-,主●&nbsp;/&nbsp;副-
中控彩色屏幕,,,
中控屏幕尺寸,,,
中央差速器结构,-,-,-
上市时间,2022.03,2022.03,2022.03
上坡辅助,●,●,●
USB/Type-C接口数量,,,
OTA升级,-,-,-
NEDC纯电续航里程(km)_y,130,200,200
NEDC纯电续航里程(km)_x,130,200,200
LED日间行车灯,-,-,-
ISOFIX儿童座椅接口,●,●,●
ABS防抱死,●,●,●
