Feature,30157,32154,32155,32157,32158,37875,38103,40331,40332,40333,40334,40335,40336
高度(mm),1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,●,-,-,-,-,-,-,-,-
长度(mm),4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655
长*宽*高(mm),4655*1735*1790,4655*1735*1790,4655*1735*1790,4655*1735*1790,4655*1735*1790,4655*1735*1790,4655*1735*1790,4655*1735*1790,4655*1735*1790,4655*1735*1790,4655*1735*1790,4655*1735*1790,4655*1735*1790
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,-,-,○,●,-,●,-,-,-,-,-,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,五菱宏光S3 2018款 1.5L 手动豪华型 国V,五菱宏光S3 2018款 1.5L 手动标准型 国V,五菱宏光S3 2018款 1.5L 手动舒适型 国V,五菱宏光S3 2018款 1.5T 手动舒适型 国V,五菱宏光S3 2018款 1.5T 手动豪华型 国V,五菱宏光S3 2019款 自动离合版 1.5L 手动舒适型 国V,五菱宏光S3 2019款 自动离合版 1.5L 手动豪华型 国V,五菱宏光S3 2019款 1.5L 手动标准型 国VI,五菱宏光S3 2019款 1.5L 手动舒适型 国VI,五菱宏光S3 2019款 1.5L 手动豪华型 国VI,五菱宏光S3 2019款 1.5T 手动标准型 国VI,五菱宏光S3 2019款 1.5T 手动舒适型 国VI,五菱宏光S3 2019款 1.5T 手动豪华型 国VI
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,-,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,-,●,●,●,●,●,-,●,●,-,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,-,-,-,●,-,●,-,-,●,-,-,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●,●
第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●,●,●,●,●,●,●
第三排座椅,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,●,-,-,-,●,-,●,-,-,●,-,-,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,-,-,○,●,-,●,-,-,-,-,-,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),49,49,49,49,49,49,49,49,49,49,49,49,49
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),155,155,155,175,175,155,155,150,150,150,175,175,175
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),112,112,112,150,150,112,112,99,99,99,147,147,147
最大扭矩转速(rpm),3600-4000,3600-4000,3600-4000,2000-3800,2000-3800,3600-4000,3600-4000,3400-4400,3400-4400,3400-4400,2200-3400,2200-3400,2200-3400
最大扭矩(N·m)_y,146.5,146.5,146.5,230,230,146.5,146.5,140,140,140,250,250,250
最大扭矩(N·m)_x,146.5,146.5,146.5,230,230,146.5,146.5,140,140,140,250,250,250
最大功率转速(rpm),5800,5800,5800,5500,5500,5800,5800,-,-,-,-,-,-
最大功率(kW)_y,82,82,82,110,110,82,82,73,73,73,108,108,108
最大功率(kW)_x,82,82,82,110,110,82,82,73,73,73,108,108,108
无钥匙进入系统,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘调节,上下调节,-,-,-,上下调节,-,上下调节,-,-,上下调节,-,-,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),-,1395,1435,1470,1538,1435,1520,1380,1420,1420,1440,1470,1554
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1485,1485,1485,1451,1451,1485,1485,1485,1485,1485,1451,1451,1451
挡位个数,6,6,6,6,6,6,6,6,6,6,6,6,6
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,4-5喇叭,2-3喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,2-3喇叭,2-3喇叭,4-5喇叭,2-3喇叭,2-3喇叭,4-5喇叭
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射功能,●,-,●,●,●,●,●,-,●,●,-,●,●
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,-,●,●,●,●,●,-,●,●,-,●,●
座椅材料,仿皮,织物,仿皮,仿皮,仿皮,仿皮,仿皮,织物,仿皮,仿皮,织物,仿皮,仿皮
座位数(个),7,7,7,7,7,7,7,7,7,7,7,7,7
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.5,7.5,7.5,7.4,7.4,7.7,7.7,6.9,6.9,6.9,7.1,7.1,7.3
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
定速巡航,●,-,-,-,●,-,●,-,-,●,-,-,●
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,-,-,-,●,-,●,-,-,●,-,-,●
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,-,-,-,●,-,●,-,-,●,-,-,●
后轮距(mm),1475,1465,1465,1465,1475,1465,1475,1465,1465,1465,1465,1465,1475
后轮胎规格,205/65 R16,205/65 R16,205/65 R16,205/65 R16,205/65 R16,205/65 R16,205/65 R16,205/65 R16,205/65 R16,205/65 R16,205/65 R16,205/65 R16,205/65 R16
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,-,●,●,●,●,●,-,●,●,-,●,●
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-
