Feature,21246,21247,27688
高度(mm),1940,1940,1940
驻车制动类型,手刹,手刹,手刹
驱动方式,前置后驱,前置四驱,前置四驱
陡坡缓降,-,-,-
长度(mm),4890,4890,4890
长*宽*高(mm),4890*1795*1940,4890*1795*1940,4890*1795*1940
配气机构,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-
道路交通标识识别,-,-,-
进气形式,自然吸气,自然吸气,自然吸气
运动风格座椅,-,-,-
运动外观套件,-,-,-
轴距(mm),2725,2725,2725
转向辅助灯,-,-,-
转向头灯,-,-,-
车顶行李架,●,●,●
车门数(个),5,5,5
车道偏离预警系统,-,-,-
车道保持辅助系统,-,-,-
车载空气净化器,-,-,-
车载电视,-,-,-
车载冰箱,-,-,-
车身结构_y,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),-,-,-
车联网,-,-,-
车窗防夹手功能,●,●,●
车型名称,猎豹Q6 2015款 2.4L 手动两驱精英型,猎豹Q6 2015款 2.4L 手动四驱卓越型,猎豹Q6 2016款 2.4L 手动四驱全能型
车内香氛装置,-,-,-
车内中控锁,●,●,●
车内PM2.5过滤装置,-,-,-
车体结构,非承载式,非承载式,非承载式
负离子发生器,-,-,-
触摸式阅读灯,-,-,-
被动行人保护,-,-,-
行程(mm),-,-,-
行李厢容积(L),-,-,-
行李厢12V电源接口,-,-,-
蓝牙/车载电话,-,●,●
自适应远近光,-,-,-
自动驻车,-,-,-
自动泊车入位,-,-,-
自动头灯,-,-,-
膝部气囊,-,-,-
能源类型,汽油,汽油,汽油
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸径(mm),-,-,-
缸体材料,铸铁,铸铁,铸铁
级别,中型SUV,中型SUV,中型SUV
简称,5挡手动,5挡手动,5挡手动
第二排独立座椅,-,-,-
空气悬架,-,-,-
疲劳驾驶提示,-,-,-
电磁感应悬架,-,-,-
电动后备厢位置记忆,-,-,-
电动后备厢,-,-,-
电动可调踏板,-,-,-
环保标准_y,国V,国V,国V
环保标准_x,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-
燃油标号,92号,92号,92号
燃料形式,汽油,汽油,汽油
温度分区控制,-,-,-
涉水感应系统,-,-,-
油箱容积(L),92,92,92
气缸数(个),4,4,4
气缸排列形式,L,L,L
每缸气门数(个),4,4,4
最高车速(km/h),150,150,150
最小离地间隙(mm),210,210,210
最大马力(Ps),147,147,147
最大扭矩转速(rpm),2600-3200,2600-3200,2600-3200
最大扭矩(N·m)_y,230,230,230
最大扭矩(N·m)_x,230,230,230
最大功率转速(rpm),5000,5000,5000
最大功率(kW)_y,108,108,108
最大功率(kW)_x,108,108,108
无钥匙启动系统,-,-,-
方向盘记忆,-,-,-
方向盘换挡,-,-,-
方向盘加热,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1800,1910,1910
整体主动转向系统,-,-,-
排量(mL),2438,2438,2438
挡位个数,5,5,5
手势控制,-,-,-
感应后备厢,-,-,-
座位数(个),7,7,7
并线辅助,-,-,-
工信部综合油耗(L/100km),9.2,9.5,9.5
尾门玻璃独立开启,-,-,-
导航路况信息显示,-,-,-
宽度(mm),1795,1795,1795
