Feature,49578,49579,50801,50802,50803,58229,58230,58858,58859,58860,58861,58862,58863,58864,58865,59064,59118
高精地图,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-
高度(mm),1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599
驾驶辅助影像,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,双电机,双电机,双电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,双电机,单电机,双电机
驱动方式,前置前驱,双电机四驱,双电机四驱,双电机四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,双电机四驱,前置前驱,双电机四驱
风阻系数(Cd),0.25,0.25,0.246,0.246,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
面部识别,●,●,●,●,-,-,●,-,●,●,-,-,●,●,●,●,●
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4930,4930,4980,4980,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930
长*宽*高(mm),4930*1940*1599,4930*1940*1599,4980*1960*1599,4980*1960*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599
钥匙类型,,,,,,,,,,,,,,,,,
遥控泊车,●,●,●,●,-,-,●,-,●,●,-,-,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,-,-,●,-,●,●,-,-,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,○,○,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○
辅助驾驶芯片,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶系统,,,,,,,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,,,,,,,
轴距(mm),2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915
轮圈材质,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,
