,25251,27638,31878,31879,31880,31881,31882,31883,31884,31885,31886
运动外观套件,-,-,-,-,-,-,-,-,-,-,-
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,●,●,●,●,●,●,●,●,●,●,●
侧滑门,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,●,●,●,●,●,●,●,●,●,●,●
感应后备厢,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●
无钥匙进入系统,●,●,●,●,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘电动调节,●,●,●,●,●,●,●,●,●,●,●
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●
方向盘换挡,●,●,●,●,●,●,●,●,●,●,●
方向盘加热,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-
HUD抬头数字显示,○,○,○,○,○,○,○,○,○,○,○
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-,-,-,-
座椅材质,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●,●,●,●,●
后排座椅电动调节,●,●,●,●,●,●,●,●,●,●,●
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,●,●,●,●,●,●,●,●,●,●,●
前/后排座椅加热,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅按摩,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-
车载电视,○,○,○,○,○,○,○,○,○,○,○
后排液晶屏,○,○,-,-,-,-,○,○,-,-,-
220V/230V电源,●,●,●,●,●,●,●,●,●,●,●
外接音源接口,-,-,-,-,-,-,-,-,-,-,-
CD/DVD,多碟DVD,多碟DVD,多碟DVD,多碟DVD,多碟DVD,多碟DVD,多碟DVD,多碟DVD,多碟DVD,多碟DVD,多碟DVD
扬声器品牌,Naim,Naim,Naim,Naim,Naim,Naim,Naim,Naim,Naim,Naim,Naim
扬声器数量,≥12喇叭,≥12喇叭,≥12喇叭,≥12喇叭,≥12喇叭,≥12喇叭,≥12喇叭,≥12喇叭,≥12喇叭,≥12喇叭,≥12喇叭
近光灯,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气
远光灯,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,○,○,○,○,○,○,○,○,○,○,○
自动头灯,●,●,●,●,●,●,●,●,●,●,●
转向辅助灯,○,○,○,○,○,○,○,○,○,○,○
转向头灯,●,●,●,●,●,●,●,●,●,●,●
前雾灯,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,●,●,●,●,●,●,●,●,●,●,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●,●,●,●,●,●
后视镜记忆,●,●,●,●,●,●,●,●,●,●,●
后风挡遮阳帘,●,●,●,●,●,●,●,●,●,●,●
后排侧遮阳帘,●,●,●,●,●,●,●,●,●,●,●
后排侧隐私玻璃,○,○,○,○,○,○,○,○,○,○,○
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,●,●,●,●,●,●,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,●,●,●,●,●,●,●,●,●,●,●
后座出风口,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,○,○,-,-,-,-,○,○,-,-,-
车型名称,飞驰 2017款 4.0T V8 S 标准版,飞驰 2017款 6.0T W12 S 标准型,飞驰 2015款 4.0T V8 标准版,飞驰 2015款 6.0T W12 标准版,飞驰 2016款 4.0T V8 标准版,飞驰 2016款 6.0T W12 标准版,飞驰 2017款 4.0T V8 标准版,飞驰 2017款 6.0T W12 标准版,飞驰 2015款 4.0T V8 豪华版,飞驰 2015款 6.0T W12 豪华版,飞驰 2015款 6.0T W12 Mulliner
厂商指导价(元),298.00万,393.80万,319.80万,393.80万,278.00万,357.00万,278.00万,357.00万,335.80万,405.80万,435.80万
厂商,宾利,宾利,宾利,宾利,宾利,宾利,宾利,宾利,宾利,宾利,宾利
级别,大型车,大型车,大型车,大型车,大型车,大型车,大型车,大型车,大型车,大型车,大型车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
最大功率(kW)_x,388,467,373,460,373,460,373,460,373,460,460
最大扭矩(N·m)_x,680,820,660,800,660,800,660,800,660,800,800
发动机,4.0T 528马力 V8,6.0T 635马力 W12,4.0T 507马力 V8,6.0T 626马力 W12,4.0T 507马力 V8,6.0T 626马力 W12,4.0T 507马力 V8,6.0T 626马力 W12,4.0T 507马力 V8,6.0T 626马力 W12,6.0T 626马力 W12
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
长*宽*高(mm),5299*1984*1488,5299*1984*1488,5299*1976*1488,5299*1976*1488,5299*1976*1488,5299*1976*1488,5299*1984*1488,5299*1984*1488,5299*1976*1488,5299*1976*1488,5299*1976*1488
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),306,325,295,322,295,320,295,320,295,-,-
官方0-100km/h加速(s),4.9,4.5,5.2,4.6,5.2,4.6,5.2,4.6,5.2,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),10.9,14.7,10.9,14.7,10.9,14.4,10.9,14.7,10.9,-,-
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-
整车质保,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里
长度(mm),5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299
宽度(mm),1984,1984,1976,1976,1976,1976,1984,1984,1976,1976,1976
高度(mm),1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488
轴距(mm),3066,3066,3066,3066,3066,3066,3066,3066,3066,3066,3066
前轮距(mm),1907,1907,-,-,-,-,1907,1907,-,-,-
后轮距(mm),1905,1905,-,-,-,-,1905,1905,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5
油箱容积(L),90,90,90,90,90,90,90,90,90,90,90
行李厢容积(L),-,-,475,475,475,475,-,-,475,475,475
整备质量(kg),2417,2475,2425,2475,2417,2475,2417,2475,2425,-,-
发动机型号,-,-,-,-,-,-,-,-,-,-,-
排量(mL),3993,5998,3993,5998,3993,5998,3993,5998,3993,5998,5998
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
气缸排列形式,V,W,V,W,V,W,V,W,V,W,W
气缸数(个),8,12,8,12,8,12,8,12,8,12,12
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,84,84.5,-,84.5,-,84.5,-,84.5,-,-
行程(mm),-,90.2,89,-,89,-,89,-,89,-,-
最大马力(Ps),528,635,507,626,507,626,507,626,507,626,626
最大功率(kW)_y,388,467,373,460,373,460,373,460,373,460,460
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,680,820,660,800,660,800,660,800,660,800,800
最大扭矩转速(rpm),1700,2000,1750,1700,1700,2000,1700,2000,1750,1700,1700
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,98号,98号,98号,98号,98号,98号,98号,98号,98号,98号,98号
供油方式,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,欧VI,欧VI,欧V,欧VI,欧VI,欧VI,欧VI,欧VI,欧V,欧VI,欧VI
挡位个数,8,8,8,8,8,8,8,8,8,8,8
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱
中央差速器结构,托森式差速器,托森式差速器,托森式差速器,托森式差速器,托森式差速器,托森式差速器,托森式差速器,托森式差速器,托森式差速器,托森式差速器,托森式差速器
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,275/40 R20,275/40 R20,275/40 R20,275/40 R20,275/40 R20,275/40 R20,275/40 R20,275/40 R20,275/40 R20,275/40 R20,275/40 R20
后轮胎规格,275/40 R20,275/40 R20,275/40 R20,275/40 R20,275/40 R20,275/40 R20,275/40 R20,275/40 R20,275/40 R20,275/40 R20,275/40 R20
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
