,23220,23765,23766,24967,25921,25922,28724
皮质方向盘,-,-,-,-,-,-,-
方向盘调节,上下调节(选装),-,上下调节(选装),上下调节,上下调节,上下调节,上下调节(选装)
方向盘电动调节,-,-,-,-,-,-,-
多功能方向盘,●,-,●,●,●,●,●
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-
座椅材质,仿皮,织物,仿皮,仿皮,仿皮,仿皮,仿皮
运动风格座椅,-,-,-,-,-,-,-
座椅高低调节,●,-,●,●,○,●,●
腰部支撑调节,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-
第二排靠背角度调节,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-
前/后排座椅加热,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-
前/后排座椅通风,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-
第二排独立座椅,●,●,●,●,●,●,●
第三排座椅,3座,3座,3座,3座,3座,3座,3座
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,整体放倒,整体放倒,整体放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-
GPS导航系统,●,-,●,●,●,●,●
定位互动服务,-,-,-,-,-,-,-
中控台彩色大屏,●,-,●,●,●,●,●
中控台彩色大屏尺寸,8英寸,-,8英寸,8英寸,8英寸,8英寸,8英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-
蓝牙/车载电话,●,-,●,●,●,●,●
手机互联/映射,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-
外接音源接口,USB+SD卡插槽,USB,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽
CD/DVD,-,单碟CD,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-
扬声器数量,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,●,-,○,●,●,●,○
自适应远近光,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-
前雾灯,●,-,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-
后视镜电动调节,●,-,●,●,●,●,●
后视镜加热,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●
后雨刷,●,-,○,●,○,●,○
感应雨刷,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-
后座出风口,●,●,●,●,●,●,●
温度分区控制,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-
车型名称,北汽幻速H3 2015款 1.5L 手动豪华型,北汽幻速H3 2015款 1.5L 手动标准型,北汽幻速H3 2015款 1.5L 手动舒适型,北汽幻速H3 2016款 H3F 1.5L 手动尊贵型,北汽幻速H3 2016款 H3F 1.5L 手动舒适型,北汽幻速H3 2016款 H3F 1.5L 手动豪华型,北汽幻速H3 2017款 1.5L 手动舒适天窗版
厂商指导价(元),6.28万,5.58万,5.98万,6.78万,5.88万,6.48万,5.98万
厂商,北汽银翔,北汽银翔,北汽银翔,北汽银翔,北汽银翔,北汽银翔,北汽银翔
级别,MPV,MPV,MPV,MPV,MPV,MPV,MPV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2015.09,2015.09,2015.09,2016.06,2016.06,2016.06,2016.12
工信部纯电续驶里程(km),-,-,-,-,-,-,-
最大功率(kW)_x,83,83,83,84,84,84,83
最大扭矩(N·m)_x,150,150,150,150,150,150,150
发动机,1.5L 113马力 L4,1.5L 113马力 L4,1.5L 113马力 L4,1.5L 114马力 L4,1.5L 114马力 L4,1.5L 114马力 L4,1.5L 113马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4660*1770*1800,4660*1770*1800,4660*1770*1800,4720*1790*1800,4720*1790*1780,4720*1790*1800,4660*1770*1800
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
最高车速(km/h),160,160,160,160,160,160,160
官方0-100km/h加速(s),-,-,-,-,-,-,-
实测0-100km/h加速(s),15.79,-,-,-,-,-,-
实测100-0km/h制动(m),44.37,-,-,-,-,-,-
工信部综合油耗(L/100km),7,7,7,6.8,6.8,6.8,7
实测油耗(L/100km),7.2,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),4660,4660,4660,4720,4720,4720,4660
宽度(mm),1770,1770,1770,1790,1790,1790,1770
高度(mm),1800,1800,1800,1800,1780,1800,1800
轴距(mm),2800,2800,2800,2800,2800,2800,2800
前轮距(mm),1450,1450,1450,1500,1500,1500,1450
后轮距(mm),1470,1470,1470,1490,1490,1490,1470
最小离地间隙(mm),-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车门数(个),5,5,5,5,5,5,5
座位数(个),7,7,7,7,7,7,7
油箱容积(L),50,50,50,50,50,50,50
行李厢容积(L),-,-,-,-,-,-,-
整备质量(kg),1428,1428,1428,1424,1424,1424,-
发动机型号,BJ415C,BJ415C,BJ415C,F15C,F15C,F15C,BJ415C
排量(mL),1500,1500,1500,1498,1498,1498,1500
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-
最大马力(Ps),113,113,113,114,114,114,113
最大功率(kW)_y,83,83,83,84,84,84,83
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,150,150,150,150,150,150,150
最大扭矩转速(rpm),3000-5000,3000-5000,3000-5000,3000-5000,3000-5000,3000-5000,3000-5000
发动机特有技术,DVVT,DVVT,DVVT,"DVVT,VIS","DVVT,VIS","DVVT,VIS",DVVT
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
环保标准,国IV(国V),国IV(国V),国IV(国V),国V,国V,国V,国IV(国V)
挡位个数,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
驱动方式,前置后驱,前置后驱,前置后驱,前置前驱,前置前驱,前置前驱,前置后驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,五连杆螺旋弹簧,五连杆螺旋弹簧,五连杆螺旋弹簧,五连杆螺旋弹簧,五连杆螺旋弹簧,五连杆螺旋弹簧,五连杆螺旋弹簧
助力类型,电子液压助力,电子液压助力,电子液压助力,电动助力,电动助力,电动助力,电子液压助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,盘式,鼓式,盘式,鼓式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,195/60 R16,195/60 R15,195/60 R15,195/60 R16,195/60 R16,195/60 R16,195/60 R15
后轮胎规格,195/60 R16,195/60 R15,195/60 R15,195/60 R16,195/60 R16,195/60 R16,195/60 R15
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
