Feature,50893,50894
高度(mm),1625,1625
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动电机数,单电机,双电机
驱动方式,后置后驱,双电机四驱
面部识别,-,-
隐藏电动门把手,●,●
陡坡缓降,●,●
限滑差速器/差速锁,-,-
长度(mm),4700,4700
长*宽*高(mm),4700*1930*1625,4700*1930*1625
钥匙类型,,
配气机构,DOHC,DOHC
道路救援呼叫,●,●
道路交通标识识别,●,●
远程启动功能,,
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
运动风格座椅,-,-
运动外观套件,-,-
辅助驾驶等级,,
轴距(mm),2875,2875
轮圈材质,,
转向辅助灯,-,-
转向头灯,-,-
车顶行李架,-,-
车门数(个),5,5
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,-,-
车载冰箱,-,-
车载CD/DVD,-,-
车身结构_y,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,赛力斯SF5 2021款 华为智选两驱版,赛力斯SF5 2021款 华为智选四驱版
车前雾灯,-,-
车内香氛装置,-,-
车内环境氛围灯,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车体结构,承载式,承载式
超声波雷达数量,,
负离子发生器,-,-
语音识别控制系统,,
触摸式阅读灯,-,-
被动行人保护,-,-
行车电脑显示屏幕,,
行李厢12V电源接口,●,●
蓝牙/车载电话,●,●
自适应远近光,●,●
自动驻车,●,●
自动泊车入位,-,-
自动头灯,●,●
膝部气囊,-,-
能量回收系统,●,●
能源类型,增程式,增程式
胎压监测功能,,
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸体材料,铸铁,铸铁
级别,中型SUV,中型SUV
简称,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-
第二排座椅调节,-,-
第二排座椅电动调节,-,-
第二排座椅功能,-,-
空调温度控制方式,,
空气悬架,-,-
百公里耗电量(kWh/100km),-,-
疲劳驾驶提示,-,-
电磁感应悬架,-,-
电池预加热,●,●
电池能量(kWh),35,35
电池组质保,八年或16万公里,八年或16万公里
电池类型,三元锂电池,三元锂电池
电机类型,交流/异步,前交流/异步 后永磁/同步
电机布局,后置,前置+后置
