,19805,19885,19886,19887,19888,19889,19909,19910,19911,19912,19913,19914
防紫外线/隔热玻璃,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●,●,●,●,●,●,●
后视镜记忆,●,-,-,●,●,●,●,-,-,●,●,●
后风挡遮阳帘,●,●,●,●,●,●,●,●,●,●,●,●
后排侧遮阳帘,●,-,-,●,●,●,●,-,-,●,●,●
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,●,●,●,●,●,●,●,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,捷恩斯 2015款 3.0GDi 四驱豪华版,捷恩斯 2015款 3.0GDi 两驱商务版,捷恩斯 2015款 3.0GDi 两驱精英版,捷恩斯 2015款 3.0GDi 两驱旗舰版,捷恩斯 2015款 3.3GDi 两驱豪华版,捷恩斯 2015款 3.3GDi 两驱旗舰版,捷恩斯 2015款 3.0GDi 两驱豪华版,捷恩斯 2015款 3.0GDi 四驱商务版,捷恩斯 2015款 3.0GDi 四驱精英版,捷恩斯 2015款 3.0GDi 四驱旗舰版,捷恩斯 2015款 3.3GDi 四驱豪华版,捷恩斯 2015款 3.3GDi 四驱旗舰版
厂商指导价(元),45.80万,37.80万,39.80万,53.80万,53.88万,61.88万,43.80万,39.80万,41.80万,55.80万,56.88万,64.88万
厂商,现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口)
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2014.08,2014.08,2014.08,2014.08,2014.08,2014.08,2014.08,2014.08,2014.08,2014.08,2014.08,2014.08
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,189,189,189,189,207,207,189,189,189,189,207,207
最大扭矩(N·m)_x,304,304,304,304,347,347,304,304,304,304,347,347
发动机,3.0L 257马力 V6,3.0L 257马力 V6,3.0L 257马力 V6,3.0L 257马力 V6,3.3L 282马力 V6,3.3L 282马力 V6,3.0L 257马力 V6,3.0L 257马力 V6,3.0L 257马力 V6,3.0L 257马力 V6,3.3L 282马力 V6,3.3L 282马力 V6
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
长*宽*高(mm),4990*1890*1480,4990*1890*1480,4990*1890*1480,4990*1890*1480,4990*1890*1480,4990*1890*1480,4990*1890*1480,4990*1890*1480,4990*1890*1480,4990*1890*1480,4990*1890*1480,4990*1890*1480
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),230,230,230,230,240,240,230,230,230,230,240,240
官方0-100km/h加速(s),8.6,8.6,8.6,8.6,7.5,7.5,8.6,8.6,8.6,8.6,7.5,7.5
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),10.6,10.6,10.6,10.9,10.6,11,10.6,10.6,10.6,10.9,11.5,11.5
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-
整车质保,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里
长度(mm),4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990
宽度(mm),1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
高度(mm),1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480
轴距(mm),3010,3010,3010,3010,3010,3010,3010,3010,3010,3010,3010,3010
前轮距(mm),1628,1638,1638,1628,1628,1628,1628,1638,1638,1628,1628,1628
后轮距(mm),1659,1669,1669,1659,1659,1659,1659,1669,1669,1659,1659,1659
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5
油箱容积(L),77,77,77,77,77,77,77,77,77,77,77,77
行李厢容积(L),433,433,433,433,433,433,433,433,433,433,433,433
整备质量(kg),1970,1920,1920,2020,1980,2020,1920,1970,1970,2020,2085,2085
发动机型号,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),2999,2999,2999,2999,3342,3342,2999,2999,2999,2999,3342,3342
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,V,V,V,V,V,V,V,V,V,V,V,V
气缸数(个),6,6,6,6,6,6,6,6,6,6,6,6
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
压缩比,11,11,11,11,11.5,11.5,11,11,11,11,11.5,11.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),92,92,92,92,92,92,92,92,92,92,92,92
行程(mm),75.2,75.2,75.2,75.2,83.8,83.8,75.2,75.2,75.2,75.2,83.8,83.8
最大马力(Ps),257,257,257,257,282,282,257,257,257,257,282,282
最大功率(kW)_y,189,189,189,189,207,207,189,189,189,189,207,207
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,304,304,304,304,347,347,304,304,304,304,347,347
最大扭矩转速(rpm),5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V)
挡位个数,8,8,8,8,8,8,8,8,8,8,8,8
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
驱动方式,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,全时四驱,-,-,-,-,-,-,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱
中央差速器结构,待查,-,-,-,-,-,-,待查,待查,待查,待查,待查
前悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,电子驻车,脚刹,脚刹,电子驻车,电子驻车,电子驻车,电子驻车,脚刹,脚刹,电子驻车,电子驻车,电子驻车
前轮胎规格,245/45 R18 ,225/55 R17 ,225/55 R17 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,225/55 R17 ,225/55 R17 ,245/45 R18 ,245/45 R18 ,245/45 R18 
后轮胎规格,245/45 R18 ,225/55 R17 ,225/55 R17 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,225/55 R17 ,225/55 R17 ,245/45 R18 ,245/45 R18 ,245/45 R18 
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
