,1004577,1004578,1004579,1004580,1004581,1004582,1004583,1004584
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-
发动机,1.2L 88马力 L4,1.2L 88马力 L4,1.2L 88马力 L4,1.2L 88马力 L4,1.2L 88马力 L4,1.2L 88马力 L4,1.2L 88马力 L4,1.2L 88马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),5360×1700×2135,5035×1700×2050,5365×1650×2070,5055×1650×1990,5550×1700×2100,5390×1700×2100,5060×1700×2040,5545×1650×2060
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车
最高车速(km/h),-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-
长度(mm),5360,5035,5365,5055,5550,5390,5060,5545
宽度(mm),1700,1700,1650,1650,1700,1700,1700,1650
高度(mm),2135,2050,2070,1990,2100,2100,2040,2060
轴距(mm),3400,2990,3400,2990,3400,3400,2990,3400
前轮距(mm),1330,1330,1372,1372,1330,1330,1330,1372
后轮距(mm),1210,1210,1300,1300,1210,1210,1210,1300
最小离地间隙(mm),-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车
车门数(个),4,2,4,2,4,4,2,4
座位数(个),5,2,5,2,5,5,2,5
后排车门开启方式,平开门,-,平开门,-,平开门,平开门,-,平开门
油箱容积(L),-,-,-,-,-,-,-,-
货箱尺寸(mm),2550x1500x360,3050x1500x360,2550x1450x360,3050x1450x360,2710x1500x360,2550x1500x360,3050x1500x360,2710x1450x360
最大载重质量(kg),-,-,-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
前悬架类型,未知,未知,未知,未知,未知,未知,未知,未知
后悬架类型,整体桥式非独立悬架,整体桥式非独立悬架,整体桥式非独立悬架,整体桥式非独立悬架,整体桥式非独立悬架,整体桥式非独立悬架,整体桥式非独立悬架,整体桥式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,165 R14LT,165 R14LT,165 R14LT,165 R14LT,165 R14LT,165 R14LT,165 R14LT,165 R14LT
后轮胎规格,165 R14LT,165 R14LT,165 R14LT,165 R14LT,165 R14LT,165 R14LT,165 R14LT,165 R14LT
发动机型号,DK12-10,DK12-10,DK12-10,DK12-10,DK12-10,DK12-10,DK12-10,DK12-10
排量(mL),1240,1240,1240,1240,1240,1240,1240,1240
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7
行程(mm),81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2
最大马力(Ps),88,88,88,88,88,88,88,88
最大功率(kW)_y,65,65,65,65,65,65,65,65
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,115,115,115,115,115,115,115,115
最大扭矩转速(rpm),4400,4400,4400,4400,4400,4400,4400,4400
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝,铝,铝,铝,铝,铝,铝,铝
缸体材料,铝,铝,铝,铝,铝,铝,铝,铝
环保标准,国V,国V,国V,国V,国V,国V,国V,国V
电机类型,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-
