Feature,1006145,1006146,1006147,1006148,1006149,1006150,1006151,1006152,1006153,1006154,1006155,1006156,1006157,1006158,1006159,1006160,1006161,1006162,1006163,1006164,1006165,1006166,1006167,1006168,1006169,1006170,1006171,1006172,1006579,1006580,1006582,1006583,1006584,1006585,1006586,1006587,1006588,1006589,1006590,1006591
高度(mm),2030,2020,2090,2070,2090,2070,2090,2070,2510,2510,2510,2510,2550,2550,2550,2550,2550,2550,2550,2550,2070,2090,2550,2550,2550,2550,2070,2070,2065,2050,2065,2050,2065,2065,2475,2475,2475,2510,2510,2510
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4950,5050,5250,5250,5230,5230,5250,5250,5250,5250,5250,5250,5310,5310,5320,5340,5310,5310,5360,5340,5230,5230,5310,5360,5310,5360,5230,5300,5745,5495,5585,5495,5745,5585,5495,5585,5745,5565,5655,5815
长*宽*高(mm),4950×1730×2030,5050×1730×2020,5250×1730×2090,5250×1730×2070,5230×1730×2090,5230×1730×2070,5250×1730×2090,5250×1730×2070,5250×1730×2510,5250×1730×2510,5250×1730×2510,5250×1730×2510,5310×1770×2550,5310×1770×2550,5320×1770×2550,5340×1770×2550,5310×1770×2550,5310×1770×2550,5360×1770×2550,5340×1770×2550,5230×1730×2070,5230×1730×2090,5310×1770×2550,5360×1760×2550,5310×1770×2550,5360×1760×2550,5230×1730×2070,5300×1730×2070,5745×1725×2065,5495×1725×2050,5585×1725×2065,5495×1725×2050,5745×1725×2065,5585×1725×2065,5495×1725×2475,5585×1725×2475,5745×1725×2475,5565×1820×2510,5655×1770×2510,5815×1770×2510
铝合金轮圈,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,未知,未知,DOHC,DOHC,未知,未知,DOHC,DOHC,未知,未知,DOHC,DOHC,DOHC,DOHC,未知,未知,DOHC,DOHC,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
