Feature,1011838,1011839,1011840,1011841,1011842,1011843
高度(mm),1965,1975,1965,2450,2450,2410
驾驶辅助影像,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-
长度(mm),5005,5310,5005,5080,5080,5105
长*宽*高(mm),5005×1600×1965,5310×1600×1975,5005×1600×1965,5080×1670×2450,5080×1670×2450,5105×1600×2410
钥匙类型,,,,,,
道路救援呼叫,-,-,-,-,-,-
远光灯光源,,,,,,
近光灯光源,,,,,,
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-
轴距(mm),3200,3200,3200,3200,3200,3200
轮圈材质,,,,,,
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-
车门数(个),2,4,2,2,2,2
车载冰箱,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-
车型名称,长安神骐T10EV 2021款 纯电动载货汽车单排长续航版46.368kWh,长安神骐T10EV 2021款 纯电动载货汽车双排长续航版46.368kWh,长安神骐T10EV 2021款 纯电动载货汽车单排标准版38.64kWh,长安神骐T10EV 2021款 纯电动厢式运输车单排标准版38.64kWh,长安神骐T10EV 2021款 纯电动厢式运输车单排长续航版46.368kWh,长安神骐T10EV 2021款 纯电动仓栅式运输车单排长续航版46.368kWh
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),3010x1520x375,2520x1520x375,3010x1520x375,3070x1575x1650,3070x1575x1650,3010x1520x375
行车电脑显示屏幕,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-
