,24346,24456,24733,24734,27540,35266
电动座椅记忆,●,●,●,●,●,○
前/后排座椅加热,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○
前/后排座椅通风,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-
前/后排座椅按摩,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-
GPS导航系统,●,●,○,●,●,●
道路救援呼叫,-,-,-,-,-,●
中控台彩色大屏,●,●,●,●,●,●
中控台彩色大屏尺寸,7英寸,7英寸,7英寸,7英寸,7英寸,11英寸
中控液晶屏分屏显示,-,-,-,-,-,-
蓝牙/车载电话,●,●,○,●,●,●
手机互联/映射,-,-,-,-,-,○
车联网,-,-,-,-,-,●
车载电视,○,○,○,○,○,-
后排液晶屏,○,○,○,○,○,-
220V/230V电源,-,-,-,-,-,-
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
CD/DVD,单碟DVD(选装多碟DVD),单碟DVD(选装多碟DVD),单碟DVD(选装多碟DVD),单碟DVD(选装多碟DVD),单碟DVD(选装多碟DVD),单碟DVD(选装多碟DVD)
扬声器品牌,(选装BOSE + Burmester柏林之声),BOSE(选装Burmester柏林之声),(选装BOSE + Burmester柏林之声),(选装BOSE + Burmester柏林之声),BOSE(选装Burmester柏林之声),(选装BOSE + Burmester柏林之声)
扬声器数量,10-11喇叭(选装≥12喇叭),≥12喇叭,10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),≥12喇叭,10-11喇叭(选装≥12喇叭)
近光灯,氙气(选装LED),氙气(选装LED),氙气(选装LED),氙气(选装LED),氙气(选装LED),LED
远光灯,氙气(选装LED),氙气(选装LED),氙气(选装LED),氙气(选装LED),氙气(选装LED),LED
LED日间行车灯,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-
转向头灯,●,●,○,○,●,○
前雾灯,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●
大灯清洗装置,●,●,●,●,●,-
车内氛围灯,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●
内/外后视镜自动防眩目,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○
流媒体车内后视镜,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●
后视镜记忆,●,●,●,●,●,○
后风挡遮阳帘,-,-,-,-,-,-
后排侧遮阳帘,○,○,○,○,○,○
后排侧隐私玻璃,●,●,●,●,●,●
遮阳板化妆镜,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●
感应雨刷,●,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,●,●,●,●,●,●
后座出风口,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车型名称,Macan 2017款 Macan GTS 3.0T,Macan 2017款  Macan Turbo 3.6T,Macan 2017款  Macan 2.0T,Macan 2017款  Macan S 3.0T,Macan 2017款 Macan Turbo 3.6T with Performance Package,Macan 2018款 Macan 2.0T
厂商指导价(元),82.80万,92.80万,55.00万,64.80万,102.80万,55.80万
厂商,保时捷,保时捷,保时捷,保时捷,保时捷,保时捷
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2015.12,2015.12,2015.12,2015.12,2018.05,2018.07
工信部纯电续驶里程(km),-,-,-,-,-,-
最大功率(kW)_x,265,294,185,250,324,185
最大扭矩(N·m)_x,500,550,370,460,600,370
发动机,3.0T 360马力 V6,3.6T 400马力 V6,2.0T 252马力 L4,3.0T 340马力 V6,3.6T 441马力 V6,2.0T 252马力 L4
变速箱,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合
长*宽*高(mm),4692*1926*1609,4699*1923*1624,4681*1923*1624,4681*1923*1624,4699*1923*1609,4696*1923*1624
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),256,266,229,254,272,-
官方0-100km/h加速(s),5.2,4.8,6.7,5.4,4.4,6.5
实测0-100km/h加速(s),5.35,-,-,-,-,-
实测100-0km/h制动(m),37.13,-,-,-,-,-
工信部综合油耗(L/100km),9.8,9.9,7.9,9.8,9.9,8.1
实测油耗(L/100km),-,-,-,-,-,-
整车质保,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里
长度(mm),4692,4699,4681,4681,4699,4696
宽度(mm),1926,1923,1923,1923,1923,1923
高度(mm),1609,1624,1624,1624,1609,1624
轴距(mm),2807,2807,2807,2807,2807,2807
前轮距(mm),-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5
座位数(个),5,5,5,5,5,5
油箱容积(L),65,75,65,65,75,-
行李厢容积(L),500-1500,500-1500,500-1500,500-1500,500-1500,500-1500
整备质量(kg),-,-,-,-,-,-
发动机型号,-,-,EA888,-,-,EA888
排量(mL),2997,3604,1984,2997,3604,1984
进气形式,双涡轮增压,双涡轮增压,涡轮增压,双涡轮增压,双涡轮增压,涡轮增压
气缸排列形式,V,V,L,V,V,L
气缸数(个),6,6,4,6,6,4
每缸气门数(个),4,4,4,4,4,4
压缩比,9.8,10.5,9.6,9.8,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-
行程(mm),-,-,-,-,-,-
最大马力(Ps),360,400,252,340,441,252
最大功率(kW)_y,265,294,185,250,324,185
最大功率转速(rpm),6000,6000,5000-6800,5500-6500,6000,5000-6800
最大扭矩(N·m)_y,500,550,370,460,600,370
最大扭矩转速(rpm),1650-4000,1350-4500,1500-4500,1450-5000,1500-4500,1600-4500
发动机特有技术,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,混合喷射,直喷,直喷,混合喷射
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铸铁,铝合金,铝合金,铸铁
环保标准,欧V,欧V,欧V,欧V,欧V,欧V
挡位个数,7,7,7,7,7,7
变速箱类型,双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT)
简称,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱
中央差速器结构,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器
前悬架类型,双摇臂独立悬架,双摇臂独立悬架,双摇臂独立悬架,双摇臂独立悬架,双摇臂独立悬架,双摇臂独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,265/45 R20,235/55 R19,235/60 R18,235/60 R18,235/55 R19,235/60 R18
后轮胎规格,295/40 R20,255/50 R19,255/55 R18,255/55 R18,255/50 R19,255/55 R18
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
