,30947,30948,30949,30950,30951,30975,30976,30977,35109,35110,36144,36145,36146,36147,36148,36149,36150,36151,36238,36239,36240,36241,36242,36243,36244,36256,36257,36258,36259,36260,36261
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,本田CR-V 2017款 240TURBO CVT两驱都市版,本田CR-V 2017款 240TURBO CVT两驱风尚版,本田CR-V 2017款 240TURBO CVT四驱豪华版,本田CR-V 2017款 240TURBO CVT四驱尊贵版,本田CR-V 2017款 240TURBO CVT四驱尊耀版,本田CR-V 2017款 混动 2.0L 净速版,本田CR-V 2017款 混动 2.0L 净驰版,本田CR-V 2017款 混动 2.0L 净致版,本田CR-V 2018款 240TURBO 手动两驱经典版,本田CR-V 2018款 240TURBO CVT两驱舒适版,本田CR-V 2019款 锐·混动 2.0L 两驱净速版 国V,本田CR-V 2019款 锐·混动 2.0L 两驱净驰版 国V,本田CR-V 2019款 锐·混动 2.0L 两驱净致版 国V,本田CR-V 2019款 锐·混动 2.0L 四驱净享版 国V,本田CR-V 2019款 锐·混动 2.0L 两驱净速版 国VI,本田CR-V 2019款 锐·混动 2.0L 两驱净驰版 国VI,本田CR-V 2019款 锐·混动 2.0L 两驱净致版 国VI,本田CR-V 2019款 锐·混动 2.0L 四驱净享版 国VI,本田CR-V 2019款 240TURBO 手动两驱经典版 国V,本田CR-V 2019款 240TURBO CVT两驱舒适版 国V,本田CR-V 2019款 240TURBO CVT两驱都市版 国V,本田CR-V 2019款 240TURBO CVT两驱风尚版 国V,本田CR-V 2019款 240TURBO CVT四驱豪华版 国V,本田CR-V 2019款 240TURBO CVT四驱尊贵版 国V,本田CR-V 2019款 240TURBO CVT四驱尊耀版 国V,本田CR-V 2019款 240TURBO CVT两驱舒适版 国VI,本田CR-V 2019款 240TURBO CVT两驱都市版 国VI,本田CR-V 2019款 240TURBO CVT两驱风尚版 国VI,本田CR-V 2019款 240TURBO CVT四驱豪华版 国VI,本田CR-V 2019款 240TURBO CVT四驱尊贵版 国VI,本田CR-V 2019款 240TURBO CVT四驱尊耀版 国VI
厂商指导价(元),19.28万,20.38万,21.38万,23.18万,24.98万,21.98万,23.98万,25.98万,16.98万,17.98万,22.18万,24.18万,25.98万,27.68万,22.18万,24.18万,25.98万,27.68万,16.98万,17.98万,19.28万,20.38万,21.38万,23.18万,24.98万,17.98万,19.28万,20.38万,21.38万,23.18万,24.98万
厂商,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2017.07,2017.07,2017.07,2017.07,2017.07,2017.07,2017.07,2017.07,2018.07,2018.07,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10
最大功率(kW)_x,142,142,142,142,142,158,158,158,142,142,158,158,158,158,158,158,158,158,142,142,142,142,142,142,142,142,142,142,142,142,142
最大扭矩(N·m)_x,243,243,243,243,243,-,-,-,243,243,-,-,-,-,-,-,-,-,243,243,243,243,243,243,243,243,243,243,243,243,243
发动机,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4
变速箱,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,6挡手动,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,6挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
长*宽*高(mm),4585*1855*1679,4585*1855*1679,4585*1855*1689,4585*1855*1689,4585*1855*1689,4585*1855*1679,4585*1855*1679,4585*1855*1679,4585*1855*1679,4585*1855*1679,4585*1855*1679,4585*1855*1679,4585*1855*1679,4585*1855*1689,4585*1855*1679,4585*1855*1679,4585*1855*1679,4585*1855*1689,4585*1855*1679,4585*1855*1679,4585*1855*1679,4585*1855*1679,4585*1855*1689,4585*1855*1689,4585*1855*1689,4585*1855*1679,4585*1855*1679,4585*1855*1679,4585*1855*1689,4585*1855*1689,4585*1855*1689
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),9.6,9.6,9.9,9.9,9.9,9.3,9.3,9.3,9.4,9.5,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.4,9.5,9.6,9.6,9.9,9.9,9.9,9.5,9.6,9.6,9.9,9.9,9.9
实测0-100km/h加速(s),-,-,-,-,9.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,39.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6.2,6.4,6.7,6.7,6.7,4.8,4.8,4.8,6.6,6.6,4.8,4.8,4.8,5.1,5,5,5,5.3,6.6,6.6,6.2,6.4,6.7,6.7,6.7,6.6,6.2,6.4,6.7,6.7,6.7
实测油耗(L/100km),-,-,-,-,7.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585
宽度(mm),1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855
高度(mm),1679,1679,1689,1689,1689,1679,1679,1679,1679,1679,1679,1679,1679,1689,1679,1679,1679,1689,1679,1679,1679,1679,1689,1689,1689,1679,1679,1679,1689,1689,1689
轴距(mm),2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
油箱容积(L),57,57,57,57,57,57,57,57,57,57,57,57,57,57,53,53,53,53,57,57,57,57,57,57,57,53,53,53,53,53,53
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1535,1556,1609,1625,1633,1642,1651,1659,1485,1517,1642,1651,1659,1716,1642,1651,1659,1716,1501,1530,1535,1556,1609,1625,1633,1530,1535,1556,1609,1625,1633
发动机型号,L15BL,L15BL,L15BL,L15BL,L15BL,LFA11,LFA11,LFA11,L15BL,L15BL,LFA11,LFA11,LFA11,LFA11,LFA11,LFA11,LFA11,LFA11,L15BL,L15BL,L15BL,L15BL,L15BL,L15BL,L15BL,L15BL,L15BL,L15BL,L15BL,L15BL,L15BL
排量(mL),1498,1498,1498,1498,1498,1993,1993,1993,1498,1498,1993,1993,1993,1993,1993,1993,1993,1993,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,10.3,10.3,10.3,10.3,10.3,13,13,13,10.3,10.3,13,13,13,13,13,13,13,13,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),193,193,193,193,193,146,146,146,193,193,146,146,146,146,146,146,146,146,193,193,193,193,193,193,193,193,193,193,193,193,193
最大功率(kW)_y,142,142,142,142,142,107,107,107,142,142,107,107,107,107,107,107,107,107,142,142,142,142,142,142,142,142,142,142,142,142,142
最大功率转速(rpm),5600,5600,5600,5600,5600,6200,6200,6200,5600,5600,6200,6200,6200,6200,6200,6200,6200,6200,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
最大扭矩(N·m)_y,243,243,243,243,243,175,175,175,243,243,175,175,175,175,175,175,175,175,243,243,243,243,243,243,243,243,243,243,243,243,243
最大扭矩转速(rpm),2000-5000,2000-5000,2000-5000,2000-5000,2000-5000,4000,4000,4000,2000-5000,2000-5000,4000,4000,4000,4000,4000,4000,4000,4000,2000-5000,2000-5000,2000-5000,2000-5000,2000-5000,2000-5000,2000-5000,2000-5000,2000-5000,2000-5000,2000-5000,2000-5000,2000-5000
发动机特有技术,-,-,-,-,-,i-VTEC,i-VTEC,i-VTEC,-,-,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,-,-,-,-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,直喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国VI
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,135,135,135,-,-,135,135,135,135,135,135,135,135,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,315,315,315,-,-,315,315,315,315,315,315,315,315,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,135,135,135,-,-,135,135,135,135,135,135,135,135,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,315,315,315,-,-,315,315,315,315,315,315,315,315,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
系统综合功率(kW),-,-,-,-,-,158,158,158,-,-,158,158,158,158,158,158,158,158,-,-,-,-,-,-,-,-,-,-,-,-,-
系统综合扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,单电机,单电机,单电机,-,-,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,-,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,前置,前置,前置,-,-,前置,前置,前置,前置,前置,前置,前置,前置,-,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,锂离子电池,锂离子电池,锂离子电池,-,-,锂离子电池,锂离子电池,锂离子电池,锂离子电池,锂离子电池,锂离子电池,锂离子电池,锂离子电池,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,10年或20万公里,10年或20万公里,10年或20万公里,-,-,10年或20万公里,10年或20万公里,10年或20万公里,10年或20万公里,10年或20万公里,10年或20万公里,10年或20万公里,10年或20万公里,-,-,-,-,-,-,-,-,-,-,-,-,-
快充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
慢充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,6,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,6,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),手动变速箱(MT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
简称,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,6挡手动,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,6挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
驱动方式,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱
四驱形式,-,-,适时四驱,适时四驱,适时四驱,-,-,-,-,-,-,-,-,适时四驱,-,-,-,适时四驱,-,-,-,-,适时四驱,适时四驱,适时四驱,-,-,-,适时四驱,适时四驱,适时四驱
中央差速器结构,-,-,多片离合器,多片离合器,多片离合器,-,-,-,-,-,-,-,-,多片离合器,-,-,-,多片离合器,-,-,-,-,多片离合器,多片离合器,多片离合器,-,-,-,多片离合器,多片离合器,多片离合器
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,235/65 R17,235/65 R17,235/65 R17,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/65 R17,235/65 R17,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/65 R17,235/65 R17,235/65 R17,235/65 R17,235/65 R17,235/60 R18,235/60 R18,235/65 R17,235/65 R17,235/65 R17,235/65 R17,235/60 R18,235/60 R18
后轮胎规格,235/65 R17,235/65 R17,235/65 R17,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/65 R17,235/65 R17,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/65 R17,235/65 R17,235/65 R17,235/65 R17,235/65 R17,235/60 R18,235/60 R18,235/65 R17,235/65 R17,235/65 R17,235/65 R17,235/60 R18,235/60 R18
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,无,无,无,非全尺寸,非全尺寸,无,无,无,无,无,无,无,无,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
