Feature,1002206,1003089,1003090,1003091,1003092,1003093,1003094,1003095,1003096,1003102,1003103,1003104,1003105,1003106,1003107,1005751
高度(mm),2360,2650,2650,2360,2360,2650,2650,2360,2650,2650,2360,2650,2650,2360,2360,2650
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
长度(mm),5960,5960,5960,5960,5960,5960,5960,5295,5960,6005,5295,5960,5960,5960,5960,5960
长*宽*高(mm),5960×1995×2360,5960×1995×2650,5960×1995×2650,5960×1995×2360,5960×1995×2360,5960×1995×2650,5960×1995×2650,5295×1995×2360,5960×1995×2650,6005×1995×2650,5295×1995×2360,5960×1995×2650,5960×1995×2650,5960×1995×2360,5960×1995×2360,5960×2020×2650
铝合金轮圈,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,DOHC,DOHC,DOHC,DOHC,DOHC,-
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3665,3665,3665,3665,3665,3665,3665,3255,3665,3665,3255,3665,3665,3665,3665,3665
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,货车,货车,货车,客车,客车,货车,货车,货车,货车,货车,货车
车身结构_x,客车,客车,客车,客车,客车,货车,货车,货车,客车,客车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,开沃D11 2015款 2.8T商务版低顶JE4D28B,开沃D11 2015款 2.8T客运版高顶JE4D28B,开沃D11 2015款 2.8T客运版高顶JE493ZLQ4,开沃D11 2015款 2.8T客运版低顶JE4D28B,开沃D11 2015款 2.8T客运版低顶JE493ZLQ4,开沃D11 2015款 2.8T物流版高顶JE4D28B,开沃D11 2015款 2.8T物流版高顶JE493ZLQ4,开沃D11 2015款 2.8T快运版紧凑JE4D28B,开沃D11 2015款 2.8T商务版高顶JE4D28B,开沃D11 2015款 通勤版高顶纯电动低功,开沃D11 2015款 2.8T物流版紧凑JE4D28B,开沃D11 2015款 2.8T快运版高顶JE4D28B,开沃D11 2015款 2.8T快运版高顶JE493ZLQ4,开沃D11 2015款 2.8T快运版低顶JE4D28B,开沃D11 2015款 2.8T快运版低顶JE493ZLQ4,开沃D11 2017款 纯电动厢式运输车
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,纯电动,柴油,柴油,柴油,柴油,柴油,纯电动
胎压监测装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝,铝,铝,铝,铝,铝,铝,铝,铝,-,铝,铝,铝,铝,铝,-
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铁,铁,铁,铁,铁,铁,铁,铁,铁,-,铁,铁,铁,铁,铁,-
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,6挡手动,6挡手动,电动车单速变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,电动车单速变速箱
第二排靠背角度调节,●,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.5
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,750
电动机总功率(kW),-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,120
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,-,国IV,国IV,国IV,国IV,国IV,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,-,0号,0号,0号,0号,0号,-
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,纯电动,柴油,柴油,柴油,柴油,柴油,纯电动
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),80,80,80,80,80,80,80,80,80,-,80,80,80,80,80,-
气缸数(个),4,4,4,4,4,4,4,4,4,-,4,4,4,4,4,-
气缸排列形式,L,L,L,L,L,L,L,L,L,-,L,L,L,L,L,-
每缸气门数(个),4,4,4,4,4,4,4,4,4,-,4,4,4,4,4,-
最高车速(km/h),140,140,140,140,140,140,140,140,140,120,140,140,140,140,140,100
最小离地间隙(mm),190,190,190,190,190,190,190,190,190,-,190,190,190,190,190,-
最大马力(Ps),125,125,109,125,109,125,109,125,125,82,125,125,109,125,109,163
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),1600,1600,1600-2600,1600,1600-2600,1600,1600-2600,1600,1600,-,1600,1600,1600-2600,1600,1600-2600,-
最大扭矩(N·m)_y,320,320,320,320,320,320,320,320,320,-,320,320,320,320,320,750
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,750
最大功率转速(rpm),3200,3200,3200,3200,3200,3200,3200,3200,3200,-,3200,3200,3200,3200,3200,-
最大功率(kW)_y,92,92,80,92,80,92,80,92,92,60,92,92,80,92,80,120
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,120
无钥匙进入系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,两年或8万公里,两年或8万公里,两年或8万公里,两年或8万公里,两年或8万公里,两年或8万公里,两年或8万公里,两年或8万公里,两年或8万公里,五年或10万公里,两年或8万公里,两年或8万公里,两年或8万公里,两年或8万公里,两年或8万公里,-
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2910
排量(mL),2776,2776,-,2776,-,2776,-,2776,2776,-,2776,2776,-,2776,-,-
挡位个数,6,6,6,6,6,5,5,6,6,1,6,6,6,6,6,1
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
慢充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量百分比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材料,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物(选装仿皮)
座位数(个),6-8,9-18,9-18,9-18,9-18,3,3,6,6-8,10-18,3,6,6,6,6,2
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,290
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,290
宽度(mm),1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,2020
定速巡航,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
大灯高度可调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716
后轮胎规格,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架
后座出风口,●,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),固定齿比变速箱,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),固定齿比变速箱
变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,6挡手动,6挡手动,电动车单速变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,电动车单速变速箱
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,JE4D28B,JE4D28B,JE493ZLQ4,JE4D28B,JE493ZLQ4,JE4D28B,JE493ZLQ4,JE4D28B,JE4D28B,-,JE4D28B,JE4D28B,JE493ZLQ4,JE4D28B,JE493ZLQ4,-
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.8T 125马力 L4,2.8T 125马力 L4,2.8T 109马力 L4,2.8T 125马力 L4,2.8T 109马力 L4,2.8T 125马力 L4,2.8T 109马力 L4,2.8T 125马力 L4,2.8T 125马力 L4,纯电动 82马力,2.8T 125马力 L4,2.8T 125马力 L4,2.8T 109马力 L4,2.8T 125马力 L4,2.8T 109马力 L4,纯电动 163马力
压缩比,17.5,17.5,17.2,17.5,17.2,17.5,17.2,17.5,17.5,-,17.5,17.5,17.2,17.5,17.2,-
厂商指导价(元),21.30万~26.30万,17.60万~20.60万,17.60万~20.60万,17.30万~20.30万,17.30万~20.30万,14.50万~16.50万,14.50万~16.50万,13.80万~14.80万,21.60万~26.60万,75.80万,13.60万~14.60万,14.60万~16.60万,14.60万~16.60万,14.30万~16.30万,14.30万~16.30万,18.80万
厂商,南京金龙,南京金龙,南京金龙,南京金龙,南京金龙,南京金龙,南京金龙,南京金龙,南京金龙,南京金龙,南京金龙,南京金龙,南京金龙,南京金龙,南京金龙,南京金龙
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前轮距(mm),1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1720
前轮胎规格,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
全景摄像头,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
全景天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
倒车视频影像,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-
