Feature,50292,53276,53520,53521,53522,53523,53524,61459,63225,63226,63227,63228,63229,63230,63231,63232
高度(mm),1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660
驾驶辅助影像,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,双电机,-,-,-,-,单电机,双电机,-,-,-,-,-,单电机,双电机,双电机,双电机
驱动方式,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755
长*宽*高(mm),4755*1855*1660,4755*1855*1660,4755*1855*1660,4755*1855*1660,4755*1855*1660,4755*1855*1660,4755*1855*1660,4755*1855*1660,4755*1855*1660,4755*1855*1660,4755*1855*1660,4755*1855*1660,4755*1855*1660,4755*1855*1660,4755*1855*1660,4755*1855*1660
钥匙类型,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,
辅助驾驶系统,,,,,,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,,,,,,
轴距(mm),2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690
轮圈材质,,,,,,,,,,,,,,,,
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,-,-,-,●,-,-,-,-,-,●,●,-,-,-,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,-,-,●,-,●,●,-,-,●,●,-,-,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,
车型名称,凌放HARRIER 2022款 双擎 2.5L CVT四驱旗舰版,凌放HARRIER 2022款 2.0L CVT两驱尊享版,凌放HARRIER 2022款 2.0L CVT两驱进取版,凌放HARRIER 2022款 2.0L CVT两驱豪华版,凌放HARRIER 2022款 2.0L CVT两驱旗舰版,凌放HARRIER 2022款 双擎 2.5L CVT两驱豪华版,凌放HARRIER 2022款 双擎 2.5L CVT四驱尊享版,2023款 2.0L CVT两驱尊享版,凌放HARRIER 2023款 2.0L CVT两驱进取版,凌放HARRIER 2023款 2.0L CVT两驱豪华版,凌放HARRIER 2023款 2.0L CVT两驱CARE版,凌放HARRIER 2023款 2.0L CVT两驱20周年铂金纪念版,凌放HARRIER 2023款 双擎 2.5L CVT两驱豪华版,凌放HARRIER 2023款 双擎 2.5L CVT四驱豪华版,凌放HARRIER 2023款 双擎 2.5L CVT四驱尊享版,凌放HARRIER 2023款 双擎 2.5L CVT四驱旗舰版
车前雾灯,,,,,,,,,,,,,,,,
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,-,-,-,●,-,-,-,-,-,●,●,-,-,-,●
语音识别控制系统,,,-,-,,-,,,-,-,,,-,-,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,
