Feature,1001005,1001006,1001824,1001825,1001826,1001827,1001828
高度(mm),1760,1760,1760,1760,1760,1760,1760
驱动方式,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-
长度(mm),5550,5550,5550,5550,5550,5550,5550
长*宽*高(mm),5550×1815×1760,5550×1815×1760,5550×1815×1760,5550×1815×1760,5550×1815×1760,5550×1815×1760,5550×1815×1760
配气机构,未知,未知,未知,SOHC,未知,SOHC,未知
道路救援呼叫,-,-,-,-,-,-,-
进气形式,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压
运动风格座椅,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-
轴距(mm),3380,3380,3380,3380,3380,3380,3380
转向辅助灯,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-
车型名称,途腾T2 2012款 2.2L两驱商务版,途腾T2 2012款 2.8T四驱商务版,途腾T2 2012款 2.8T两驱商务版,途腾T2 2012款 2.4L两驱商务版,途腾T2 2012款 2.2L四驱商务版,途腾T2 2012款 2.4L四驱商务版,途腾T2 2012款 2.8T两驱精英版
车内中控锁,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1735x1465x480,1735x1465x480,1735x1465x480,1735x1465x480,1735x1465x480,1735x1465x480,1735x1465x480
行程(mm),86,102,102,100,86,100,102
蓝牙/车载电话,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-
能源类型,汽油,柴油,柴油,汽油,汽油,汽油,柴油
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,未知
缸径(mm),91,93,93,87,91,87,93
缸体材料,未知,未知,未知,未知,未知,未知,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
空气悬架,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-
环保标准_y,国IV,国III,国III,欧IV,国IV,欧IV,国III
环保标准_x,国IV,国III,国III,欧IV,国IV,欧IV,国III
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-
燃油标号,92号,0号,0号,92号,92号,92号,0号
燃料形式,汽油,柴油,柴油,汽油,汽油,汽油,柴油
温度分区控制,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
每缸气门数(个),2,2,2,4,2,4,2
最高车速(km/h),120,110,110,130,120,130,110
最小离地间隙(mm),185,185,185,185,185,185,185
最大马力(Ps),106,92,92,136,106,136,92
最大载重质量(kg),495,495,495,495,495,495,495
最大扭矩转速(rpm),2400-2800,2000,2000,2500-3000,2400-2800,2500-3000,2000
最大扭矩(N·m)_y,190,210,210,200,190,200,210
最大扭矩(N·m)_x,190,210,210,200,190,200,210
最大功率转速(rpm),4600,3600,3600,5250,4600,5250,3600
最大功率(kW)_y,78,68,68,100,78,100,68
最大功率(kW)_x,78,68,68,100,78,100,68
无钥匙启动系统,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-
整车质保,两年或4万公里,两年或4万公里,两年或4万公里,两年或4万公里,两年或4万公里,两年或4万公里,两年或4万公里
整备质量(kg),1650,1830,1740,1700,1740,1760,1740
排量(mL),-,-,-,-,-,-,-
挡位个数,5,5,5,5,5,5,5
感应后备厢,-,-,-,-,-,-,-
座位数(个),5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-
