Feature,1006618,1006619,1006620,1006621,1006622,1006623,1006624,1006625,1006626,1006628,1006632,1006634,1006635,1007018,1007019,1007020,1007021,1007022,1007023,1007024,1007025,1007026,1007027,1007032,1007033,1007034,1007035,1007036,1007039,1007040,1007041,1007042
高度(mm),1925,2420,1935,2395,1985,2395,2420,2395,2420,2420,2420,1985,2395,1925,2420,1935,1925,2395,1980,1985,2395,1980,1985,1925,2420,2395,1980,1985,2395,1935,1935,2395
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5130,5195,5105,5180,5335,5410,4945,4980,4945,4945,5195,5335,5410,5130,5195,4905,4880,5180,5130,5105,4980,4880,4905,4880,4945,4980,4880,4905,4980,4905,5105,5180
长*宽*高(mm),5130×1680×1925,5195×1735×2420,5105×1680×1935,5180×1735×2395,5335×1650×1985,5410×1735×2395,4945×1735×2420,4980×1735×2395,4945×1735×2420,4945×1735×2420,5195×1735×2420,5335×1650×1985,5410×1735×2395,5130×1680×1925,5195×1735×2420,4905×1680×1935,4880×1680×1925,5180×1735×2395,5130×1680×1980,5105×1680×1985,4980×1735×2395,4880×1680×1980,4905×1680×1985,4880×1680×1925,4945×1735×2420,4980×1735×2395,4880×1680×1980,4905×1680×1985,4980×1735×2395,4905×1680×1935,5105×1680×1935,5180×1735×2395
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
