,20300,20301,20302,20303,20304,20305
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
前/后排侧气囊,-,-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,前●&nbsp;/&nbsp;后●,-,-,前●&nbsp;/&nbsp;后●
膝部气囊,-,-,-,-,-,-
胎压监测装置,-,-,●,-,-,●
零胎压继续行驶,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),-,-,●,-,-,●
车身稳定控制(ESC/ESP/DSC等),-,-,●,-,-,●
并线辅助,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-
主动刹车/主动安全系统,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
倒车视频影像,-,●,●,-,●,●
全景摄像头,-,-,-,-,-,-
定速巡航,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-
发动机启停技术,-,-,-,-,-,-
上坡辅助,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-
可变转向比,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-
电动天窗,-,●,●,-,●,●
全景天窗,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-
铝合金轮圈,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●
发动机电子防盗,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●
无钥匙启动系统,●,●,●,●,●,●
无钥匙进入系统,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘电动调节,-,-,-,-,-,-
多功能方向盘,-,●,●,-,●,●
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-
座椅材质,织物,仿皮,仿皮,织物,仿皮,仿皮
运动风格座椅,-,-,-,-,-,-
座椅高低调节,-,-,●,-,-,●
腰部支撑调节,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-
第二排靠背角度调节,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-
后排座椅放倒方式,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后排杯架,-,-,-,-,-,-
GPS导航系统,-,●,●,-,●,●
定位互动服务,-,-,-,-,-,-
中控台彩色大屏,-,●,●,-,●,●
中控液晶屏分屏显示,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-
车载电视,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
CD/DVD,单碟CD,-,-,单碟CD,-,-
扬声器品牌,-,-,-,-,-,-
扬声器数量,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
前雾灯,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗防夹手功能,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●
后视镜加热,-,-,-,-,-,-
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-
后视镜电动折叠,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●
感应雨刷,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车型名称,力帆X50 2014款 1.5L 手动精英型,力帆X50 2014款 1.5L 手动豪华型,力帆X50 2014款 1.5L 手动尊贵型,力帆X50 2014款 1.5L CVT精英型,力帆X50 2014款 1.5L CVT豪华型,力帆X50 2014款 1.5L CVT尊贵型
厂商指导价(元),5.98万,6.68万,7.28万,6.98万,7.68万,8.28万
厂商,力帆汽车,力帆汽车,力帆汽车,力帆汽车,力帆汽车,力帆汽车
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2014.10,2014.10,2014.10,2014.10,2014.10,2014.10
工信部纯电续驶里程(km),-,-,-,-,-,-
最大功率(kW)_x,76,76,76,76,76,76
最大扭矩(N·m)_x,133,133,133,133,133,133
发动机,1.5L 103马力 L4,1.5L 103马力 L4,1.5L 103马力 L4,1.5L 103马力 L4,1.5L 103马力 L4,1.5L 103马力 L4
变速箱,5挡手动,5挡手动,5挡手动,CVT无级变速,CVT无级变速,CVT无级变速
长*宽*高(mm),4100*1722*1540,4100*1722*1540,4100*1722*1540,4100*1722*1540,4100*1722*1540,4100*1722*1540
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),170,170,170,160,160,160
官方0-100km/h加速(s),-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-
工信部综合油耗(L/100km),6.3,6.3,6.3,6.5,6.5,6.5
实测油耗(L/100km),-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),4100,4100,4100,4100,4100,4100
宽度(mm),1722,1722,1722,1722,1722,1722
高度(mm),1540,1540,1540,1540,1540,1540
轴距(mm),2550,2550,2550,2550,2550,2550
前轮距(mm),-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-
最小离地间隙(mm),166,166,166,166,166,166
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5
座位数(个),5,5,5,5,5,5
油箱容积(L),42,42,42,42,42,42
行李厢容积(L),-,-,-,-,-,-
整备质量(kg),-,-,-,1175,1175,1175
发动机型号,LF479Q2-B,LF479Q2-B,LF479Q2-B,LF479Q2-B,LF479Q2-B,LF479Q2-B
排量(mL),1498,1498,1498,1498,1498,1498
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4
压缩比,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-
行程(mm),-,-,-,-,-,-
最大马力(Ps),103,103,103,103,103,103
最大功率(kW)_y,76,76,76,76,76,76
最大功率转速(rpm),6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,133,133,133,133,133,133
最大扭矩转速(rpm),3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500
发动机特有技术,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V
挡位个数,5,5,5,无级变速,无级变速,无级变速
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
简称,5挡手动,5挡手动,5挡手动,CVT无级变速,CVT无级变速,CVT无级变速
