Feature,41484,41485,41486,41487,45873,46593,47026,47027,54792,57093,57094,59567
高度(mm),1510,1510,1510,1510,1510,1510,1510,1510,1510,1520,1510,1520
驾驶辅助影像,,,,,,,,,-,,,-
驾驶模式切换,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,-
长度(mm),4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650
长*宽*高(mm),4650*1820*1510,4650*1820*1510,4650*1820*1510,4650*1820*1510,4650*1820*1510,4650*1820*1510,4650*1820*1510,4650*1820*1510,4650*1820*1510,4650*1820*1520,4650*1820*1510,4650*1820*1520
钥匙类型,,,,,,,,,,,,
道路救援呼叫,●,●,●,●,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2670,2670,2670,2670,2670,2670,2670,2670,2670,2670,2670,2670
轮圈材质,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,●,●,●,●,●,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,-
车联网,●,●,●,●,●,●,●,●,-,●,●,-
车窗防夹手功能,-,-,-,●,●,●,●,●,-,-,-,-
车窗一键升降功能,-,-,-,,,,,,-,-,-,-
车型名称,北京EU5 2019款 R500 智风版,北京EU5 2019款 R500 智尚版,北京EU5 2019款 R600 智潮版,北京EU5 2019款 R600 智领版,北京EU5 2020款 R600 智潮版,北京EU5 2020款 R600 智领版,北京EU5 2020款 R500 智尚版,北京EU5 2020款 R500 智风版,北京EU5 2021款 快换版,北京EU5 2022款 网约车豪华版,北京EU5 2022款 网约车高功率豪华版,北京EU5 2022款 网约出行版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,,,,,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,-,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-
