,32069,32070,32071,32072,32075,32077,32078,32079,32081,32082,32083,33690,33691
车顶行李架,-,●,●,●,-,●,●,●,●,●,●,●,●
发动机电子防盗,-,●,●,●,-,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,-,-,●,●,-,-,●,●,●,●,●,●,●
无钥匙进入系统,-,-,●,●,-,-,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,●,●,-,-,●,-,●
皮质方向盘,-,●,●,●,-,●,●,●,●,●,●,●,●
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下+前后调节,上下调节,上下调节,上下+前后调节,上下调节,上下调节
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,-,●,●,●,-,●,●,●,●,●,●,●,●
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,整体放倒,比例放倒,比例放倒,比例放倒,整体放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,-,-,●,●,-,-,●,●,●,●,●,●,●
定位互动服务,-,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,-,-,●,●,-,-,●,●,●,●,●,●,●
中控台彩色大屏尺寸,-,-,9英寸,9英寸,-,-,9英寸,9英寸,9英寸,9英寸,9英寸,9英寸,9英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,●,●,-,-,●,●,●,●,●,●,●
手机互联/映射,-,-,●,●,-,-,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,4-5喇叭,4-5喇叭,6-7喇叭,6-7喇叭,4-5喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,●,●,●,-,●,●,●,●,●,●,●,●
转向辅助灯,-,●,●,●,-,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,-,●,●,●,-,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,●,●,●,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,-,●,●,●,-,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●
感应雨刷,-,●,●,●,-,●,●,●,●,●,●,●,●
空调控制方式,手动●,手动●,自动●,自动●,手动●,手动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,东南DX3 2018款 1.5L 手动舒适型,东南DX3 2018款 1.5L 手动豪华型,东南DX3 2018款 1.5L 手动尊贵型,东南DX3 2018款 1.5L 手动旗舰型,东南DX3 2018款 1.5T CVT舒适型,东南DX3 2018款 1.5T CVT豪华型,东南DX3 2018款 1.5T CVT尊贵型,东南DX3 2018款 1.5T CVT旗舰型,东南DX3 2018款 1.5T SRG 手动尊贵型,东南DX3 2018款 1.5T SRG 手动旗舰型,东南DX3 2018款 1.5T SRG CVT旗舰型,东南DX3 2018款 1.5L 户外版 手动尊贵型,东南DX3 2018款 1.5T 户外版 CVT尊贵型
厂商指导价(元),6.79万,7.29万,7.89万,8.49万,8.49万,8.99万,9.59万,10.19万,9.09万,9.49万,10.59万,8.09万,9.79万
厂商,东南汽车,东南汽车,东南汽车,东南汽车,东南汽车,东南汽车,东南汽车,东南汽车,东南汽车,东南汽车,东南汽车,东南汽车,东南汽车
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2017.10,2017.10,2017.10,2017.10,2017.10,2017.10,2017.10,2017.10,2017.10,2017.10,2017.10,2018.03,2018.03
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,88,88,88,88,115,115,115,115,115,115,115,88,115
最大扭矩(N·m)_x,143,143,143,143,220,220,220,220,225,225,225,143,220
发动机,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5L 120马力 L4,1.5T 156马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),6挡手动,6挡手动,CVT无级变速(模拟8挡),5挡手动,CVT无级变速(模拟8挡)
长*宽*高(mm),4354*1840*1670,4354*1840*1670,4354*1840*1670,4354*1840*1670,4354*1840*1670,4354*1840*1670,4354*1840*1670,4354*1840*1670,4354*1840*1670,4354*1840*1670,4354*1840*1670,4354*1840*1670,4354*1840*1670
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6.7,6.7,6.7,6.7,7.5,7.5,7.5,7.5,7.3,7.3,7.5,6.9,7.5
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354
宽度(mm),1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840
高度(mm),1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670
轴距(mm),2610,2610,2610,2610,2610,2610,2610,2610,2610,2610,2610,2610,2610
前轮距(mm),1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585
后轮距(mm),1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586
最小离地间隙(mm),200,200,200,200,200,200,200,200,200,200,200,200,200
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
油箱容积(L),45,45,45,45,45,45,45,45,45,45,45,45,45
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1285,1285,1285,1285,1340,1340,1340,1340,1350,1350,1340,1330,1340
发动机型号,4A91,4A91,4A91,4A91,4A91T,4A91T,4A91T,4A91T,4A91T,4A91T,4A91T,4A91,4A91T
排量(mL),1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),120,120,120,120,156,156,156,156,156,156,156,120,156
最大功率(kW)_y,88,88,88,88,115,115,115,115,115,115,115,88,115
最大功率转速(rpm),6000,6000,6000,6000,5600,5600,5600,5600,5600,5600,5600,6000,5600
最大扭矩(N·m)_y,143,143,143,143,220,220,220,220,225,225,225,143,220
最大扭矩转速(rpm),4000,4000,4000,4000,1800-4500,1800-4500,1800-4500,1800-4500,1800-4500,1800-4500,1800-4500,4000,1800-4500
发动机特有技术,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,5,5,5,5,8,8,8,8,6,6,8,5,8
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),手动变速箱(MT),无级变速箱(CVT)
简称,5挡手动,5挡手动,5挡手动,5挡手动,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),6挡手动,6挡手动,CVT无级变速(模拟8挡),5挡手动,CVT无级变速(模拟8挡)
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,215/60 R17,215/60 R17,215/55 R18,215/55 R18,215/60 R17,215/60 R17,215/55 R18,215/55 R18,215/55 R18,215/55 R18,215/55 R18,215/55 R18,215/55 R18
后轮胎规格,215/60 R17,215/60 R17,215/55 R18,215/55 R18,215/60 R17,215/60 R17,215/55 R18,215/55 R18,215/55 R18,215/55 R18,215/55 R18,215/55 R18,215/55 R18
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
