,34652,34653,34654,34655,34656,34657,34658,34659
车型名称,SENIA R9 2018款 1.2T 手动舒适智炫型,SENIA R9 2018款 1.2T 手动豪华智尚型,SENIA R9 2018款 1.2T 手动尊贵智悦型,SENIA R9 2018款 1.2T 手动旗舰智享型,SENIA R9 2018款 1.2T 自动舒适智炫型,SENIA R9 2018款 1.2T 自动豪华智尚型,SENIA R9 2018款 1.2T 自动旗舰智享型,SENIA R9 2018款 1.2T 自动尊贵智悦型
厂商指导价(元),9.00万,0.00万,0.00万,0.00万,0.00万,0.00万,0.00万,0.00万
厂商,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
最大功率(kW)_x,105,105,105,105,105,105,105,105
最大扭矩(N·m)_x,204,204,204,204,204,204,204,204
发动机,1.2T 143马力 L4,1.2T 143马力 L4,1.2T 143马力 L4,1.2T 143马力 L4,1.2T 143马力 L4,1.2T 143马力 L4,1.2T 143马力 L4,1.2T 143马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,7挡双离合,7挡双离合,7挡双离合,7挡双离合
长*宽*高(mm),4505*1835*1695,4505*1835*1695,4505*1835*1695,4505*1835*1695,4505*1835*1695,4505*1835*1695,4505*1835*1695,4505*1835*1695
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),-,-,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-
实测油耗(L/100km),-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4505,4505,4505,4505,4505,4505,4505,4505
宽度(mm),1835,1835,1835,1835,1835,1835,1835,1835
高度(mm),1695,1695,1695,1695,1695,1695,1695,1695
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700
前轮距(mm),-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5
油箱容积(L),-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-
发动机型号,CA4GA12TD,CA4GA12TD,CA4GA12TD,CA4GA12TD,CA4GA12TD,CA4GA12TD,CA4GA12TD,CA4GA12TD
排量(mL),1199,1199,1199,1199,1199,1199,1199,1199
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-
最大马力(Ps),143,143,143,143,143,143,143,143
最大功率(kW)_y,105,105,105,105,105,105,105,105
最大功率转速(rpm),-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,204,204,204,204,204,204,204,204
最大扭矩转速(rpm),-,-,-,-,-,-,-,-
发动机特有技术,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知
环保标准,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,5,5,5,5,7,7,7,7
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT)
简称,5挡手动,5挡手动,5挡手动,5挡手动,7挡双离合,7挡双离合,7挡双离合,7挡双离合
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,未知,未知,未知,未知,未知,未知,未知,未知
后悬架类型,未知,未知,未知,未知,未知,未知,未知,未知
助力类型,未知,未知,未知,未知,未知,未知,未知,未知
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,未知,未知,未知,未知,未知,未知,未知,电子驻车
前轮胎规格,未知,未知,未知,未知,未知,未知,未知,215/55 R18
后轮胎规格,未知,未知,未知,未知,未知,未知,未知,215/55 R18
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
