Feature,55243,55244,55245,55246,56655,56656,61402,61739,62279,62280,62281,62282,62298,62299,63432,63433,63434
高精地图,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-
高度(mm),1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515
驾驶辅助影像,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
风阻系数(Cd),0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211
面部识别,-,●,-,●,-,-,-,-,-,-,●,-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810
长*宽*高(mm),4810*1880*1515,4810*1880*1515,4810*1880*1515,4810*1880*1515,4810*1880*1515,4810*1880*1515,4810*1880*1515,4810*1880*1515,4810*1880*1515,4810*1880*1515,4810*1880*1515,4810*1880*1515,4810*1880*1515,4810*1880*1515,4810*1880*1515,4810*1880*1515,4810*1880*1515
钥匙类型,,,,,,,,,,,,,,,,,
遥控泊车,○,●,○,●,●,○,○,○,-,-,●,-,-,-,-,-,-
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,●,●,●,-,●,-,-,-,-,●,●,-,-,-,-,●
透明底盘/540度影像,○,●,○,●,●,○,○,○,-,-,●,-,-,-,-,-,-
