,32863,33857,34064,34065,34066,34067
主动降噪,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-
座椅材质,皮/织物混搭,仿皮,皮/织物混搭,皮/织物混搭,皮/织物混搭,仿皮
运动风格座椅,-,-,-,-,-,-
座椅高低调节,●,●,-,●,●,●
腰部支撑调节,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-
第二排靠背角度调节,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后排杯架,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-
GPS导航系统,-,○,-,-,-,○
道路救援呼叫,-,-,-,-,-,-
中控台彩色大屏,●,●,-,-,●,●
中控台彩色大屏尺寸,8英寸,8英寸,-,-,8英寸,8英寸
中控液晶屏分屏显示,-,-,-,-,-,-
蓝牙/车载电话,●,●,-,-,●,●
手机互联/映射,●,●,-,-,●,●
车联网,-,○,-,-,-,○
车载电视,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB
CD/DVD,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-
扬声器数量,4-5喇叭,4-5喇叭,2-3喇叭,4-5喇叭,4-5喇叭,4-5喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,●,●,-,●,●,●
自适应远近光,-,-,-,-,-,-
自动头灯,-,●,-,-,-,●
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
前雾灯,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●
后视镜加热,-,●,-,-,-,●
内/外后视镜自动防眩目,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●
感应雨刷,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车型名称,瑞虎3xe 2018款 400 畅行版,瑞虎3xe 2018款 400 畅享版,瑞虎3xe 2018款 400 畅优版,瑞虎3xe 2018款 480 畅优版,瑞虎3xe 2018款 480 畅行版,瑞虎3xe 2018款 480 畅享版
厂商指导价(元),16.38万,17.08万,15.78万,17.68万,18.28万,18.98万
厂商,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
上市时间,2018.03,2018.03,2018.03,2018.03,2018.03,2018.03
工信部纯电续驶里程(km),351,351,351,401,401,401
快充时间(小时)_x,0.5,0.5,0.5,0.5,0.5,0.5
慢充时间(小时)_x,8,8,8,8,8,8
快充电量百分比,80,80,80,80,80,80
最大功率(kW),90,90,90,95,95,95
最大扭矩(N·m),276,276,276,250,250,250
长*宽*高(mm),4200*1760*1570,4200*1760*1570,4200*1760*1570,4200*1760*1570,4200*1760*1570,4200*1760*1570
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),151,151,151,151,151,151
官方0-100km/h加速(s),-,-,-,-,-,-
实测0-100km/h加速(s),9.35,-,-,-,-,-
实测100-0km/h制动(m),46.39,-,-,-,-,-
实测续航里程(km),-,-,-,-,-,-
实测快充时间(小时),-,-,-,-,-,-
实测慢充时间(小时),-,-,-,-,-,-
整车质保,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里
长度(mm),4200,4200,4200,4200,4200,4200
宽度(mm),1760,1760,1760,1760,1760,1760
高度(mm),1570,1570,1570,1570,1570,1570
轴距(mm),2555,2555,2555,2555,2555,2555
前轮距(mm),1495,1495,1495,1495,1495,1495
后轮距(mm),1484,1484,1484,1484,1484,1484
最小离地间隙(mm),150,150,150,150,150,150
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5
座位数(个),5,5,5,5,5,5
油箱容积(L),-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-
整备质量(kg),1515,1515,1515,-,-,-
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步
电动机总功率(kW),90,90,90,95,95,95
电动机总扭矩(N·m),276,276,276,250,250,250
前电动机最大功率(kW),90,90,90,95,95,95
前电动机最大扭矩(N·m),276,276,276,250,250,250
后电动机最大功率(kW),-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-
系统综合功率(kW),-,-,-,-,-,-
系统综合扭矩(N·m),-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
电机布局,前置,前置,前置,前置,前置,前置
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池
工信部续航里程(km),351,351,351,401,401,401
电池容量(kWh),49,49,49,53.6,53.6,53.6
百公里耗电量(kWh/100km),-,-,-,-,-,-
电池组质保,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里
快充时间(小时)_y,0.5,0.5,0.5,0.5,0.5,0.5
慢充时间(小时)_y,8,8,8,8,8,8
快充电量(%),80,80,80,80,80,80
挡位个数,1,1,1,1,1,1
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16
后轮胎规格,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16
备胎规格,无,无,无,无,无,无
