Feature,1004228,1006456,1006457,1006458,1006459
高度(mm),2285,2285,2080,2285,2080
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
零胎压继续行驶,-,-,-,-,-
陡坡缓降,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-
长度(mm),4840,4840,4840,4840,4840
长*宽*高(mm),4840×1880×2285,4840×1880×2285,4840×1880×2080,4840×1880×2285,4840×1880×2080
铝合金轮圈,-,○,○,○,○
配气机构,未知,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,-,-
遥控钥匙,●,●,●,○,○
道路救援呼叫,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-
运动外观套件,-,-,-,-,-
轴距(mm),2570,2570,2570,2570,2570
转向辅助灯,-,-,-,-,-
转向头灯,-,-,-,-,-
车顶行李架,-,-,-,-,-
车门数(个),4,4,4,4,4
车载电视,-,-,-,-,-
车载冰箱,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-
车窗防夹手功能,-,-,-,-,-
车型名称,九龙A4 2016款 2.4L大MPV版4RB2,九龙A4 2018款 2.8T标准型,九龙A4 2018款 2.0T标准型,九龙A4 2018款 2.8T经济型,九龙A4 2018款 2.0T经济型
车内空气调节/花粉过滤,-,-,-,-,-
车内氛围灯,-,-,-,-,-
车内中控锁,●,●,●,○,○
车体结构,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-
行车电脑显示屏,-,-,-,-,-
行程(mm),-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-
自适应远近光,-,-,-,-,-
自动驻车,-,-,-,-,-
自动头灯,-,-,-,-,-
膝部气囊,-,-,-,-,-
腰部支撑调节,-,-,-,-,-
能源类型,汽油,柴油,汽油,柴油,汽油
胎压监测装置,-,-,-,-,-
肩部支撑调节,-,-,-,-,-
缸盖材料,未知,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-
缸体材料,未知,铸铁,铸铁,铸铁,铸铁
级别,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,●,●,●,●,●
第二排座椅移动,-,-,-,-,-
第三排座椅,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-
皮质方向盘,-,-,-,-,-
电动座椅记忆,-,-,-,-,-
电动天窗,-,-,-,-,-
电动吸合门,-,-,-,-,-
电动后备厢,-,-,-,-,-
环保标准,国IV,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-
燃油标号,92号,0号,92号,0号,92号
燃料形式,汽油,柴油,汽油,柴油,汽油
温度分区控制,-,-,-,-,-
油箱容积(L),70,70,70,70,70
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
每缸气门数(个),未知,4,4,4,4
最高车速(km/h),140,-,-,-,-
最小离地间隙(mm),-,-,-,-,-
最大马力(Ps),139,143,143,143,143
最大载重质量(kg),-,-,-,-,-
最大扭矩转速(rpm),2600-3200,1600-2400,1400-4000,1600-2400,1400-4000
最大扭矩(N·m)_y,217,350,220,350,220
最大扭矩(N·m)_x,217,350,220,350,220
最大功率转速(rpm),4600-5000,3200,5000,3200,5000
最大功率(kW)_y,102,105,105,105,105
最大功率(kW)_x,102,105,105,105,105
无钥匙进入系统,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-
方向盘电动调节,-,-,-,-,-
方向盘换挡,-,-,-,-,-
方向盘加热,-,-,-,-,-
整车质保,2年/5万公里,-,-,-,-
整备质量(kg),-,-,-,-,-
排量(mL),2438,2776,1997,2776,1997
挡位个数,5,5,5,5,5
扬声器品牌,-,-,-,-,-
扬声器个数,4-5喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
感应雨刷,-,-,-,-,-
感应后备厢,-,-,-,-,-
座椅高低调节,-,-,-,-,-
座椅材料,织物(选装仿皮),织物,织物,织物,织物
座位数(个),6-12,5-12,5-12,5-12,5-12
并线辅助,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-
宽度(mm),1880,1880,1880,1880,1880
定速巡航,-,-,-,-,-
安全带未系提示,-,●,●,●,●
大灯高度可调,-,-,-,-,-
大灯清洗装置,-,-,-,-,-
多功能方向盘,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB
后风挡遮阳帘,-,-,-,-,-
后雨刷,-,●,●,-,-
后轮距(mm),-,-,-,-,-
后轮胎规格,195 R15C,195 R16LT,195/70 R15,195 R16LT,195/70 R15
后视镜记忆,-,-,-,-,-
后视镜电动调节,●,-,-,-,-
后视镜电动折叠,-,-,-,-,-
后视镜加热,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
后排独立空调,●,-,-,-,-
后排液晶屏,○,-,-,-,-
后排杯架,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-
后排侧隐私玻璃,-,○,○,○,○
后排侧遮阳帘,-,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,●,●,●,●,●
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-
可变悬架,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,●,-,-,-,-
发动机型号,4RB2,-,-,-,-
发动机启停技术,-,-,-,-,-
发动机,2.4L 139马力 L4,2.8T 143马力 L4,2.0T 143马力 L4,2.8T 143马力 L4,2.0T 143马力 L4
压缩比,-,-,-,-,-
厂商指导价(元),12.98万~14.98万,17.88万,15.28万,14.78万,12.18万
厂商,九龙汽车,九龙汽车,九龙汽车,九龙汽车,九龙汽车
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力
前雾灯,-,●,●,○,○
前轮距(mm),-,-,-,-,-
前轮胎规格,195 R15C,195 R16LT,195/70 R15,195 R16LT,195/70 R15
前桥限滑差速器/差速锁,-,-,-,-,-
前悬架类型,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂
前制动器类型,盘式,盘式,盘式,盘式,盘式
前/后驻车雷达,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅通风,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-
