Feature,1003328,1003331,1003332,1003333,1003334,1003335,1003452,1003557,1004164,1004165
高度(mm),1790,1790,1790,1790,1790,1790,1710,1790,1790,1790
驾驶辅助影像,-,-,-,-,-,-,-,,-,-
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-
长度(mm),5585,5585,5585,5585,5585,5585,5580,5585,5585,5585
长*宽*高(mm),5585×1720×1790,5585×1720×1790,5585×1720×1790,5585×1720×1790,5585×1720×1790,5585×1720×1790,5580×1720×1710,5585×1720×1790,5585×1720×1790,5585×1720×1790
钥匙类型,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
道路救援呼叫,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,
进气形式,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,自然吸气
近光灯光源,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-
轴距(mm),3380,3380,3380,3380,3380,3380,3380,3380,3380,3380
轮圈材质,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,,,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-
车型名称,龙威 2015款 2.8T柴油 手动两驱大双经典版JE493,龙威 2015款 2.4L汽油 自动两驱大双至尊版4G69S4N,龙威 2015款 2.8T柴油 AMT两驱大双至尊版JE493,龙威 2015款 2.4L汽油 自动两驱大双旗舰版4G69S4N,龙威 2015款 2.8T柴油 AMT两驱大双旗舰版JE493,龙威 2015款 2.8T柴油 手动两驱大双领先版JE493,龙威 2015款 2.8T柴油 手动两驱大双标准版标准型4JB1T-4B,龙威 2015款 2.4L汽油 自动两驱公务高端加长型4G69S4N,龙威 2016款 2.8T柴油四驱经典版JE493,龙威 2016款 2.4L汽油四驱经典版4G69S4N
车前雾灯,,,,,,,-,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1835x1460x480,1835x1460x480,1835x1460x480,1835x1460x480,1835x1460x480,1835x1460x480,1835x1460x480,1835x1460x480,1835x1460x480,1835x1460x480
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,汽油,柴油,汽油,柴油,柴油,柴油,汽油,柴油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,4挡自动,5挡AMT,4挡自动,5挡AMT,5挡手动,5挡手动,4挡自动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-
环保标准_y,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV
环保标准_x,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-
燃油标号,0号,92号,0号,92号,0号,0号,0号,92号,0号,92号
燃料形式,柴油,汽油,柴油,汽油,柴油,柴油,柴油,汽油,柴油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
最高车速(km/h),120,120,120,120,120,-,120,120,130,130
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-
最大马力(Ps),102,136,102,136,102,102,92,136,102,136
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),2000,2500-3000,2000,2500-3000,2000,2000,2000,2500-3000,2000,2500-3000
最大扭矩(N·m)_y,220,200,220,200,220,220,220,200,220,200
最大扭矩(N·m)_x,220,200,220,200,220,220,220,200,220,200
最大功率转速(rpm),3600,5250,3600,5250,3600,3600,3600,5250,3600,5250
最大功率(kW)_y,75,100,75,100,75,75,68,100,75,100
最大功率(kW)_x,75,100,75,100,75,75,68,100,75,100
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,-,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,,
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),-,-,-,-,-,-,-,-,-,-
排量(mL),2771,2378,2771,2378,2771,2771,2771,2378,2771,2378
挡位个数,5,4,5,4,5,5,5,4,5,5
扬声器数量,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-
宽度(mm),1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
安全带未系提醒,-,-,-,-,-,-,,-,,
天窗类型,-,-,-,-,-,-,-,-,-,-
大灯高度可调,-,-,-,-,-,-,-,●,-,-
大灯清洗装置,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,
多功能方向盘,-,-,-,-,-,-,-,-,-,-
外后视镜功能,,,,,,,,,,
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-
后轮胎规格,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-
后排座椅功能,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
后座出风口,-,-,-,-,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),自动变速箱(AT),机械式自动变速箱(AMT),自动变速箱(AT),机械式自动变速箱(AMT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,4挡自动,5挡AMT,4挡自动,5挡AMT,5挡手动,5挡手动,4挡自动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-
发动机型号,JE493,4G69S4N,JE493,4G69S4N,JE493,JE493,4JB1T-4B,4G69S4N,JE493,4G69S4N
发动机启停技术,-,-,-,-,-,-,-,-,-,-
发动机,2.8T 102马力 L4,2.4L 136马力 L4,2.8T 102马力 L4,2.4L 136马力 L4,2.8T 102马力 L4,2.8T 102马力 L4,2.8T 92马力 L4,2.4L 136马力 L4,2.8T 102马力 L4,2.4L 136马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),9.58万,10.88万,10.58万,11.18万,10.88万,8.68万,7.28万,16.58万,11.88万,12.08万
厂商,苏州金龙,苏州金龙,苏州金龙,苏州金龙,苏州金龙,苏州金龙,苏州金龙,苏州金龙,苏州金龙,苏州金龙
卫星导航系统,○,○,○,●,●,-,-,●,○,○
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
副座椅调节方式,,,,,,,,,,
前轮距(mm),-,-,-,-,-,-,-,-,-,-
前轮胎规格,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,215/75 R15,215/75 R15,235/75 R15,235/75 R15,235/75 R15
前排座椅功能,-,-,-,-,-,-,-,-,-,-
前悬架类型,独立悬挂,独立悬挂,独立悬挂,独立悬挂,独立悬挂,独立悬挂,独立悬挂,独立悬挂,独立悬挂,独立悬挂
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,-,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,-,-,●,●,●
内后视镜功能,,,,,,,,,,
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-
侧滑门形式,-,-,-,-,-,-,-,-,-,-
供油方式,直喷,多点电喷,直喷,多点电喷,直喷,直喷,直喷,多点电喷,直喷,多点电喷
主座椅调节方式,,,,,,,,,,
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,-,-,-,-,-,-,-,-,-,-
中控彩色屏幕,,,,,,-,-,,,
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-
上市时间,2015.05,2015.03,2015.03,2015.03,2015.03,2015.03,2015.06,2015.08,2016.03,2016.03
上坡辅助,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,-,-,-,-,-,-,-,-,-,-
ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-,-,-
ABS防抱死,●,●,●,●,●,-,-,●,●,●
220V/230V电源,-,-,-,-,-,-,-,-,-,-
