Feature,1011381,1011402
高度(mm),1750,1750
驾驶辅助影像,-,-
驱动方式,前置后驱,前置后驱
陡坡缓降,-,-
长度(mm),5555,5555
长*宽*高(mm),5555×1770×1750,5555×1770×1750
钥匙类型,,
配气机构,DOHC,DOHC
远光灯光源,,
进气形式,自然吸气,自然吸气
近光灯光源,,
轴距(mm),3385,3385
轮圈材质,,
车门数(个),4,4
车身结构_y,皮卡,皮卡
车身结构_x,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-
车窗防夹手功能,-,-
车型名称,黄海·小牛 2021款 2.4L N1手动汽油两驱创业型加长平底货箱4K22,黄海·小牛 2021款 2.4L N1手动汽油两驱创富型加长平底货箱4K22
车前雾灯,,
车内环境氛围灯,-,-
车内化妆镜,-,-
车内中控锁,-,●
车体结构,非承载式,非承载式
货箱尺寸(mm),1815x1520x515,1815x1520x515
行车电脑显示屏幕,,
行程(mm),-,-
蓝牙/车载电话,-,-
自适应远近光,-,-
自动驻车,-,-
自动头灯,-,-
能源类型,汽油,汽油
胎压监测功能,-,-
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸径(mm),-,-
缸体材料,未知,未知
级别,皮卡,皮卡
简称,5挡手动,5挡手动
第二排座椅调节,-,-
空调温度控制方式,,
电动座椅记忆功能,-,-
电动后备厢,-,-
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-
燃油标号,92号,92号
燃料形式,汽油,汽油
温度分区控制,-,-
油箱容积(L),70,70
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),4,4
最高车速(km/h),150,-
最小离地间隙(mm),215,215
最大马力(Ps),160,160
最大载重质量(kg),650,650
最大满载质量(kg),-,-
最大扭矩转速(rpm),4000,4000
最大扭矩(N·m)_y,230,230
最大扭矩(N·m)_x,230,230
最大功率转速(rpm),5500,5500
最大功率(kW)_y,118,118
最大功率(kW)_x,118,118
无钥匙进入功能,-,-
无钥匙启动系统,-,-
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,-,-
方向盘位置调节,-,-
整车质保,-,-
整备质量(kg)_y,-,-
整备质量(kg)_x,1700,-
排量(mL),2378,2378
挡位个数,5,5
扬声器数量,,
扬声器品牌名称,-,-
感应雨刷功能,-,-
座椅材质,,
座位数(个),5,5
并线辅助,-,-
工信部综合油耗(L/100km),-,-
巡航系统,-,-
宽度(mm),1770,1770
安全带未系提醒,,
天窗类型,-,-
大灯高度可调,●,●
多媒体/充电接口,,
多功能方向盘,-,●
外后视镜功能,-,
后雨刷,-,-
后轮距(mm),1510,1510
后轮胎规格,235/70 R16,235/70 R16
后排车门开启方式,平开门,平开门
后排独立空调,-,-
后排杯架,-,-
后排座椅放倒形式,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-
后制动器类型,鼓式,鼓式
变速箱类型,手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动
发动机电子防盗,-,-
发动机型号,4K22,4K22
发动机启停技术,-,-
发动机,2.4L 160马力 L4,2.4L 160马力 L4
压缩比,-,-
厂商指导价(元),6.8999万,7.3999万
厂商,曙光汽车,曙光汽车
卫星导航系统,-,●
助力类型,液压助力,液压助力
副座椅调节方式,,
前轮距(mm),1510,1510
前轮胎规格,235/70 R16,235/70 R16
前排座椅功能,-,-
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架
前制动器类型,通风盘式,通风盘式
前/后驻车雷达,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,-,-
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),●,●
准拖挂车总质量(kg),-,-
内后视镜功能,,
全液晶仪表盘,-,-
供油方式,多点电喷,多点电喷
主座椅调节方式,,
主/副驾驶座电动调节,-,-
主/副驾驶座安全气囊,-,-
中控彩色屏幕,-,
上市时间,2021.04,2021.04
上坡辅助,-,-
LED日间行车灯,-,-
ISOFIX儿童座椅接口,-,-
ABS防抱死,●,●
