Feature,1006293,1006294,1006295,1006296,1006297,1006298,1006299,1006300,1006301,1006302,1006303,1006304,1006486,1006487,1006488,1006518,1006519,1006520,1006969,1006971,1008839,1008841,1008842,1008846,1008847,1008848,1008849,1009553,1009554,1009555,1009556,1009557,1009558,1009559,1009578,1009579,1009580,1009581
高度(mm),2375,2590,2375,2590,2590,2590,2375,2590,2375,2590,2375,2590,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2590,2375,2150,2590,2375,2375,2375,2590,2150,2375,2375,2590,2375,2375,2375,2590
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5000,5750,5000,5750,6350,6350,5000,5750,5000,5750,5000,5750,5750,5750,5000,5750,5750,5750,5000,5000,5750,5750,5750,5000,5000,5750,5000,5000,5750,5750,5000,5000,5750,5750,5000,5000,5750,5750
长*宽*高(mm),5000×2036×2375,5750×2036×2590,5000×2036×2375,5750×2036×2590,6350×2036×2590,6350×2036×2590,5000×2036×2375,5750×2036×2590,5000×2036×2375,5750×2036×2590,5000×2036×2375,5750×2036×2590,5750×2036×2375,5750×2036×2375,5000×2036×2375,5750×2036×2375,5750×2036×2375,5750×2036×2375,5000×2036×2375,5000×2036×2375,5750×2036×2375,5750×2036×2375,5750×2036×2590,5000×2036×2375,5000×2036×2150,5750×2036×2590,5000×2036×2375,5000×2036×2375,5750×2036×2375,5750×2036×2590,5000×2036×2150,5000×2036×2375,5750×2036×2375,5750×2036×2590,5000×2036×2375,5000×2036×2375,5750×2036×2375,5750×2036×2590
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3100,3610,3100,3610,4210,4210,3100,3610,3100,3610,3100,3610,3610,3610,3100,3610,3610,3610,3100,3100,3610,3610,3610,3100,3100,3610,3100,3100,3610,3610,3100,3100,3610,3610,3100,3100,3610,3610
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车
车身结构_x,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车
