Feature,51945,51946,51947,51948,53926
高度(mm),1731,1731,1712,1712,1712
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
面部识别,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-
陡坡缓降,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-
长度(mm),5067,5067,5067,5067,5067
长*宽*高(mm),5067*1970*1731,5067*1970*1731,5067*1970*1712,5067*1970*1712,5067*1970*1712
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●
道路交通标识识别,○,○,○,○,○
远程启动功能,-,-,-,-,-
远光灯光源,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,
运动风格座椅,-,-,-,-,-
运动外观套件,●,●,●,●,●
辅助驾驶芯片,-,-,-,-,-
轴距(mm),2996,2996,2999,2999,2999
轮圈材质,,,,,
转向辅助灯,-,-,-,-,-
转向头灯,●,●,●,●,●
车顶行李架,●,●,●,●,●
车门数(个),5,5,5,5,5
车道偏离预警系统,○,○,○,●,○
车道保持辅助系统,○,○,○,●,○
车载空气净化器,●,●,●,●,●
车载电视,-,-,-,-,-
车载冰箱,-,-,-,-,-
车载CD/DVD,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,奥迪Q7 2022款 45 TFSI quattro S line运动型,奥迪Q7 2022款 45 TFSI quattro S line豪华型,奥迪Q7 2022款 55 TFSI quattro S line运动型,奥迪Q7 2022款 55 TFSI quattro S line尊贵型,奥迪Q7 2022款 55 TFSI quattro S line冰雪运动版
车前雾灯,-,-,-,-,-
车内香氛装置,●,●,●,●,●
车内环境氛围灯,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车侧脚踏板,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,-,-
负离子发生器,●,●,●,●,●
语音识别控制系统,,,,,
触摸式阅读灯,●,●,●,●,●
被动行人保护,-,-,-,-,-
行车电脑显示屏幕,,,,,
行程(mm),-,-,-,-,-
行李厢容积(L),-,-,-,-,-
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
芯片总算力,-,-,-,-,-
自适应远近光,●,●,●,●,●
自动驻车,●,●,●,●,●
自动泊车入位,-,-,●,●,●
自动头灯,●,●,●,●,●
膝部气囊,-,-,-,-,-
能源类型,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-
缸体材料,铸铁,铸铁,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排独立座椅,-,-,-,-,-
第二排座椅调节,,,,,
空调温度控制方式,,,,,
空气悬架,-,-,●,●,●
疲劳驾驶提示,●,●,●,●,●
电磁感应悬架,-,-,-,-,-
电池预加热,-,-,-,-,-
电动扰流板,-,-,-,-,-
电动座椅记忆功能,,,,,
电动吸合车门,,,,,
电动后备厢位置记忆,●,●,●,●,●
电动后备厢,●,●,●,●,●
电动可调踏板,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
灯光特色功能,,,,,
激光雷达数量,-,-,-,-,-
温度分区控制,●,●,●,●,●
液晶仪表尺寸,,,,,
涉水感应系统,-,-,-,-,-
油箱容积(L),85,85,85,85,85
气缸数(个),4,4,6,6,6
气缸排列形式,L,L,V,V,V
毫米波雷达数量,-,-,-,-,-
每缸气门数(个),4,4,4,4,4
最高车速(km/h),231,231,250,250,-
最小离地间隙(mm),-,-,-,-,-
最大马力(Ps),245,245,340,340,340
最大扭矩转速(rpm),1600-4300,1600-4300,1370-4500,1370-4500,1370-4500
最大扭矩(N·m)_y,370,370,500,500,500
最大扭矩(N·m)_x,370,370,500,500,500
最大功率转速(rpm),5000-6500,5000-6500,5200-6400,5200-6400,5200-6400
最大功率(kW)_y,180,180,250,250,250
最大功率(kW)_x,180,180,250,250,250
最大净功率(kW),180,180,250,250,250
最低荷电状态油耗(L/100km),-,-,-,-,-
无钥匙进入功能,,,,,
无钥匙启动系统,●,●,●,●,●
无框设计车门,-,-,-,-,-
方向盘记忆,○,○,○,○,○
方向盘材质,,,,,
方向盘换挡,●,●,●,●,●
方向盘加热,○,○,○,○,●
方向盘位置调节,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),2115,2130,2265,2280,-
整体主动转向系统,○,○,○,○,●
摄像头数量,-,-,-,-,-
排量(mL),1984,1984,2995,2995,2995
挡位个数,8,8,8,8,8
扬声器数量,,,,,
扬声器品牌名称,,,,,
手机无线充电功能,,,,,
手机互联/映射,,,,,
手势控制,-,-,-,-,-
感应雨刷功能,,,,,
感应后备厢,●,●,●,●,●
座椅材质,,,,,
座椅布局,,,,,
座位数(个),7,7,7,7,7
并线辅助,○,○,○,●,○
巡航系统,,,,,
尾门玻璃独立开启,-,-,-,-,-
导航路况信息显示,●,●,●,●,●
宽度(mm),1970,1970,1970,1970,1970
实测油耗(L/100km),-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-
官方0-100km/h加速(s),7.1,7.1,5.9,5.9,-
安全带未系提醒,,,,,
天窗类型,,,,,
大灯高度可调,●,●,●,●,●
大灯清洗装置,●,●,●,●,●
大灯延时关闭,●,●,●,●,●
夜视系统,○,○,○,○,○
多层隔音玻璃,-,-,-,-,-
多媒体/充电接口,,,,,
多功能方向盘,●,●,●,●,●
外后视镜功能,,,,,
备胎规格,无,无,无,无,无
四驱形式,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱
后风挡遮阳帘,-,-,-,-,-
后雨刷,●,●,●,●,●
后轮距(mm),-,-,-,-,-
后轮胎规格,285/45 R20,285/45 R20,285/40 R21,285/40 R21,285/40 R21
后排独立空调,●,●,●,●,●
后排液晶屏幕,-,-,-,-,-
后排杯架,●,●,●,●,●
