Feature,35283,35284,35285,35286,35287,35288,38420,38421,38422,38423,38424,38425
高度(mm),1691,1691,1691,1691,1691,1691,1691,1691,1691,1691,1691,1691
驻车制动类型,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4897,4897,4897,4897,4897,4897,4897,4897,4897,4897,4897,4897
长*宽*高(mm),4897*1908*1691,4897*1908*1691,4897*1908*1691,4897*1908*1691,4897*1908*1691,4897*1908*1691,4897*1908*1691,4897*1908*1691,4897*1908*1691,4897*1908*1691,4897*1908*1691,4897*1908*1691
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,●,●,●,●,●,-,●,●,●,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,LED,LED,LED,LED,LED,卤素,LED,LED,LED,LED,LED
进气形式,自然吸气,自然吸气,自然吸气,机械增压,机械增压,机械增压,自然吸气,自然吸气,自然吸气,机械增压,机械增压,机械增压
近光灯,卤素,LED,LED,LED,LED,LED,卤素,LED,LED,LED,LED,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,●,●,●,-,-,-,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,●,-,●,●,-,-,●,-,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,●,●,●,●,●,-,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位
车型名称,楼兰 2019款 2.5L XE 两驱精英版 国V,楼兰 2019款 2.5L XL 两驱智联豪华版 国V,楼兰 2019款 2.5L XL Plus 两驱智联领先版 国V,楼兰 2019款 2.5 S/C HEV XE 四驱混动智联尊尚版 国V,楼兰 2019款 2.5 S/C HEV XL 四驱混动智联尊贵版 国V,楼兰 2019款 2.5 S/C HEV XV 四驱混动智联旗舰版 国V,楼兰 2019款 2.5L XE 两驱精英版 国VI,楼兰 2019款 2.5L XL 两驱智联豪华版 国VI,楼兰 2019款 2.5L XL Plus 两驱智联领先版 国VI,楼兰 2019款 2.5 S/C HEV XE 四驱混动智联尊尚版 国VI,楼兰 2019款 2.5 S/C HEV XL 四驱混动智联尊贵版 国VI,楼兰 2019款 2.5 S/C HEV XV 四驱混动智联旗舰版 国VI
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,●,●,●,●,●,-,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),535-1425,535-1425,535-1425,535-1425,535-1425,535-1425,535-1425,535-1425,535-1425,535-1425,535-1425,535-1425
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,-,●,●,●,●,●,-,●,●,●,●,●
能源类型,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,汽油,油电混合,油电混合,油电混合
胎压监测装置,●,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
系统综合扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
系统综合功率(kW),-,-,-,-,-,-,-,-,-,-,-,-
简称,CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡)
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-
