Feature,1012480,1012481,1012482,1012483,1012484,1012485,1012486,1012487,1012488,1012489,1012490,1012491,1012492,1012493,1012494,1012495,1012496,1012497,1012498,1012499,1012500,1012501,1012502,1012503,1012504,1012505,1012506,1012507,1012508,1012509,1012510,1012511,1012512,1012513,1012514,1012515,1012516,1012517,1012518,1012519,1012520,1012521,1012522,1012523,1012524,1012525,1012526,1012527,1012528,1012529,1012530,1012531,1012532,1012533,1012534,1012535,1012536,1012537,1012538,1012539,1012540,1012541,1012542,1012543,1012544,1012545,1012546,1012547,1012548,1012549,1012550,1012551,1012552,1012553,1012554,1012555,1012556,1012557,1012562,1012563,1012564,1012565,1012566,1012567,1012568,1012569,1012570,1012571,1012572,1012573
高度(mm),2130,2745,2695,2150,2150,2625,2625,2580,2580,2130,2745,2695,2150,2150,2625,2625,2580,2580,2080,2705,2675,2100,2595,2565,2080,2605,2575,2100,2495,2465,2125,2735,2735,2125,2735,2735,2125,2125,2635,2635,2595,2595,2125,2125,2635,2635,2595,2595,2060,2645,2610,2060,2545,2510,2080,2545,2510,2080,2445,2410,2070,2645,2615,2070,2645,2615,2075,2075,2550,2550,2550,2550,2075,2075,2550,2550,2550,2550,2135,2745,2135,2745,2080,2595,2080,2595,2125,2605,2125,2605
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5690,5690,5690,5770,5970,5770,5970,5770,5970,5690,5690,5690,5770,5970,5770,5970,5770,5970,5455,5455,5455,5455,5455,5455,5455,5455,5455,5455,5455,5455,5690,5690,5690,5690,5690,5690,5790,5990,5790,5990,5790,5990,5790,5990,5790,5990,5790,5990,5440,5440,5440,5440,5440,5440,5440,5440,5440,5440,5440,5440,5640,5640,5640,5640,5640,5640,5730,5930,5730,5930,5730,5930,5730,5930,5730,5930,5730,5930,5695,5695,5695,5695,5500,5500,5500,5500,5960,5960,5960,5960
长*宽*高(mm),5690×1850×2130,5690×1850×2745,5690×1850×2695,5770×1850×2150,5970×1850×2150,5770×1850×2625,5970×1850×2625,5770×1850×2580,5970×1850×2580,5690×1850×2130,5690×1850×2745,5690×1850×2695,5770×1850×2150,5970×1850×2150,5770×1850×2625,5970×1850×2625,5770×1850×2580,5970×1850×2580,5455×1780×2080,5455×1780×2705,5455×1780×2675,5455×1780×2100,5455×1780×2595,5455×1780×2565,5455×1780×2080,5455×1780×2605,5455×1780×2575,5455×1780×2100,5455×1780×2495,5455×1780×2465,5690×1850×2125,5690×1850×2735,5690×1850×2735,5690×1850×2125,5690×1850×2735,5690×1850×2735,5790×1780×2125,5990×1780×2125,5790×1780×2635,5990×1780×2635,5790×1780×2595,5990×1780×2595,5790×1780×2125,5990×1780×2125,5790×1780×2635,5990×1780×2635,5790×1780×2595,5990×1780×2595,5440×1780×2060,5440×1780×2645,5440×1780×2610,5440×1780×2060,5440×1780×2545,5440×1780×2510,5440×1780×2080,5440×1780×2545,5440×1780×2510,5440×1780×2080,5440×1780×2445,5440×1780×2410,5640×1850×2070,5640×1850×2645,5640×1850×2615,5640×1850×2070,5640×1850×2645,5640×1850×2615,5730×1780×2075,5930×1780×2075,5730×1780×2550,5930×1780×2550,5730×1780×2550,5930×1780×2550,5730×1780×2075,5930×1780×2075,5730×1780×2550,5930×1780×2550,5730×1780×2550,5930×1780×2550,5695×1850×2135,5695×1850×2745,5695×1850×2135,5695×1850×2745,5500×1780×2080,5500×1780×2595,5500×1780×2080,5500×1780×2595,5960×1780×2125,5960×1780×2605,5960×1780×2125,5960×1780×2605
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
