Feature,49153,49278,50452,50507,54077
高度(mm),1660,1660,1645,1645,1645
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,双电机,双电机,双电机,单电机
驱动方式,后置后驱,双电机四驱,双电机四驱,双电机四驱,后置后驱
首任车主质保政策,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）
面部识别,●,●,●,●,●
隐藏电动门把手,●,●,●,●,●
陡坡缓降,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-
长度(mm),4905,4905,4905,4905,4905
长*宽*高(mm),4905*1950*1660,4905*1950*1660,4905*1950*1645,4905*1950*1645,4905*1950*1645
钥匙类型,,,,,
配气机构,-,DOHC,-,DOHC,-
道路救援呼叫,-,-,-,-,-
道路交通标识识别,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
进气形式,-,涡轮增压,-,涡轮增压,-
近光灯光源,,,,,
运动风格座椅,-,-,-,-,-
运动外观套件,-,-,-,-,-
辅助驾驶芯片,-,-,-,-,-
轴距(mm),2960,2960,2960,2960,2960
轮圈材质,,,,,
转向辅助灯,-,-,-,-,-
转向头灯,-,-,-,-,-
车顶行李架,●,●,●,●,●
车门数(个),5,5,5,5,5
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,-,-,-,-,-
车载电视,-,-,-,-,-
车载冰箱,-,-,-,-,-
车载CD/DVD,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,岚图FREE 2021款 两驱纯电版,岚图FREE 2021款 四驱增程版,岚图FREE 2021款 四驱纯电版专属豪华套装,岚图FREE 2021款 四驱增程版专属豪华套装,岚图FREE 2021款 两驱纯电城市版
车前雾灯,-,-,-,-,-
车内香氛装置,-,-,●,●,●
车内环境氛围灯,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车侧脚踏板,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
负离子发生器,-,-,-,-,-
语音识别控制系统,,,,,
触摸式阅读灯,-,-,-,-,-
被动行人保护,-,-,-,-,-
行车电脑显示屏幕,,,,,
行程(mm),-,-,-,-,-
行李厢容积(L),632-1392,560-1320,632-1392,560-1320,632-1392
行李厢12V电源接口,●,●,●,●,●
