Feature,50692,50798,50799,51051,51052,51053,51054,51055,51056,51057,55477,55575,55576,55663,55775,55776
高度(mm),1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685
驾驶辅助影像,,,,-,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4555,4555,4555,4555,4555,4555,4555,4555,4555,4555,4575,4575,4575,4575,4575,4575
长*宽*高(mm),4555*1842*1685,4555*1842*1685,4555*1842*1685,4555*1842*1685,4555*1842*1685,4555*1842*1685,4555*1842*1685,4555*1842*1685,4555*1842*1685,4555*1842*1685,4575*1842*1685,4575*1842*1685,4575*1842*1685,4575*1842*1685,4575*1842*1685,4575*1842*1685
钥匙类型,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶芯片,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
轮圈材质,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-
车顶行李架,●,●,●,-,-,●,●,●,●,●,●,●,●,●,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,●,●,●,-,○,○,○,○,○,●,●,●,○,●,○,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,●,●,○,●,○,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,
车型名称,马自达CX-5 2021款 2.5L 自动四驱黑骑士,马自达CX-5 2021款 2.0L 自动两驱黑骑士,马自达CX-5 2021款 2.5L 自动两驱黑骑士,马自达CX-5 2021款 2.0L 自动两驱舒适型,马自达CX-5 2021款 2.0L 自动两驱智慧型,马自达CX-5 2021款 2.0L 自动两驱智尊型,马自达CX-5 2021款 2.5L 自动两驱智慧型,马自达CX-5 2021款 2.5L 自动两驱智尊型,马自达CX-5 2021款 2.5L 自动四驱智尊型,马自达CX-5 2021款 2.5L 自动四驱旗舰型,马自达CX-5 2022款 2.5L 自动四驱尊耀型,马自达CX-5 2022款 2.5L 自动两驱智尊型,马自达CX-5 2022款 2.0L 自动两驱智雅型,马自达CX-5 2022款 2.5L 自动两驱智慧型,马自达CX-5 2022款 2.0L 自动两驱智尚型,马自达CX-5 2022款 2.0L 自动两驱舒适型
车前雾灯,,,,-,-,,,,,,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车侧脚踏板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
