Feature,1004248,1004249,1004501,1004502
高度(mm),2480,2480,1850,1850
驱动电机数,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱
零胎压继续行驶,-,-,-,-
陡坡缓降,-,-,-,-
防紫外线玻璃,-,-,-,-
长度(mm),4825,4825,4780,4780
长*宽*高(mm),4825×1650×2480,4825×1650×2480,4780×1635×1850,4780×1635×1850
铝合金轮圈,-,-,-,-
配气机构,DOHC,DOHC,未知,未知
遮阳板化妆镜,-,-,-,-
遥控钥匙,-,-,-,-
道路救援呼叫,-,-,-,-
远光灯,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-
运动外观套件,-,-,-,-
轴距(mm),2850,2850,2850,2850
转向辅助灯,-,-,-,-
转向头灯,-,-,-,-
车顶行李架,-,-,-,-
车门数(个),2,2,2,2
车载电视,-,-,-,-
车载冰箱,-,-,-,-
车身结构_y,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-
车窗防夹手功能,-,-,-,-
车型名称,成功K1 2016款 1.2L 箱式运输车舒适型,成功K1 2016款 1.2L 箱式运输车基本型,成功K1 2016款 1.3L 舒适型HH413Q/P-A,成功K1 2016款 1.3L 基本型HH413Q/P-A
车内空气调节/花粉过滤,-,-,-,-
车内氛围灯,-,-,-,-
车内中控锁,-,-,-,-
车体结构,承载式,承载式,承载式,承载式
货箱尺寸(mm),2760x1525x1565,2760x1525x1565,2900x1540x375,2900x1540x375
行车电脑显示屏,-,-,-,-
行程(mm),79,79,-,-
蓝牙/车载电话,-,-,-,-
自适应远近光,-,-,-,-
自动驻车,-,-,-,-
自动头灯,-,-,-,-
膝部气囊,-,-,-,-
腰部支撑调节,-,-,-,-
能源类型,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-
肩部支撑调节,-,-,-,-
缸盖材料,铝,铝,铝,铝
缸径(mm),69.7,69.7,-,-
缸体材料,未知,未知,未知,未知
级别,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,-,-,-,-
第二排座椅移动,-,-,-,-
第三排座椅,-,-,-,-
空调控制方式,手动●,-,手动●,-
空气悬架,-,-,-,-
皮质方向盘,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-
电池组质保,-,-,-,-
电池类型,-,-,-,-
电池容量(kWh),-,-,-,-
电池充电时间,-,-,-,-
电机类型,-,-,-,-
电机布局,-,-,-,-
电动机总扭矩(N·m),-,-,-,-
电动机总功率(kW),-,-,-,-
电动座椅记忆,-,-,-,-
电动天窗,-,-,-,-
电动吸合门,-,-,-,-
电动后备厢,-,-,-,-
环保标准,国IV,国IV,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-
燃油标号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-
油箱容积(L),40,40,40,40
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),130,130,130,130
最小离地间隙(mm),160,160,160,160
最大马力(Ps),86,86,87,87
最大载重质量(kg),800,800,925,925
最大扭矩转速(rpm),4000-4400,4000-4400,-,-
最大扭矩(N·m)_y,108,108,127,127
最大扭矩(N·m)_x,-,-,-,-
最大功率转速(rpm),6000,6000,6000,6000
最大功率(kW)_y,63,63,64,64
最大功率(kW)_x,-,-,-,-
无钥匙进入系统,-,-,-,-
无钥匙启动系统,-,-,-,-
方向盘调节,-,-,-,-
方向盘记忆,-,-,-,-
方向盘电动调节,-,-,-,-
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
整车质保,-,-,-,-
整备质量(kg),1170,1170,1045,1045
排量(mL),1206,1206,1300,1300
挡位个数,5,5,5,5
扬声器品牌,-,-,-,-
扬声器个数,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
感应雨刷,-,-,-,-
感应后备厢,-,-,-,-
快充电量(%),-,-,-,-
座椅高低调节,-,-,-,-
座椅材料,织物,织物,织物,织物
座位数(个),2,2,2,2
并线辅助,-,-,-,-
