,1003563,1003564,1004057,1004058,1004850,1004851,1005645,1005646,1005647,1005648,1006290,1006291
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,-,-,●,●,-,-,●,●,-,-
后视镜加热,-,-,-,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,-
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,小老虎 2015款 2.4T精英版大双排4D25,小老虎 2015款 2.4T精英版中双排4D25,小老虎 2015款 2.4T标准版大双排4D25,小老虎 2015款 2.4T标准版中双排4D25,小老虎 2016款 2.2L精英版大双排V22,小老虎 2016款 2.2L精英版中双排V22,小老虎 2017款 2.8T柴油国V标准型大双排CA4D28C5-1B,小老虎 2017款 2.8T柴油国V标准型中双排CA4D28C5-1B,小老虎 2017款 2.8T柴油国V舒适型大双排CA4D28C5-1B,小老虎 2017款 2.8T柴油国V舒适型中双排CA4D28C5-1B,小老虎 2018款 2.2L兴业版舒适型V22,小老虎 2018款 2.2L兴业版基本型V22
厂商指导价(元),6.78万,6.68万,6.48万,6.38万,6.48万,6.38万,7.09万,6.99万,7.79万,7.69万,5.60万,5.40万
厂商,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
能源类型,柴油,柴油,柴油,柴油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油
上市时间,2015.08,2015.08,2016.03,2016.03,2016.11,2016.11,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.4T 88马力 L4,2.4T 88马力 L4,2.4T 88马力 L4,2.4T 88马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.8T 109马力 L4,2.8T 109马力 L4,2.8T 109马力 L4,2.8T 109马力 L4,2.2L 112马力 L4,2.2L 112马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),5560×1750×1725,5265×1750×1725,5560×1750×1725,5265×1750×1725,5560×1750×1725,5265×1750×1725,5575×1750×1710,5280×1750×1710,5575×1750×1710,5280×1750×1710,5545×1830×1770,5545×1830×1770
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-
整车质保,待查,待查,待查,待查,-,-,-,-,-,-,-,-
长度(mm),5560,5265,5560,5265,5560,5265,5575,5280,5575,5280,5545,5545
宽度(mm),1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1830,1830
高度(mm),1725,1725,1725,1725,1725,1725,1710,1710,1710,1710,1770,1770
轴距(mm),3395,3100,3395,3100,3395,3100,3395,3100,3395,3100,3395,3395
前轮距(mm),1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475
后轮距(mm),1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475
最小离地间隙(mm),191,191,191,191,191,191,-,-,-,-,-,-
整备质量(kg),1660,1620,1660,1620,-,-,-,-,-,-,1550,1550
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-
货箱尺寸(mm),1895x1505x480,1600x1505x480,1895x1505x480,1600x1505x480,1895x1505x480,1600x1505x480,-,-,-,-,2020x1700x370,2020x1700x370
最大载重质量(kg),480,480,480,480,480,480,480,480,480,480,480,480
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
前悬架类型,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂,双叉臂式独立悬挂
后悬架类型,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式,钢板弹簧整体桥式
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,盘式,盘式,鼓式,鼓式,鼓式,鼓式,盘式,盘式
前轮胎规格,225/75 R15,225/75 R15,225/75 R15,225/75 R15,215/75 R15,215/75 R15,225/75 R15,225/75 R15,225/75 R15,225/75 R15,215/75 R15,215/75 R15
后轮胎规格,225/75 R15,225/75 R15,225/75 R15,225/75 R15,215/75 R15,215/75 R15,225/75 R15,225/75 R15,225/75 R15,225/75 R15,215/75 R15,215/75 R15
发动机型号,4D25,4D25,4D25,4D25,V22,V22,CA4D28C5-1B,CA4D28C5-1B,CA4D28C5-1B,CA4D28C5-1B,V22,V22
排量(mL),2433,2433,2433,2433,2237,2237,2771,2771,2771,2771,2237,2237
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
压缩比,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),88,88,88,88,112,112,109,109,109,109,112,112
最大功率(kW)_y,65,65,65,65,82,82,80,80,80,80,82,82
最大功率转速(rpm),3200,3200,3200,3200,4200-4600,4200-4600,3600,3600,3600,3600,4200-4600,4200-4600
最大扭矩(N·m)_y,225,225,225,225,198,198,230,230,230,230,198,198
最大扭矩转速(rpm),2000,2000,2000,2000,2400-3600,2400-3600,1400-2600,1400-2600,1400-2600,1400-2600,2400-3600,2400-3600
燃料形式,柴油,柴油,柴油,柴油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油
燃油标号,0号,0号,0号,0号,92号,92号,0号,0号,0号,0号,92号,92号
供油方式,直喷,直喷,直喷,直喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷
缸盖材料,未知,未知,未知,未知,铝合金,铝合金,未知,未知,未知,未知,铝合金,铝合金
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
环保标准,国IV,国IV,国IV,国IV,国V,国V,国V,国V,国V,国V,国V,国V
电机类型,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-
