,18558,18560,18562,18563,18564,18565,18569,18570,18571,18574,18575,18577,20457,20458,20459
上坡辅助,-,-,-,-,-,-,-,-,-,-,-,-,○,○,●
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,●,●,-,●,●,-,●,●,-,●,●,-,●,●
全景天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
铝合金轮圈,○,●,●,○,●,●,○,●,●,○,●,●,○,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,●,●,-,-,●,-,-,●,-,●,-,-,●,●
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙进入系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,主●&nbsp;/&nbsp;副-,-,-,-,-,-,-,-,-,主●&nbsp;/&nbsp;副-,-,-,-
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,2座,2座,2座
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,-,●,●,-,-,●,-,-,●,-,●,●,-,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,-,●,●,-,-,●,-,-,●,-,●,●,-,●,●
中控台彩色大屏尺寸,-,7英寸,7英寸,-,-,7英寸,-,-,7英寸,-,7英寸,7英寸,-,7英寸,7英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,●,●,-,-,●,-,-,●,-,●,●,-,●,●
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,●,●,-,-,●,-,-,●,-,●,●,-,●,●
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
CD/DVD,单碟CD,单碟DVD,单碟DVD,单碟CD,单碟CD,单碟DVD,单碟CD,单碟CD,单碟DVD,单碟CD,单碟DVD,单碟DVD,单碟CD,单碟DVD,单碟DVD
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,4-5喇叭,10-11喇叭,10-11喇叭,4-5喇叭,4-5喇叭,10-11喇叭,4-5喇叭,4-5喇叭,10-11喇叭,4-5喇叭,10-11喇叭,10-11喇叭,4-5喇叭,8-9喇叭,8-9喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,●,●,-,-,●,-,-,●,-,●,●,-,●,●
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,比亚迪S6 2014款 1.5TI 手动豪华型 5座,比亚迪S6 2014款 1.5TI 手动尊贵型 5座,比亚迪S6 2014款 1.5TI 手动旗舰型 5座,比亚迪S6 2014款 2.0L 手动豪华型 5座,比亚迪S6 2014款 2.0L 手动精英型 5座,比亚迪S6 2014款 2.0L 手动尊贵型 5座,比亚迪S6 2014款 2.4L 手动豪华型 5座,比亚迪S6 2014款 2.4L 手动精英型 5座,比亚迪S6 2014款 2.4L 手动尊贵型 5座,比亚迪S6 2014款 2.4L 自动豪华型 5座,比亚迪S6 2014款 2.4L 自动尊贵型 5座,比亚迪S6 2014款 2.4L 自动旗舰型 5座,比亚迪S6 2014款 2.0L 手动豪华型 7座,比亚迪S6 2014款 1.5TI 手动尊贵型 7座,比亚迪S6 2014款 2.4L 自动尊贵型 7座
厂商指导价(元),8.79万,9.79万,10.79万,7.99万,8.99万,9.99万,9.29万,9.99万,11.39万,9.99万,10.99万,12.39万,8.49万,10.29万,11.69万
厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2014.03,2014.03,2014.03,2014.03,2014.03,2014.03,2014.03,2014.03,2014.03,2014.03,2014.03,2014.03,2014.09,2014.09,2014.09
最大功率(kW)_x,113,113,113,103,103,103,123,123,123,123,123,123,103,113,123
最大扭矩(N·m)_x,240,240,240,186,186,186,234,234,234,234,234,234,186,240,234
发动机,1.5T 154马力 L4,1.5T 154马力 L4,1.5T 154马力 L4,2.0L 140马力 L4,2.0L 140马力 L4,2.0L 140马力 L4,2.4L 167马力 L4,2.4L 167马力 L4,2.4L 167马力 L4,2.4L 167马力 L4,2.4L 167马力 L4,2.4L 167马力 L4,2.0L 140马力 L4,1.5T 154马力 L4,2.4L 167马力 L4
变速箱,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡双离合,6挡双离合,6挡双离合,5挡手动,6挡手动,6挡双离合
长*宽*高(mm),4810*1855*1680,4810*1855*1725,4810*1855*1725,4810*1855*1680,4810*1855*1680,4810*1855*1725,4810*1855*1680,4810*1855*1680,4810*1855*1725,4810*1855*1680,4810*1855*1725,4810*1855*1725,4810*1855*1680,4810*1855*1725,4810*1855*1725
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV
最高车速(km/h),180,180,180,180,180,180,185,185,185,185,185,185,180,180,185
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,8.8,8.8,8.8,11.2,9.8,11
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
长度(mm),4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810
宽度(mm),1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855
高度(mm),1680,1725,1725,1680,1680,1725,1680,1680,1725,1680,1725,1725,1680,1725,1725
轴距(mm),2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720
前轮距(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
后轮距(mm),1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555
最小离地间隙(mm),190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,7,7,7
油箱容积(L),72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
行李厢容积(L),1084-2398,1084-2398,1084-2398,1084-2398,1084-2398,1084-2398,1084-2398,1084-2398,1084-2398,1084-2398,1084-2398,1084-2398,1084-2398,1084-2398,1084-2398
整备质量(kg),1610,1610,1610,1620,1620,1620,1665,1665,1665,1695,1695,1695,-,-,-
发动机型号,BYD476ZQA,BYD476ZQA,BYD476ZQA,BYD483QB,BYD483QB,BYD483QB,BYD488QA,BYD488QA,BYD488QA,BYD488QA,BYD488QA,BYD488QA,BYD483QB,BYD476ZQA,BYD488QA
排量(mL),1497,1497,1497,1991,1991,1991,2362,2362,2362,2362,2362,2362,1991,1497,2362
进气形式,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),154,154,154,140,140,140,167,167,167,167,167,167,140,154,167
最大功率(kW)_y,113,113,113,103,103,103,123,123,123,123,123,123,103,113,123
最大功率转速(rpm),5200,5200,5200,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5200,6000
最大扭矩(N·m)_y,240,240,240,186,186,186,234,234,234,234,234,234,186,240,234
最大扭矩转速(rpm),1750-3500,1750-3500,1750-3500,4000-4500,4000-4500,4000-4500,4000,4000,4000,4000,4000,4000,4000-4500,1750-3500,4000
发动机特有技术,可变气门正时,可变气门正时,可变气门正时,BIVT可变进气系统,BIVT可变进气系统,BIVT可变进气系统,BIVT可变进气系统,BIVT可变进气系统,BIVT可变进气系统,BIVT可变进气系统,BIVT可变进气系统,BIVT可变进气系统,BIVT可变进气系统,可变气门正时,BIVT可变进气系统
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国IV(国V),国IV(国V),国IV(国V),国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV(国V),国IV
挡位个数,6,6,6,5,5,5,6,6,6,6,6,6,5,6,6
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),双离合变速箱(DCT)
简称,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡双离合,6挡双离合,6挡双离合,5挡手动,6挡手动,6挡双离合
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17
后轮胎规格,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
