,22022,22030,22036,22345,24742,24743,24745,33178,33179,33180
铝合金轮圈,-,●,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,●,●,●,●,●,●,-,●,●
发动机电子防盗,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,-,-,-,-,-,-,●,-,-,●
无钥匙进入系统,-,-,-,-,-,-,●,-,-,●
远程启动,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-,●,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘电动调节,-,-,-,-,-,-,-,-,-,-
多功能方向盘,-,-,●,-,-,●,●,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,-,-,-,-,-,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-,-,-
座椅材质,织物,织物,仿皮,织物,织物,仿皮,仿皮,仿皮,仿皮,仿皮
运动风格座椅,-,-,-,-,-,-,-,-,-,-
座椅高低调节,-,-,-,-,-,-,●,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●
第二排座椅移动,-,-,●,-,-,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,前●&nbsp;/&nbsp;后-,-,-,-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,●,●,●,●,●,●,●,●,●,●
第三排座椅,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座
后排座椅放倒方式,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后排杯架,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-
GPS导航系统,-,-,●,-,-,●,●,-,-,-
道路救援呼叫,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,-,-,●,-,-,●,●,○,○,○
中控台彩色大屏尺寸,-,-,8英寸,-,-,8英寸,8英寸,(选装8英寸),(选装8英寸),(选装8英寸)
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,●,-,-,●,●,-,-,-
手机互联/映射,-,-,●,-,-,●,●,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
CD/DVD,-,-,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-
扬声器数量,4-5喇叭,4-5喇叭,6-7喇叭,4-5喇叭,4-5喇叭,6-7喇叭,6-7喇叭,2-3喇叭,2-3喇叭,4-5喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
前雾灯,-,●,●,●,●,●,●,-,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,-,●,●,-,-,●,●,-,●,●
后视镜加热,-,-,-,-,-,-,●,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●
后雨刷,-,●,●,-,-,●,●,-,-,●
感应雨刷,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-,-,-,-
后座出风口,-,●,●,●,●,●,●,-,-,●
温度分区控制,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-
车型名称,华晨金杯750 2015款 1.5L 舒适型,华晨金杯750 2015款 1.5L 尊贵型,华晨金杯750 2015款 1.5L 旗舰型,华晨金杯750 2015款 1.5L 豪华型,华晨金杯750 2016款 1.5L 豪华型,华晨金杯750 2016款 1.5L 旗舰型,华晨金杯750 2016款 1.5L e动型,华晨金杯750 2018款 1.5L 舒适天窗版,华晨金杯750 2018款 1.5L E动天窗版,华晨金杯750 2018款 1.6L 卓越型
厂商指导价(元),5.38万,5.98万,6.38万,5.68万,5.88万,6.58万,7.33万,5.49万,5.99万,6.69万
厂商,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源
级别,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2015.04,2015.04,2015.04,2015.04,2015.12,2015.12,2015.12,2017.12,2017.12,2017.12
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,82,82,82,82,82,82,82,82,82,86
最大扭矩(N·m)_x,147,147,147,147,147,147,147,147,147,160
发动机,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.6L 117马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4515*1750*1760,4515*1750*1795,4515*1750*1795,4515*1750*1795,4515*1750*1795,4515*1750*1795,4560*1790*1795,4515*1750*1760,4560*1790*1795,4560*1790*1795
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
最高车速(km/h),165,165,165,165,165,165,165,165,165,165
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7,7,7,7,7,7,7,7,7,6.7
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4515,4515,4515,4515,4515,4515,4560,4515,4560,4560
宽度(mm),1750,1750,1750,1750,1750,1750,1790,1750,1790,1790
高度(mm),1760,1795,1795,1795,1795,1795,1795,1760,1795,1795
轴距(mm),2725,2725,2725,2725,2725,2725,2725,2725,2725,2725
前轮距(mm),1495,1495,1495,1495,1495,1495,1495,1495,1495,1495
后轮距(mm),1520,1520,1520,1520,1520,1520,1520,1520,1520,1520
最小离地间隙(mm),180,180,180,180,180,180,180,180,180,180
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车门数(个),5,5,5,5,5,5,5,5,5,5
座位数(个),7,7,7,7,7,7,7,7,7,7
油箱容积(L),50,50,50,50,50,50,50,50,50,50
行李厢容积(L),-,-,-,-,-,-,-,-,-,-
整备质量(kg),1350,1350,1350,1350,1350,1350,1350,1350,1350,1400
发动机型号,DLDG15,DLDG15,DLDG15,DLDG15,DLDG15,DLDG15,DLDG15,DLDG15,DLDG15,DLDG16
排量(mL),-,-,-,-,-,-,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4
压缩比,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),75,75,75,75,75,75,75,-,-,-
行程(mm),84.8,84.8,84.8,84.8,84.8,84.8,84.8,-,-,-
最大马力(Ps),112,112,112,112,112,112,112,112,112,117
最大功率(kW)_y,82,82,82,82,82,82,82,82,82,86
最大功率转速(rpm),5800,5800,5800,5800,5800,5800,5800,5800,5800,5800
最大扭矩(N·m)_y,147,147,147,147,147,147,147,147,147,160
最大扭矩转速(rpm),4000-4500,4000-4500,4000-4500,4000-4500,4000-4500,4000-4500,4000-4500,4000-4500,4000-4500,3800-4400
发动机特有技术,-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国V,国V,国V
挡位个数,5,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,五连杆螺旋弹簧非独立悬架 ,五连杆螺旋弹簧非独立悬架 ,五连杆螺旋弹簧非独立悬架 ,五连杆螺旋弹簧非独立悬架 ,五连杆螺旋弹簧非独立悬架 ,五连杆螺旋弹簧非独立悬架 ,五连杆螺旋弹簧非独立悬架 ,五连杆螺旋弹簧非独立悬架 ,五连杆螺旋弹簧非独立悬架 ,五连杆螺旋弹簧非独立悬架 
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,盘式,盘式,盘式,盘式,盘式,盘式,鼓式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,195/65 R15,195/65 R15,195/65 R15,195/65 R15,195/65 R15,195/65 R15,205/55 R16,195/65 R15,195/65 R15,205/55 R16
后轮胎规格,195/65 R15,195/65 R15,195/65 R15,195/65 R15,195/65 R15,195/65 R15,205/55 R16,195/65 R15,195/65 R15,205/55 R16
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
