Feature,30586,32160,32161,32162,32164,32165,32166,32167
高度(mm),1414,1425,1425,1425,1414,1413,1413,1413
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-
长度(mm),4463,4432,4432,4432,4463,4432,4463,4463
长*宽*高(mm),4463*1774*1414,4432*1774*1425,4432*1774*1425,4432*1774*1425,4463*1774*1414,4432*1774*1413,4463*1774*1413,4463*1774*1413
铝合金轮圈,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-,-
远光灯,LED,LED,LED,LED,LED,LED,LED,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,LED,LED,LED,LED,LED,LED,LED,LED
运动风格座椅,●,●,●,●,●,●,●,●
运动外观套件,●,-,-,●,●,-,●,●
轴距(mm),2690,2690,2690,2690,2690,2690,2690,2690
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,●,○,○,●,●,-,-,●
车顶行李架,-,-,-,-,-,-,-,-
车门数(个),2,2,2,2,2,2,2,2
车道偏离预警系统,●,-,○,○,○,-,○,○
车载空气净化器,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车身结构_y,硬顶跑车,硬顶跑车,硬顶跑车,硬顶跑车,硬顶跑车,软顶敞篷车,软顶敞篷车,软顶敞篷车
车身结构_x,2门4座硬顶跑车,2门4座硬顶跑车,2门4座硬顶跑车,2门4座硬顶跑车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座软顶敞篷车,2门4座软顶敞篷车
