Feature,1013561,1013954,1013955,1013956,1015033,1015034,1015035,1015036,1015037,1015038,1015039
高度(mm),1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965
驾驶辅助影像,-,-,-,-,,,,,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4746,4746,4746,4746,4746,4746,4746,4746,4746,4746,4746
长*宽*高(mm),4746×1760×1965,4746×1760×1965,4746×1760×1965,4746×1760×1965,4746*1760*1965,4746*1760*1965,4746*1760*1965,4746*1760*1965,4746*1760*1965,4746*1760*1965,4746*1760*1965
钥匙类型,,,,,,,,,,,
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,
近光灯光源,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050
轮圈材质,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-
车型名称,江豚 2022款 江豚I号超运版国轩高科,江豚 2022款 江豚II号智运版宁德时代,江豚 2022款 江豚I号智运版国轩高科,江豚 2022款 江豚II号超运版宁德时代,江豚 2023款 宽体版 中航锂电38.64kWh,江豚 2023款 宽心版 中航锂电38.64kWh,江豚 2023款 宽体版 国轩高科38.7kWh,江豚 2023款 宽心版 国轩高科38.7kWh,江豚 2023款 宽体版 国轩高科40.55kWh,江豚 2023款 宽心版 国轩高科40.55kWh,江豚 2023款 宽裕版 宁德时代41.86kWh
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),2785x1595x1310,2785x1595x1310,2785x1595x1310,2785x1595x1310,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-
级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-
电池组质保,待查,待查,待查,待查,待查,待查,待查,待查,待查,待查,待查
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),40.5,41.86,40.5,41.86,38.64,38.64,38.7,38.7,40.55,40.55,41.86
电池充电时间,-,-,-,-,-,-,-,-,-,-,-
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),220,220,220,220,220,220,220,220,220,220,220
电动机总功率(kW),60,60,60,60,60,60,60,60,60,60,60
电动机(Ps),82,82,82,82,82,82,82,82,82,82,82
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),80,80,80,80,80,80,80,80,80,80,80
最小离地间隙(mm),173,173,173,173,-,-,-,-,-,-,-
最大载重质量(kg),1028,1038,1028,1038,1065,1038,1070,1050,1050,1028,1038
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m),220,220,220,220,220,220,220,220,220,220,220
最大功率(kW),60,60,60,60,60,60,60,60,60,60,60
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1522,1512,1522,1512,1485,1512,1480,1500,1500,1522,1512
挡位个数,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-
慢充时间(小时),-,-,-,-,-,-,-,-,-,-,-
