Feature,23691,26569,26594,26595,28790,32500,32583,32865,32866,32868,37135,37184,37185,37186,37188,37761,37762
高度(mm),1745,1715,1715,1715,1715,1775,1755,1740,1755,1775,1775,1740,1740,1755,1740,1740,1775
驻车制动类型,手刹,手刹,手刹,手刹,手刹,电子驻车,电子驻车,手刹,电子驻车,电子驻车,电子驻车,手刹,手刹,手刹,电子驻车,手刹,电子驻车
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4710,4685,4685,4685,4710,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780
长*宽*高(mm),4710*1785*1745,4685*1785*1715,4685*1785*1715,4685*1785*1715,4710*1785*1715,4780*1780*1775,4780*1780*1755,4780*1780*1740,4780*1780*1755,4780*1780*1775,4780*1780*1775,4780*1780*1740,4780*1780*1740,4780*1780*1755,4780*1780*1740,4780*1780*1740,4780*1780*1775
铝合金轮圈,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,LED,卤素,卤素,卤素,LED,LED,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,LED,卤素,卤素,卤素,LED,LED,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,○,○,○,-,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门5座MPV,5门8座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
