,27046,27047,27048,27049,27050
车顶行李架,-,-,-,-,-
发动机电子防盗,●,●,●,●,●
车内中控锁,-,●,●,●,●
遥控钥匙,-,●,●,●,●
无钥匙启动系统,-,-,-,●,●
无钥匙进入系统,-,-,-,●,●
远程启动,-,-,-,-,-
皮质方向盘,-,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘电动调节,-,-,-,-,-
多功能方向盘,-,-,-,-,●
方向盘换挡,-,-,-,-,-
方向盘加热,-,-,-,-,-
方向盘记忆,-,-,-,-,-
行车电脑显示屏,-,●,●,●,●
全液晶仪表盘,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-
内置行车记录仪,-,-,-,-,-
主动降噪,-,-,-,-,-
手机无线充电,-,-,-,-,-
座椅材质,织物,织物,织物,织物,织物
运动风格座椅,-,-,-,-,-
座椅高低调节,-,-,-,-,-
腰部支撑调节,-,-,-,-,-
肩部支撑调节,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-
第二排靠背角度调节,-,-,-,-,-
第二排座椅移动,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-
电动座椅记忆,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-
第二排独立座椅,-,-,-,-,-
第三排座椅,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后排杯架,-,-,-,●,●
可加热/制冷杯架,-,-,-,-,-
GPS导航系统,-,-,-,-,-
定位互动服务,-,-,-,-,-
中控台彩色大屏,-,-,-,-,-
中控台彩色大屏尺寸,-,-,-,-,-
中控液晶屏分屏显示,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-
手机互联/映射,-,-,-,-,-
车载电视,-,-,-,-,-
后排液晶屏,-,-,-,-,-
220V/230V电源,-,-,-,-,-
外接音源接口,AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
CD/DVD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD
扬声器品牌,-,-,-,-,-
扬声器数量,4-5喇叭,4-5喇叭,4-5喇叭,6-7喇叭,6-7喇叭
近光灯,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-
自适应远近光,-,-,-,-,-
自动头灯,-,-,-,-,-
转向辅助灯,-,-,-,-,-
转向头灯,-,-,-,-,-
前雾灯,-,●,●,●,●
大灯高度可调,●,●,●,●,●
大灯清洗装置,-,-,-,-,-
车内氛围灯,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-
后视镜电动调节,-,●,●,●,●
后视镜加热,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-
后视镜记忆,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●
后雨刷,●,●,●,●,●
感应雨刷,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-
后座出风口,-,-,-,-,-
温度分区控制,-,-,-,-,-
车内空气调节/花粉过滤,●,●,●,●,●
车载冰箱,-,-,-,-,-
车型名称,瑞奕 2016款 1.4L 手动舒适型GL,瑞奕 2016款 1.4L 手动领先型GLX,瑞奕 2016款 1.4L 自动领先型GLX,瑞奕 2016款 1.4L 自动旗舰型TOP,瑞奕 2016款 1.6L 自动旗舰型TOP
厂商指导价(元),7.29万,7.99万,8.79万,9.49万,9.99万
厂商,北京现代,北京现代,北京现代,北京现代,北京现代
级别,小型车,小型车,小型车,小型车,小型车
能源类型,汽油,汽油,汽油,汽油,汽油
上市时间,2016.07,2016.07,2016.07,2016.07,2016.07
工信部纯电续驶里程(km),-,-,-,-,-
最大功率(kW)_x,78.7,78.7,78.7,78.7,90.4
最大扭矩(N·m)_x,135,135,135,135,155
发动机,1.4L 107马力 L4,1.4L 107马力 L4,1.4L 107马力 L4,1.4L 107马力 L4,1.6L 123马力 L4
变速箱,5挡手动,5挡手动,4挡自动,4挡自动,4挡自动
长*宽*高(mm),4120*1700*1460,4120*1700*1460,4120*1700*1460,4120*1700*1460,4120*1700*1460
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
最高车速(km/h),175,175,170,170,175
官方0-100km/h加速(s),-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-
工信部综合油耗(L/100km),5.8,5.8,6.2,6.2,6.4
实测油耗(L/100km),-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4120,4120,4120,4120,4120
宽度(mm),1700,1700,1700,1700,1700
高度(mm),1460,1460,1460,1460,1460
轴距(mm),2570,2570,2570,2570,2570
前轮距(mm),-,-,-,-,-
后轮距(mm),-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车
车门数(个),5,5,5,5,5
座位数(个),5,5,5,5,5
油箱容积(L),43,43,43,43,43
行李厢容积(L),375-1210,375-1210,375-1210,375-1210,375-1210
整备质量(kg),1060,1060,1086,1086,1088
发动机型号,-,-,-,-,-
排量(mL),1396,1396,1396,1396,1591
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L
气缸数(个),4,4,4,4,4
每缸气门数(个),4,4,4,4,4
压缩比,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-
行程(mm),-,-,-,-,-
最大马力(Ps),107,107,107,107,123
最大功率(kW)_y,78.7,78.7,78.7,78.7,90.4
最大功率转速(rpm),6300,6300,6300,6300,6300
最大扭矩(N·m)_y,135,135,135,135,155
最大扭矩转速(rpm),5000,5000,5000,5000,4200
发动机特有技术,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V)
挡位个数,5,5,4,4,4
变速箱类型,手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT)
简称,5挡手动,5挡手动,4挡自动,4挡自动,4挡自动
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹
前轮胎规格,175/70 R14,175/70 R14,175/70 R14,195/50 R16,195/50 R16
后轮胎规格,175/70 R14,175/70 R14,175/70 R14,195/50 R16,195/50 R16
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
