Feature,58838,58839,58840,58841,58842,58843,58844,58845,58846,58847,61322,61323,61324,61325,61326,61327,61328,61329
高度(mm),1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
驾驶辅助影像,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106
长*宽*高(mm),5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500,5106*1868*1500
钥匙类型,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,○,○,○,○,●,●,●,●,○,○,○,○,●,●,●,●
远程启动功能,,,,,,,,,,,,,,,,,,
