Feature,55162,55189,56275,56276,56277,57251,61782,61783,61784,61785
高度(mm),1592,1592,1592,1592,1592,1577,1605,1605,1592,1592
驾驶辅助影像,,,,,,,,,,
驾驶模式切换,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,手刹,手刹,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-
面部识别,●,-,-,-,-,-,-,-,-,●
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-
长度(mm),3620,3620,3620,3620,3620,3620,3620,3620,3620,3620
长*宽*高(mm),3620*1652*1592,3620*1652*1592,3620*1652*1592,3620*1652*1592,3620*1652*1592,3620*1652*1577,3620*1652*1605,3620*1652*1605,3620*1652*1592,3620*1652*1592
钥匙类型,,,,,,,,,,
道路救援呼叫,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,●,-,-,-,-,-,-,-,-,●
远程启动功能,,,,,,,,,,
远光灯光源,,,,,,,,,,
近光灯光源,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-
辅助驾驶系统,,,,,,,,,,
辅助驾驶等级,,-,-,-,-,-,-,-,-,
轴距(mm),2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
轮圈材质,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,-,-,-,-
车道偏离预警系统,●,-,-,-,-,-,-,-,-,●
车道保持辅助系统,●,-,-,-,-,-,-,-,-,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车载智能系统,-,-,-,-,-,-,,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●,-,-,-,-,-,-,-,●
车联网,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,-,-,-,-,-,-,-,-,●
车窗一键升降功能,,-,-,-,-,-,-,-,-,
车型名称,零跑T03 2022款 星钻版,零跑T03 2022款 耀金版,零跑T03 2022款 玛瑙版,零跑T03 2022款 皓玉版,零跑T03 2022款 琥珀版,零跑T03 2022款 特别版,零跑T03 2023款 200轻享版,零跑T03 2023款 310轻享版,零跑T03 2023款 403轻享版,零跑T03 2023款 403智享版
车前雾灯,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-
