Feature,34400,35796,35797,35798,35799,35800,35984,36003,36004,36005,36006,36007,38498,38499,38509,38510,38512,39144,39398,39399,39400
高度(mm),1495,1495,1495,1515,1515,1515,1495,1495,1495,1515,1515,1515,1515,1515,1495,1495,1495,1515,1515,1515,1515
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765
长*宽*高(mm),4765*1837*1495,4765*1837*1495,4765*1837*1495,4765*1837*1515,4765*1837*1515,4765*1837*1515,4765*1837*1495,4765*1837*1495,4765*1837*1495,4765*1837*1515,4765*1837*1515,4765*1837*1515,4765*1837*1515,4765*1837*1515,4765*1837*1495,4765*1837*1495,4765*1837*1495,4765*1837*1515,4765*1837*1515,4765*1837*1515,4765*1837*1515
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,-,-,-,DOHC,DOHC,DOHC,-,-,-,-,-,DOHC,DOHC,DOHC,-,-,-,-
遮阳板化妆镜,●,●,●,-,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,-,●,-,●,●,●,●,●,-,●,●,●,●,●,●
远程启动,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远光灯,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,卤素(选装LED),LED,LED,LED,LED,LED,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,-,-,-,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,涡轮增压,涡轮增压,涡轮增压,-,-,-,-
近光灯,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,卤素(选装LED),LED,LED,LED,LED,LED,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,●,●,●,-,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,●,-,-,-,●,●,-,●,-,-,●,-,-,●,-,-,○,●,-,-,●
车载空气净化器,●,-,-,●,●,●,-,●,-,-,●,●,●,●,-,-,-,●,-,●,●
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,-,●,-,●,●,●,●,●,-,●,●,●,●,●,●
车窗一键升降,全车,全车,全车,全车,全车,全车,-,全车,-,全车,全车,全车,全车,全车,-,全车,全车,全车,全车,全车,全车
车型名称,秦Pro新能源 2018款 DM 1.5TI 自动智联锐耀型,秦Pro新能源 2018款 DM 1.5TI 自动智联锐动型,秦Pro新能源 2018款 DM 1.5TI 自动智联锐享型,秦Pro新能源 2018款 EV500 智联领动型,秦Pro新能源 2018款 EV500 智联领享型,秦Pro新能源 2018款 EV500 智联领耀型,秦Pro新能源 2018款 DM 1.5TI 自动智联锐尚型,秦Pro新能源 2018款 DM 1.5TI 开发者版专业型,秦Pro新能源 2018款 DM 1.5TI 开发者版入门型,秦Pro新能源 2018款 EV500 开发者版入门型,秦Pro新能源 2018款 EV500 开发者版专业型,秦Pro新能源 2018款 EV500 开发者版自动驾驶型,秦Pro新能源 2019款 EV 超能版 高功率高续航智联领越型,秦Pro新能源 2019款 EV 超能版  高功率高续航智联领创型,秦Pro新能源 2019款 DM 超能版 1.5TI 自动智联劲尚型 国VI,秦Pro新能源 2019款 DM 超能版 1.5TI 自动智联劲炫型 国VI,秦Pro新能源 2019款 DM 超能版 1.5TI 自动智联劲速型 国VI,秦Pro新能源 2019款 EV 超能版 高功率智联领享型,秦Pro新能源 2019款 EV 超能版 标准版智联领尚型,秦Pro新能源 2019款 EV 超能版 高功率智联领动型,秦Pro新能源 2019款 EV 超能版 高功率智联领耀型
车内空气调节/花粉过滤,●,-,-,●,●,●,-,●,-,-,●,●,●,●,-,●,●,●,●,●,●
车内氛围灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,-,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●
自适应远近光,●,-,-,-,●,●,-,●,-,-,●,-,-,●,-,-,○,●,-,-,●
自适应巡航,●,-,-,-,●,●,-,●,-,-,●,-,-,●,-,-,○,●,-,-,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,●
能源类型,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动
胎压监测装置,●,●,●,●,●,●,-,●,-,-,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
