Feature,1007921,1007922,1007923,1007930,1007931,1007932,1007933,1007934,1007935,1007936,1007937,1007938,1008707,1008708,1008709,1008710,1008711,1008712,1008713,1008714,1008715,1008716,1008717,1008718,1009786,1009883,1009884,1009885,1011215,1011216,1011217,1011470,1011471,1011472,1011473,1011474,1011475,1011476,1011477,1011678,1011679,1011680,1011681,1011682,1011683,1011684,1011685
车型名称,长安神骐T20 2019款 1.5L 国VI单排DAM15KR,长安神骐T20 2019款 1.5L 国VI单排仓栅DAM15KR,长安神骐T20 2019款 1.5L 国VI单排厢式DAM15KR,长安神骐T20 2019款 1.5L 国VI双排DAM15KR,长安神骐T20 2019款 1.5L 国VI双排仓栅DAM15KR,长安神骐T20 2019款 1.5L 国VI双排厢式DAM15KR,长安神骐T20 2019款 1.5L 国VI T20L单排DAM15KR,长安神骐T20 2019款 1.5L 国VI T20L单排仓栅DAM15KR,长安神骐T20 2019款 1.5L 国VI T20L单排厢式DAM15KR,长安神骐T20 2019款 1.5L 国VI T20L双排DAM15KR,长安神骐T20 2019款 1.5L 国VI T20L双排仓栅DAM15KR,长安神骐T20 2019款 1.5L 国VI T20L双排厢式DAM15KR,长安神骐T20 2020款 1.5L T20L国VI标准版单排DAM15KR,长安神骐T20 2020款 1.5L T20L国VI标准版单排仓栅DAM15KR,长安神骐T20 2020款 1.5L T20L国VI标准版单排厢式DAM15KR,长安神骐T20 2020款 1.5L T20L国VI标准版双排DAM15KR,长安神骐T20 2020款 1.5L T20L国VI标准版双排仓栅DAM15KR,长安神骐T20 2020款 1.5L T20L国VI标准版双排厢式DAM15KR,长安神骐T20 2020款 1.5L 国VI标准版单排DAM15KR,长安神骐T20 2020款 1.5L 国VI标准版单排仓栅DAM15KR,长安神骐T20 2020款 1.5L 国VI标准版单排厢式DAM15KR,长安神骐T20 2020款 1.5L 国VI标准版双排DAM15KR,长安神骐T20 2020款 1.5L 国VI标准版双排仓栅DAM15KR,长安神骐T20 2020款 1.5L 国VI标准版双排厢式DAM15KR,长安神骐T20 2020款 1.5L 翼开启国VI单排厢式DAM15KR,长安神骐T20 2020款 1.6L 国VI CNG单排厢式DAM16KRC,长安神骐T20 2020款 1.6L 国VI CNG单排DAM16KRC,长安神骐T20 2020款 1.6L 国VI CNG双排DAM16KRC,长安神骐T20 2021款 1.5L 财富版基本型单排DAM15KR,长安神骐T20 2021款 1.5L 财富版基本型单排复合板厢货DAM15KR,长安神骐T20 2021款 1.5L 财富版基本型单排钢板厢货DAM15KR,长安神骐T20 2021款 1.5L 豪华型单排DAM15KR,长安神骐T20 2021款 1.5L 豪华型双排DAM15KR,长安神骐T20 2021款 1.5L 豪华型单排仓栅DAM15KR,长安神骐T20 2021款 1.5L 豪华型双排仓栅DAM15KR,长安神骐T20 2021款 1.5L 豪华型单排复合板厢货DAM15KR,长安神骐T20 2021款 1.5L 豪华型双排复合板厢货DAM15KR,长安神骐T20 2021款 1.5L 豪华型单排钢板厢货DAM15KR,长安神骐T20 2021款 1.5L 豪华型双排钢板厢货DAM15KR,长安神骐T20 2021款 1.5L 豪华型短轴单排仓栅DAM15KR,长安神骐T20 2021款 1.5L 豪华型短轴双排仓栅DAM15KR,长安神骐T20 2021款 1.5L 豪华型短轴单排复合板厢货DAM15KR,长安神骐T20 2021款 1.5L 豪华型短轴单排钢板厢货DAM15KR,长安神骐T20 2021款 1.5L 豪华型短轴双排钢板厢货DAM15KR,长安神骐T20 2021款 1.5L 豪华型短轴单排DAM15KR,长安神骐T20 2021款 1.5L 豪华型短轴双排DAM15KR,长安神骐T20 2021款 1.5L 豪华型（带空调）双排钢板厢货DAM15KR
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3300x1650x370,3300x1650x370,3340x1700x1650,2550x1650x370,2550*1650*370,2615*1700*1650,3600x1650x370,3600x1650x370,3620x1700x1650,3010x1650x370,3010x1650x370,3070x1700x1650,3600x1650x370,3600x1650x370,3685x1710x1650,3010x1650x370,3010x1650x370,3100x1710x1650,3300x1650x370,3300x1650x370,3380x1710x1650,2550x1650x370,2550x1650x370,2635x1710x1650,3260x1660x1680,3480x1710x1650,3400x1650x375,2550x1650x375,3000x1570x375,3035x1570x1675,3055x1620x1650,3600x1650x375,3010x1650x375,3600x1650x375,3010x1650x375,3650x1680x1675,3055x1670x1680,3685x1710x1650,3100x1710x1650,3300x1650x375,2550x1650x375,3350x1675x1680,3380x1710x1650,2635x1710x1650,3300x1650x375,2550x1650x375,3100x1710x1650
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,-,-,-,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,-,-,-,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60,60,60,60,60,-,-,-,40,40,40,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,105,105,105,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
最大载重质量(kg),1495,1390,1470,1495,1395,1480,1495,1385,1295,1495,1385,1335,1870,1385,1325,1610,1390,1350,1495,890,1730,1495,1395,1515,1485,-,-,-,1165,950,980,1870,1610,1760,1505,1295,1330,1700,1350,1785,1535,1725,1730,1515,1890,1635,1350
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,-,-,-,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
最大扭矩(N·m)_y,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,-,-,-,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
最大扭矩(N·m)_x,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,-,-,-,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,-,-,-,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
最大功率(kW)_y,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,77,77,77,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
最大功率(kW)_x,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,77,77,77,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里,六年或20万公里
整备质量(kg)_y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1235,1400,1430,1495,1560,1605,1665,1695,1720,1665,1705,1580,1635,1635,1635,1655,1475,1535,1705
排量(mL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),2,2,2,5,5,5,2,2,2,5,5,5,2,2,2,5,5,5,2,2,2,5,5,5,2,2,2,5,2,2,2,2,5,2,5,2,5,2,5,2,5,2,2,5,2,5,5
