Feature,1004045,1004046,1004047,1004048,1004049,1004050,1004051,1004052
高度(mm),1710,1710,1710,1710,1710,1710,1710,1710
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-
长度(mm),5123,5123,5478,5478,5123,5123,5478,5478
长*宽*高(mm),5123×1720×1710,5123×1720×1710,5478×1720×1710,5478×1720×1710,5123×1720×1710,5123×1720×1710,5478×1720×1710,5478×1720×1710
铝合金轮圈,●,●,●,●,●,●,●,●
配气机构,未知,未知,未知,未知,未知,未知,未知,未知
遮阳板化妆镜,-,-,-,-,-,-,-,-
遥控钥匙,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-
轴距(mm),3025,3025,3380,3380,3025,3025,3380,3380
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-
车型名称,华凯皮卡 2016款 2.2L豪华型短轴JM491Q-ME,华凯皮卡 2016款 2.8T豪华型短轴JE493ZQ8,华凯皮卡 2016款 2.2L豪华型长轴JM491Q-ME,华凯皮卡 2016款 2.8T豪华型长轴JE493ZQ8,华凯皮卡 2016款 2.2L舒适型短轴JM491Q-ME,华凯皮卡 2016款 2.8T舒适型短轴JE493ZQ8,华凯皮卡 2016款 2.2L舒适型长轴JM491Q-ME,华凯皮卡 2016款 2.8T舒适型长轴JE493ZQ8
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1380x1470x470,1380x1470x470,1740x1470x470,1740x1470x470,1380x1470x470,1380x1470x470,1740x1470x470,1740x1470x470
行车电脑显示屏,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-
能源类型,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油
胎压监测装置,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-
缸盖材料,铝,铝,铝,铝,铝,铝,铝,铝
缸径(mm),-,-,-,-,-,-,-,-
缸体材料,铁,铁,铁,铁,铁,铁,铁,铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
环保标准,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-
燃油标号,92号,0号,92号,0号,92号,0号,92号,0号
燃料形式,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油
温度分区控制,-,-,-,-,-,-,-,-
油箱容积(L),60,60,60,60,60,60,60,60
气缸数(个),4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4
