Feature,57016,57017,57018,57019
高度(mm),1480,1480,1480,1480
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱
风阻系数(Cd),0.23,0.23,0.23,0.23
面部识别,●,●,●,●
隐藏电动门把手,●,●,●,●
陡坡缓降,-,-,-,-
限滑差速器/差速锁,-,-,-,-
长度(mm),4820,4820,4820,4820
长*宽*高(mm),4820*1890*1480,4820*1890*1480,4820*1890*1480,4820*1890*1480
钥匙类型,,,,
配气机构,-,-,-,DOHC
遥控泊车,○,-,○,-
道路救援呼叫,●,●,●,●
道路交通标识识别,●,●,●,●
远程启动功能,,,,
远光灯光源,,,,
进气形式,-,-,-,自然吸气
近光灯光源,,,,
运动风格座椅,●,●,●,●
运动外观套件,-,-,-,-
辅助驾驶等级,,,,
轴距(mm),2900,2900,2900,2900
轮圈材质,,,,
转向辅助灯,-,-,-,-
转向头灯,-,-,-,-
车顶行李架,-,-,-,-
车门数(个),5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,●,●
车道保持辅助系统,●,●,●,●
车载空气净化器,●,●,●,●
车载冰箱,-,-,-,-
车载CD/DVD,-,-,-,-
车身结构_y,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车型名称,长安深蓝SL03 2022款 515纯电版,长安深蓝SL03 2022款 730氢电版,长安深蓝SL03 2022款 705纯电版,长安深蓝SL03 2022款 1.5L 1200增程版
车前雾灯,-,-,-,-
车内香氛装置,-,-,-,-
车内环境氛围灯,,,,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,,,,
负离子发生器,●,●,●,●
语音识别控制系统,,,,
触摸式阅读灯,●,●,●,●
被动行人保护,-,-,-,-
行车电脑显示屏幕,,,,
行李厢12V电源接口,-,-,-,-
蓝牙/车载电话,●,●,●,●
自适应远近光,●,●,●,●
自动驻车,●,●,●,●
自动泊车入位,○,-,○,-
自动头灯,●,●,●,●
自动变道辅助,○,-,○,-
膝部气囊,-,-,-,-
能源类型,纯电动,氢燃料,纯电动,增程式
胎压监测功能,,,,
缺气保用轮胎,-,-,-,-
缸盖材料,-,-,-,未知
缸体材料,-,-,-,未知
级别,中型车,中型车,中型车,中型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-,-,-
第二排座椅调节,-,-,-,-
第二排座椅电动调节,-,-,-,-
第二排座椅功能,-,-,-,-
空调温度控制方式,,,,
空气悬架,-,-,-,-
离去角(°),20,20,20,20
百公里耗电量(kWh/100km),12.3,13,12.9,16.8
疲劳驾驶提示,●,●,●,●
电芯品牌,宁德时代/中创新航,宁德时代,宁德时代/中创新航,宁德时代/中创新航
电能当量燃料消耗量(L/100km),1.39,-,1.46,-
电磁感应悬架,-,-,-,-
电池预加热,●,●,●,●
电池能量密度(Wh/kg),171,177,167,177
电池能量(kWh),58.1,28.39,79.97,28.39
电池组质保,十年或30万公里,十年或30万公里,十年或30万公里,十年或30万公里
电池类型,三元锂电池,磷酸铁锂电池,三元锂电池,磷酸铁锂电池
电池冷却方式,液冷,液冷,液冷,液冷
