Feature,51806,51807,51808,51809,51810,59431,60765,60828,61216,61217,61218
高度(mm),1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4660,4660,4660,4660,4660,4666,4666,4666,4666,4666,4666
长*宽*高(mm),4660*1780*1450,4660*1780*1450,4660*1780*1450,4660*1780*1450,4660*1780*1450,4666*1780*1450,4666*1780*1450,4666*1780*1450,4666*1780*1450,4666*1780*1450,4666*1780*1450
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,○,○,●,●,●,●,●,●,●,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,,,,,,,,,,-
远光灯光源,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气
近光灯光源,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,-,-,,-,,,-,,-,,-
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
轮圈材质,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,●,-,●,●,-,●,-,●,-
车道保持辅助系统,-,-,●,-,●,●,-,●,-,●,-
车载空气净化器,○,●,●,●,●,●,●,●,●,●,●
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,-,○,○,●,●,●,●,●,●,●,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
车型名称,起亚K3 2021款 改款 1.5L CVT青春版,起亚K3 2021款 改款 1.5L CVT时尚版,起亚K3 2021款 1.5L CVT焕新版,起亚K3 2021款 1.4T DCT GT-Line奋斗互联版,起亚K3 2021款 改款 1.4T DCT GT-Line智驾运动版,起亚K3 2023款 1.4T DCT尊贵奢享版,起亚K3 2023款 1.5L CVT豪华版,起亚K3 2023款 1.5L CVT尊贵版,起亚K3 2023款 1.4T DCT豪华版,起亚K3 2023款 1.4T DCT尊贵版,起亚K3 2023款 1.5L CVT舒适版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,,,,-,,-,,-
车内化妆镜,,,,,,,,,,,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,○,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,-,,,,,,,,,,-
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,-,,-,,-,
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,●,-,●,●,-,●,-,●,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),7挡干式双离合,7挡干式双离合,7挡干式双离合,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),7挡干式双离合,7挡干式双离合,CVT无级变速(模拟8挡)
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-
空载最小离地间隙(mm),170,170,170,170,170,170,170,170,170,170,170
空调温度控制方式,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-
离去角(°),12,12,12,12,12,20,12,12,20,20,12
疲劳驾驶提示,-,-,●,-,●,●,-,●,-,●,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,-,-,-,-,-,-,-,-,-,-,-
满载最小离地间隙(mm),-,-,-,-,-,120,120,120,120,120,120
温度分区控制,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,
油箱容积(L),53,53,53,53,53,53,53,53,53,53,53
气缸数(个),4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),190,190,190,200,200,200,190,190,200,200,190
最小转弯半径(m),-,-,-,-,-,5.3,5.3,5.3,5.3,5.3,5.3
最大马力(Ps),115,115,115,130,130,140,115,115,140,140,115
最大满载质量(kg),1680,1680,1680,1700,1700,1700,1680,1680,1700,1700,1680
最大扭矩转速(rpm),4500,4500,4500,1400-3700,1400-3700,1400-4300,4500,4500,1400-4300,1400-4300,4500
最大扭矩(N·m)_y,143.9,143.9,143.9,211,211,211,143.9,143.9,211,211,143.9
最大扭矩(N·m)_x,143.9,143.9,143.9,211,211,211,143.9,143.9,211,211,143.9
最大功率转速(rpm),6300,6300,6300,5500,5500,6000,6300,6300,6000,6000,6300
最大功率(kW)_y,84.5,84.5,84.5,95.6,95.6,103,84.5,84.5,103,103,84.5
最大功率(kW)_x,84.5,84.5,84.5,95.6,95.6,103,84.5,84.5,103,103,84.5
最大净功率(kW),84.5,84.5,84.5,95.6,95.6,103,84.5,84.5,103,103,84.5
无钥匙进入功能,,,,,,,,,,,-
无钥匙启动系统,○,●,●,●,●,●,●,●,●,●,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,
方向盘换挡,-,-,-,●,●,●,-,-,●,●,-
方向盘加热,-,-,○,-,-,●,○,○,○,○,-
方向盘位置调节,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1230,1230,1230,1265,1265,1265,1262,1262,1265,1265,1262
接近角(°),14,14,14,14,14,14,14,14,14,14,14
排量(mL),1497,1497,1497,1353,1353,1353,1497,1497,1353,1353,1497
换挡形式,,,,,,,,,,,
挡位个数,8,8,8,7,7,7,8,8,7,7,8
扬声器数量,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,,,,,,,,,,-
手机互联/映射,,,,,,,,,,,
手机APP远程功能,-,,,,,,,,,,-
手势控制,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,○,●,●,●,●,●,●,●,●,●,-
座椅材质,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,●,-,●,●,-,●,-,●,-
巡航系统,-,,,,,,,,,,-
导航路况信息显示,-,○,○,●,●,●,●,●,●,●,-
宽度(mm),1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,
天窗类型,,,,,,,,,,,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●
多层隔音玻璃,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
地图品牌,-,,,,,,,,,,-
四驱形式,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1549,1549,1549,1549,1549,1549,1555,1549,1555,1549,1555
后轮胎规格,225/45 R17,225/45 R17,225/45 R17,225/45 R17,225/45 R17,225/45 R17,205/55 R16,225/45 R17,205/55 R16,225/45 R17,205/55 R16
后排独立空调,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏幕,-,-,-,-,-,-,-,-,-,-,-
