,30853,30854,30855,30856,33058
大灯清洗装置,●,●,●,●,●
车内氛围灯,●,●,●,●,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●
后视镜电动调节,●,●,●,●,●
后视镜加热,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
流媒体车内后视镜,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●
后视镜记忆,●,●,●,●,●
后风挡遮阳帘,○,○,○,○,○
后排侧遮阳帘,-,-,-,-,-
后排侧隐私玻璃,○,○,○,○,○
遮阳板化妆镜,●,●,●,●,●
后雨刷,-,-,-,-,-
感应雨刷,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-
后座出风口,●,●,●,●,●
温度分区控制,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●
车载空气净化器,-,-,-,-,-
车载冰箱,-,-,-,-,-
车型名称,捷豹XE 2018款 2.0T 200PS 两驱R-Sport运动版,捷豹XE 2018款 2.0T 250PS 两驱R-Sport运动版,捷豹XE 2018款 2.0T 250PS 四驱R-Sport运动版,捷豹XE 2018款 3.0 SC 380PS 两驱S高性能版,捷豹XE 2018款 2.0T 300PS 四驱R-Sport运动版
厂商指导价(元),39.80万,44.80万,47.00万,61.00万,44.80万
厂商,捷豹,捷豹,捷豹,捷豹,捷豹
级别,中型车,中型车,中型车,中型车,中型车
能源类型,汽油,汽油,汽油,汽油,汽油
上市时间,2017.06,2017.06,2017.06,2017.06,2017.12
最大功率(kW)_x,147,184,184,280,221
最大扭矩(N·m)_x,340,365,365,450,400
发动机,2.0T 200马力 L4,2.0T 250马力 L4,2.0T 250马力 L4,3.0T 380马力 V6,2.0T 300马力 L4
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
长*宽*高(mm),4672*1850*1416,4672*1850*1416,4672*1850*1416,4672*1850*1416,4672*1850*1416
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),238,250,250,250,250
官方0-100km/h加速(s),7.1,6.3,6.2,5,5.5
实测0-100km/h加速(s),-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-
工信部综合油耗(L/100km),6.5,6.5,6.8,8.1,6.9
实测油耗(L/100km),-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4672,4672,4672,4672,4672
宽度(mm),1850,1850,1850,1850,1850
高度(mm),1416,1416,1416,1416,1416
轴距(mm),2835,2835,2835,2835,2835
前轮距(mm),1602,1602,1602,1602,1602
后轮距(mm),1603,1603,1603,1603,1603
最小离地间隙(mm),110,110,110,110,110
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4
座位数(个),5,5,5,5,5
油箱容积(L),63,63,63,63,63
行李厢容积(L),415,415,415,415,415
整备质量(kg),1540,1540,1596,1655,1620
发动机型号,-,-,-,-,-
排量(mL),1997,1997,1997,2995,1997
进气形式,涡轮增压,涡轮增压,涡轮增压,机械增压,涡轮增压
气缸排列形式,L,L,L,V,L
气缸数(个),4,4,4,6,4
每缸气门数(个),4,4,4,4,4
压缩比,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-
行程(mm),-,-,-,-,-
最大马力(Ps),200,250,250,380,300
最大功率(kW)_y,147,184,184,280,221
最大功率转速(rpm),5500,5500,5500,6500,5500
最大扭矩(N·m)_y,340,365,365,450,400
最大扭矩转速(rpm),1200-4500,1200-4500,1200-4500,3500-5000,1500-4500
发动机特有技术,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,欧V,欧V,欧V,欧V,欧V
挡位个数,8,8,8,8,8
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
驱动方式,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱
四驱形式,-,-,全时四驱,-,全时四驱
中央差速器结构,-,-,多片离合器,-,多片离合器
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,225/45 R18,225/45 R18,225/45 R18,225/45 R18,225/45 R18
后轮胎规格,245/40 R18,245/40 R18,245/40 R18,245/40 R18,245/40 R18
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
