Feature,37533,37959,43460,45377,48779
高度(mm),1165,1180,1165,1180,1220
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,中置四驱,中置四驱,中置后驱,中置后驱,中置后驱
首任车主质保政策,-,-,-,-,-
陡坡缓降,-,-,-,-,-
限滑差速器/差速锁,,,,,
长度(mm),4520,4520,4520,4520,4549
长*宽*高(mm),4520*1933*1165,4520*1933*1180,4520*1933*1165,4520*1933*1180,4549*1945*1220
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●
远光灯光源,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,
运动风格座椅,●,●,●,●,●
运动外观套件,●,●,●,●,●
轴距(mm),2620,2620,2620,2620,2620
轮圈材质,,,,,
车门数(个),2,2,2,2,2
车道偏离预警系统,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-
车载空气净化器,-,-,-,-,-
车身结构_y,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车
车身结构_x,2门2座硬顶跑车,2门2座软顶敞篷车,2门2座硬顶跑车,2门2座软顶敞篷车,2门2座硬顶跑车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,Huracán 2019款 Huracán EVO,Huracán 2019款 Huracán EVO Spyder,Huracán 2020款 Huracán EVO RWD,Huracán 2020款 Huracán EVO RWD Spyder,Huracán 2021款 Huracán STO
车前雾灯,-,-,-,-,-
车内环境氛围灯,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,
行车电脑显示屏幕,,,,,
行程(mm),92.8,92.8,92.8,92.8,92.8
蓝牙/车载电话,●,●,●,●,●
自适应远近光,-,-,-,-,-
自动驻车,-,-,-,-,-
自动头灯,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),84.5,84.5,84.5,84.5,84.5
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,跑车,跑车,跑车,跑车,跑车
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排座椅调节,-,-,-,-,-
空调温度控制方式,,,,,
