,24338,25722,25723,25724,25725,34559,34915,34916,34917
后排侧遮阳帘,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●,●
感应雨刷,●,●,●,●,●,●,●,●,●
空调控制方式,自动●,自动●,手动●,自动●,自动●,自动●,手动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-,-
后座出风口,●,●,-,●,●,●,-,●,●
温度分区控制,●,●,-,●,●,●,-,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-
车型名称,宝马2系旅行车 2016款 220i 豪华设计套装,宝马2系旅行车 2016款 220i 领先型,宝马2系旅行车 2016款 218i 时尚型,宝马2系旅行车 2016款 218i 领先型,宝马2系旅行车 2016款 218i 运动设计套装,宝马2系旅行车 2018款 220i 豪华套装,宝马2系旅行车 2018款 218i 时尚型,宝马2系旅行车 2018款 218i 领先型,宝马2系旅行车 2018款 218i 尊享型运动套装
厂商指导价(元),32.98万,29.68万,23.48万,24.78万,26.78万,29.48万,22.48万,24.48万,26.48万
厂商,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2016.03,2016.03,2016.03,2016.03,2016.03,2018.06,2018.06,2018.06,2018.06
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-
最大功率(kW)_x,141,141,100,100,100,141,100,100,100
最大扭矩(N·m)_x,280,280,220,220,220,280,220,220,220
发动机,2.0T 192马力 L4,2.0T 192马力 L4,1.5T 136马力 L3,1.5T 136马力 L3,1.5T 136马力 L3,2.0T 192马力 L4,1.5T 136马力 L3,1.5T 136马力 L3,1.5T 136马力 L3
变速箱,8挡手自一体,8挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,8挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
长*宽*高(mm),4342*1800*1600,4342*1800*1600,4342*1800*1600,4342*1800*1600,4342*1800*1600,4364*1800*1600,4364*1800*1600,4364*1800*1600,4364*1800*1600
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
最高车速(km/h),225,225,205,205,205,225,205,205,205
官方0-100km/h加速(s),7.5,7.5,9.4,9.4,9.4,7.5,9.4,9.4,9.4
实测0-100km/h加速(s),-,7.21,-,9.68,-,-,-,-,-
实测100-0km/h制动(m),-,40.2,-,39.76,-,-,-,-,-
工信部综合油耗(L/100km),6.3,6.3,5.9,5.9,5.9,6.3,5.9,5.9,5.9
实测油耗(L/100km),-,7.9,-,8.1,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4342,4342,4342,4342,4342,4364,4364,4364,4364
宽度(mm),1800,1800,1800,1800,1800,1800,1800,1800,1800
高度(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600
轴距(mm),2670,2670,2670,2670,2670,2670,2670,2670,2670
前轮距(mm),1557,1557,1561,1561,1561,-,-,-,-
后轮距(mm),1558,1558,1562,1562,1562,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车门数(个),5,5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5,5
油箱容积(L),61,61,61,61,61,61,61,61,61
行李厢容积(L),-,-,-,-,-,468-1510,468-1510,468-1510,468-1510
整备质量(kg),-,-,-,-,-,-,-,-,-
发动机型号,-,-,-,-,-,-,-,-,-
排量(mL),1998,1998,1499,1499,1499,1998,1499,1499,1499
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,3,3,3,4,3,3,3
每缸气门数(个),4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),82,82,82,82,82,-,-,-,-
行程(mm),94.6,94.6,94.6,94.6,94.6,-,-,-,-
最大马力(Ps),192,192,136,136,136,192,136,136,136
最大功率(kW)_y,141,141,100,100,100,141,100,100,100
最大功率转速(rpm),5000,5000,4400,4400,4400,4400-6000,4400-6000,4400-6000,4400-6000
最大扭矩(N·m)_y,280,280,220,220,220,280,220,220,220
最大扭矩转速(rpm),1250,1250,1250-4300,1250-4300,1250-4300,1250-4600,1400-4300,1400-4300,1400-4300
发动机特有技术,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,8,8,6,6,6,8,6,6,6
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,8挡手自一体,8挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,8挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,205/55 R17 ,205/55 R17 ,205/60 R16,205/60 R16,205/55 R17 ,225/45 R18,205/60 R16,205/55 R17 ,205/55 R17 
后轮胎规格,205/55 R17,205/55 R17,205/60 R16,205/60 R16,205/55 R17,225/45 R18,205/60 R16,205/55 R17,205/55 R17
备胎规格,无,无,无,无,无,无,无,无,无
