,25531,25532,30476,30570,30571,30572,30573,30574,30575,30576,30577
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●
无钥匙进入系统,●,●,●,●,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●
方向盘换挡,●,●,●,●,●,●,●,●,●,●,●
方向盘加热,-,-,●,-,-,○,○,-,-,○,○
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-,-,-,-
座椅材质,真皮,真皮,真皮,仿皮,仿皮,仿皮,仿皮(选装真皮),仿皮,仿皮,仿皮,仿皮(选装真皮)
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●,●,●,●,●
后排座椅电动调节,-,-,●,-,-,○,-,-,-,○,-
副驾驶位后排可调节按钮,-,-,●,-,-,○,●,-,-,○,●
电动座椅记忆,-,-,●,-,-,●,●,-,-,●,●
前/后排座椅加热,-,-,前●&nbsp;/&nbsp;后●,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,-,-,前●&nbsp;/&nbsp;后-,-,-,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅按摩,-,-,前●&nbsp;/&nbsp;后-,-,-,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,2座,2座,-,2座,2座,-,-,2座,2座,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,●,●,●,●,●,●,●,●,●,●
定位互动服务,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
手机互联/映射,-,-,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,○,-,-,○,○,-,-,○,○
220V/230V电源,-,-,●,-,-,●,●,-,-,●,●
外接音源接口,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽
CD/DVD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD
扬声器品牌,-,-,Infinity燕飞利仕,-,-,Infinity燕飞利仕,Infinity燕飞利仕,-,-,Infinity燕飞利仕,Infinity燕飞利仕
扬声器数量,6-7喇叭,6-7喇叭,10-11喇叭,6-7喇叭,6-7喇叭,10-11喇叭,10-11喇叭,6-7喇叭,6-7喇叭,10-11喇叭,10-11喇叭
近光灯,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气
远光灯,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,●,-,-,●,●,-,-,●,●
前雾灯,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,●,-,-,●,●,-,-,●,●
车内氛围灯,●,●,●,●,●,●,●,●,●,●,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●,●,●,●,●,●
后视镜记忆,-,-,●,-,-,●,●,-,-,●,●
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●,●,●,●
感应雨刷,●,●,●,●,●,●,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,●,●,●,●,●,●,●,●,●,●,●
后座出风口,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,●,-,-,○,●,-,-,○,●
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车型名称,哈弗H9 2016款 2.0T 四驱精英型 5座,哈弗H9 2016款 2.0T 四驱精英型 7座,哈弗H9 2017款 2.0T 汽油四驱尊贵型 7座,哈弗H9 2017款 2.0T 汽油四驱舒适型 5座,哈弗H9 2017款 2.0T 汽油四驱舒适型 7座,哈弗H9 2017款 2.0T 汽油四驱豪华型 7座,哈弗H9 2017款 2.0T 汽油四驱尊享型 5座,哈弗H9 2017款 2.0T 柴油四驱舒适型 5座,哈弗H9 2017款 2.0T 柴油四驱舒适型 7座,哈弗H9 2017款 2.0T 柴油四驱豪华型 7座,哈弗H9 2017款 2.0T 柴油四驱尊享型 5座
厂商指导价(元),19.98万,20.98万,27.28万,21.98万,22.98万,24.98万,25.58万,22.78万,23.78万,25.78万,26.38万
厂商,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油
上市时间,2016.03,2016.03,-,-,-,-,-,-,-,-,-
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,160,160,185,185,185,185,185,140,140,140,140
最大扭矩(N·m)_x,324,324,355,355,355,355,355,420,420,420,420
发动机,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 190马力 L4
变速箱,6挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
长*宽*高(mm),4856*1926*1900,4856*1926*1900,4856*1926*1900,4856*1926*1900,4856*1926*1900,4856*1926*1900,4856*1926*1900,4856*1926*1900,4856*1926*1900,4856*1926*1900,4856*1926*1900
车身结构_x,5门5座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门5座SUV
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,9.53,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,41.16,-,-,-,-,-
工信部综合油耗(L/100km),10.4,10.4,9.7,9.7,9.7,9.7,9.7,8.3,8.3,8.3,8.3
实测油耗(L/100km),-,-,-,-,-,13.7,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4856,4856,4856,4856,4856,4856,4856,4856,4856,4856,4856
宽度(mm),1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926
高度(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
前轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
后轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5,5,5,5
座位数(个),5,7,7,5,7,7,5,5,7,7,5
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-
发动机型号,GW4C20,GW4C20,-,-,-,-,-,-,-,-,-
排量(mL),1967,1967,1967,1967,1967,1967,1967,1996,1996,1996,1996
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),218,218,252,252,252,252,252,190,190,190,190
最大功率(kW)_y,160,160,185,185,185,185,185,140,140,140,140
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,4000,4000,4000,4000
最大扭矩(N·m)_y,324,324,355,355,355,355,355,420,420,420,420
最大扭矩转速(rpm),2000-4000,2000-4000,1800-4500,1800-4500,1800-4500,1800-4500,1800-4500,1400-2400,1400-2400,1400-2400,1400-2400
发动机特有技术,双VVT,双VVT,双VVT,双VVT,双VVT,双VVT,双VVT,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油
燃油标号,95号,95号,95号,95号,95号,95号,95号,0号,0号,0号,0号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,6,6,8,8,8,8,8,8,8,8,8
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,6挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱
中央差速器结构,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
后悬架类型,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架,多连杆非独立悬架
助力类型,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,265/65 R17,265/65 R17,265/60 R18 ,265/65 R17,265/65 R17,265/60 R18 ,265/60 R18 ,265/65 R17,265/65 R17,265/60 R18 ,265/60 R18 
后轮胎规格,265/65 R17,265/65 R17,265/60 R18 ,265/65 R17,265/65 R17,265/60 R18 ,265/60 R18 ,265/65 R17,265/65 R17,265/60 R18 ,265/60 R18 
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
