Feature,58251,58273,58274,58275,58276,61892,63244,63248,63249,63250,63251
高度(mm),1435,1435,1435,1435,1435,1455,1435,1435,1435,1435,1435
驾驶辅助影像,,-,,,,-,,-,,,
驾驶模式切换,,,,,,-,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,-,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,-,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720
长*宽*高(mm),4720*1780*1435,4720*1780*1435,4720*1780*1435,4720*1780*1435,4720*1780*1435,4720*1780*1455,4720*1780*1435,4720*1780*1435,4720*1780*1435,4720*1780*1435,4720*1780*1435
钥匙类型,,,,,,-,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,-,●,●,●,●,●
道路交通标识识别,-,-,-,-,-,-,●,●,●,●,●
远程启动功能,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,-,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,-,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶系统,,,,,,-,,,,,
辅助驾驶等级,,,,,,-,,,,,
轴距(mm),2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
轮圈材质,,,,,,-,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,-,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,-,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,-,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,-,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
