Feature,1012329,1012330,1012331,1012332,1012333,1012334,1012335,1012336,1012337,1012338,1012339,1012340,1012341,1012342,1012343,1012344,1012345,1012346,1012347,1012348,1012349,1012350,1012351,1012352,1012353,1012354,1012355,1012358,1012360,1012361,1012362,1012363,1012364,1012365,1012366,1012367,1012368,1012369,1012370,1012371,1012372,1012373,1012374,1012375,1012376,1012377,1012378,1012379
高度(mm),2090,2610,2120,2120,2500,2600,2090,2610,2120,2120,2500,2600,2100,2635,2605,2130,2130,2515,2615,2495,2595,2100,2635,2605,2130,2130,2515,2615,2495,2595,2090,2550,2520,2100,2100,2440,2540,2410,2510,2090,2550,2520,2100,2100,2440,2540,2410,2510
驾驶辅助影像,,,,,,,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5300,5300,5480,5640,5480,5640,5300,5300,5480,5640,5480,5640,5300,5300,5300,5480,5640,5480,5640,5480,5640,5300,5300,5300,5480,5640,5480,5640,5480,5640,5300,5300,5300,5480,5640,5480,5640,5480,5640,5300,5300,5300,5480,5640,5480,5640,5480,5640
长*宽*高(mm),5300×1750×2090,5300×1750×2610,5480×1750×2120,5640×1750×2120,5480×1750×2500,5640×1750×2600,5300×1750×2090,5300×1750×2610,5480×1750×2120,5640×1750×2120,5480×1750×2500,5640×1750×2600,5300×1750×2100,5300×1750×2635,5300×1750×2605,5480×1750×2130,5640×1750×2130,5480×1750×2515,5640×1750×2615,5480×1750×2495,5640×1750×2595,5300×1750×2100,5300×1750×2635,5300×1750×2605,5480×1750×2130,5640×1750×2130,5480×1750×2515,5640×1750×2615,5480×1750×2495,5640×1750×2595,5300×1730×2090,5300×1730×2550,5300×1730×2520,5480×1730×2100,5640×1730×2100,5480×1730×2440,5640×1730×2540,5480×1730×2410,5640×1730×2510,5300×1730×2090,5300×1730×2550,5300×1730×2520,5480×1730×2100,5640×1730×2100,5480×1730×2440,5640×1730×2540,5480×1730×2410,5640×1730×2510
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3190,3190,3400,3400,3400,3400,3190,3190,3400,3400,3400,3400,3190,3190,3190,3400,3400,3400,3400,3400,3400,3190,3190,3190,3400,3400,3400,3400,3400,3400,3190,3190,3190,3400,3400,3400,3400,3400,3400,3190,3190,3190,3400,3400,3400,3400,3400,3400
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),2,2,4,4,4,4,2,2,4,4,4,4,2,2,2,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
