Feature,26161,28185,28186,28187,28188,28254,29625,29626,29627,40175,40232,40602,40603,40604,40605
高度(mm),1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4816,4816,4816,4816,4816,4816,4816,4816,4816,4816,4816,4816,4816,4816,4816
长*宽*高(mm),4816*1942*1669,4816*1942*1669,4816*1942*1669,4816*1942*1669,4816*1942*1669,4816*1942*1669,4816*1942*1669,4816*1942*1669,4816*1942*1669,4816*1942*1669,4816*1942*1669,4816*1942*1669,4816*1942*1669,4816*1942*1669,4816*1942*1669
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-
远程启动,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远光灯,LED,卤素,LED,LED,LED,LED,卤素,卤素,卤素,LED,卤素,卤素,卤素,卤素,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,LED,卤素,LED,LED,LED,LED,卤素,卤素,卤素,LED,卤素,卤素,卤素,卤素,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
