Feature,45344,46038,48354,48355,52156,52699,52700,52701,52702,52703,53034,53186,53187,54663,55325
高度(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
驾驶辅助影像,,,,,,-,,-,-,,,-,,,
驾驶模式切换,,,,,,-,-,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,手刹,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,-,-,-,-,-,-,●,●,●,-,-,●,●
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490
长*宽*高(mm),4490*1860*1580,4490*1860*1580,4490*1860*1580,4490*1860*1580,4490*1860*1580,4490*1860*1580,4490*1860*1580,4490*1860*1580,4490*1860*1580,4490*1860*1580,4490*1860*1580,4490*1860*1580,4490*1860*1580,4490*1860*1580,4490*1860*1580
钥匙类型,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,-,-,-,-,-,●,-,●,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,,,,,,-,-,-,-,-,,-,,,
远光灯光源,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
运动外观套件,○,-,-,-,-,-,-,-,-,-,●,-,-,●,●
辅助驾驶芯片,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710
轮圈材质,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,-,-,-,-,-,-,-,-,-,●,-,-,-,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,●,-,●,-,-,-,-,-,-,-,●,-,-,-,●
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,-,-,-,-,-,●,-,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,
车型名称,长安欧尚X5 2021款 1.5T DCT旗舰型,长安欧尚X5 2021款 1.5T DCT尊贵型,长安欧尚X5 2021款 1.6L CVT旗舰型,长安欧尚X5 2021款 1.6L CVT尊贵型,长安欧尚X5 2021款 1.6L CVT青春版,长安欧尚X5 2021款 改款 1.6L 手动精英型,长安欧尚X5 2021款 改款 1.6L 手动豪华型,长安欧尚X5 2021款 改款 1.6L CVT豪华型,长安欧尚X5 2021款 改款 1.5T DCT精英型,长安欧尚X5 2021款 改款 1.5T DCT豪华型,长安欧尚X5 2022款 运动版 1.5T DCT飓风音速,长安欧尚X5 2021款 1.6L CVT舒享型,长安欧尚X5 2021款 1.6L CVT尊享型,长安欧尚X5 2022款 运动版 1.5T DCT旋风冲锋,长安欧尚X5 2022款 1.5T DCT虎啸限定版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,-,,-,-,-,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车侧脚踏板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,-,-,-,-,-,,-,,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
