Feature,1009965,1009966,1009967,1009968,1009977,1009978,1009979,1009980,1010918,1010919,1010920,1010921,1010922,1010923,1010924,1010925,1012132,1012133,1012134,1012135,1012136,1012142,1012143,1012144,1012145,1012146,1013730,1013731,1013732,1013733,1013734,1013735,1013736,1013737,1013738,1014595,1014894,1014895,1014897,1014898,1014899,1014900,1014901,1014902,1014903,1014904,1014905,1014906,1014907,1014908,1014909,1014910,1014911,1014912,1014913,1014914,1014915,1014916,1014917,1014918,1014919,1014920,1014921
高度(mm),2375,2375,2590,2590,2590,2590,2375,2375,2150,2375,2375,2590,2375,2375,2590,2150,2150,2375,2375,2590,2375,2590,2590,2590,2590,2375,2590,2590,2375,2375,2375,2590,2375,2375,2590,2375,2150,2375,2590,2150,2375,2375,2590,2375,2375,2590,2590,2150,2375,2375,2590,2375,2375,2590,2590,2150,2375,2375,2590,2375,2375,2590,2590
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置后驱,前置后驱,前置后驱,前置后驱,前置前驱,前置前驱,前置前驱,前置前驱,前置后驱,前置后驱,前置后驱,前置后驱,前置前驱,前置前驱,前置前驱,前置前驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5000,5750,5995,5750,5750,5995,5000,5750,5000,5000,5750,5750,5000,5750,5750,5000,5000,5000,5750,5750,5750,5995,5750,5995,5750,5750,5750,5995,5750,5000,5750,5750,5000,5750,5750,5498,5000,5000,5498,5000,5000,5498,5498,5000,5498,5498,5498,5000,5000,5498,5498,5000,5498,5498,5498,5000,5000,5750,5750,5000,5750,5750,5995
长*宽*高(mm),5000×2036×2375,5750×2036×2375,5995×2060×2590,5750×2060×2590,5750×2060×2590,5995×2060×2590,5000×2036×2375,5750×2036×2375,5000×2036×2150,5000×2036×2375,5750×2036×2375,5750×2036×2590,5000×2036×2375,5750×2036×2375,5750×2036×2590,5000×2036×2150,5000×2036×2150,5000×2036×2375,5750×2036×2375,5750×2036×2590,5750×2036×2375,5995×2060×2590,5750×2060×2590,5995×2060×2590,5750×2060×2590,5750×2036×2375,5750×2060×2590,5995×2060×2590,5750×2036×2375,5000×2036×2375,5750×2036×2375,5750×2036×2590,5000×2036×2375,5750×2036×2375,5750×2036×2590,5498*2036*2375,5000*2036*2150,5000*2036*2375,5498*2036*2590,5000*2036*2150,5000*2036*2375,5498*2036*2375,5498*2036*2590,5000*2036*2375,5498*2036*2375,5498*2036*2590,5498*2036*2590,5000*2036*2150,5000*2036*2150,5000*2036*2150,5000*2036*2150,5000*2036*2150,5000*2036*2150,5000*2036*2150,5000*2036*2150,5000*2036*2150,5000*2036*2375,5750*2036*2375,5750*2036*2590,5000*2036*2375,5750*2036*2375,5750*2060*2590,5995*2060*2590
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
