Feature,50983,51026,51284,54891,54892,54958,54959,54960,57869,58233,58234,58235,59853,59854,59855
高度(mm),1710,1710,1710,1710,1710,1710,1710,1710,1745,1740,1745,1745,1740,1745,1745
驾驶辅助影像,,,,,,,,,,-,,,,,
驾驶模式切换,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置四驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4705,4705,4705,4735,4735,4705,4705,4705,4710,4710,4710,4710,4710,4710,4710
长*宽*高(mm),4705*1810*1710,4705*1810*1710,4705*1810*1710,4735*1810*1710,4735*1810*1710,4705*1810*1710,4705*1810*1710,4705*1810*1710,4710*1862*1745,4710*1862*1740,4710*1862*1745,4710*1862*1745,4710*1862*1740,4710*1862*1745,4710*1862*1745
钥匙类型,,,,,,,,,,,,,,,
配气机构,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,●,-,●,●,●,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,●,-,●,●,-,●,●
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,-,-,-,-,-,-,-,-,,-,,,-,,
轴距(mm),2670,2670,2670,2670,2670,2670,2670,2670,2706,2706,2706,2706,2706,2706,2706
轮圈材质,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,-,●,●,●,-,●,●,-,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,●,-,●,●,-,●,●
车道保持辅助系统,-,-,-,-,-,-,-,-,●,-,●,●,-,●,●
车载空气净化器,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,-,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,
车型名称,欧蓝德 2021款 2.4L 四驱致享版 5座,欧蓝德 2021款 2.4L 四驱致享版 7座,欧蓝德 2021款 2.4L 四驱致尊版 7座,欧蓝德 2021款 2.0L 两驱曜动版 5座,欧蓝德 2021款 2.4L 四驱曜动版 5座,欧蓝德 2021款 改款 2.0L 两驱畅行版 5座,欧蓝德 2021款 改款 2.0L 两驱畅享版 5座,欧蓝德 2021款 改款 2.0L 两驱畅享版 7座,欧蓝德 2023款 1.5T CVT四驱尊耀版 7座,欧蓝德 2023款 1.5T CVT两驱风范版 5座,欧蓝德 2023款 1.5T CVT两驱尊享版 5座,欧蓝德 2023款 1.5T CVT四驱尊享版 5座,欧蓝德 2023款 1.5T CVT两驱卓越版 5座,欧蓝德 2023款 1.5T CVT两驱尊耀版 7座,欧蓝德 2023款 1.5T CVT四驱卓越版 5座
车前雾灯,,,,,,-,,,,-,,,-,,
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,●,-,-,-,-,-,●,-,●,●,●,●,●
自动驻车,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
胎压监测功能,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,CVT无级变速(模拟6挡),CVT无级变速(模拟6挡),CVT无级变速(模拟6挡),CVT无级变速(模拟6挡),CVT无级变速(模拟6挡),CVT无级变速(模拟6挡),CVT无级变速(模拟6挡),CVT无级变速(模拟6挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡)
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,,,,,,,,,,,,,,,
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空载最小离地间隙(mm),-,-,-,-,-,-,-,-,210,205,210,210,205,210,210
空调温度控制方式,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),17,17,17,16,16,17,17,17,23,23,23,23,23,23,23
疲劳驾驶提示,-,-,-,-,-,-,-,-,●,-,●,●,-,●,●
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
