Feature,49994,49995,50060,50111,50112,50113
高度(mm),1451,1451,1451,1445,1445,1445
驾驶辅助影像,,,,-,,
驾驶模式切换,-,-,-,-,-,-
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
长度(mm),4870,4870,4870,4870,4870,4870
长*宽*高(mm),4870*1840*1451,4870*1840*1451,4870*1840*1451,4870*1840*1445,4870*1840*1445,4870*1840*1445
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,-,●,●
道路交通标识识别,-,-,-,-,-,-
远程启动功能,-,-,-,-,-,-
远光灯光源,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-
轴距(mm),2830,2830,2830,2830,2830,2830
轮圈材质,,,,,,
转向辅助灯,-,-,-,-,-,-
转向头灯,-,●,●,-,-,-
车门数(个),4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,●,●,-,-,●
车道保持辅助系统,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,-,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,阿特兹 2021款 2.5L 蓝天运动版,阿特兹 2021款 2.5L 蓝天尊崇版,阿特兹 2021款 2.5L 蓝天至尊版,阿特兹 2021款 2.0L 蓝天时尚版,阿特兹 2021款 2.0L 蓝天豪华版,阿特兹 2021款 2.0L 蓝天尊贵版
车前雾灯,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-
车内环境氛围灯,,,,-,-,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-
语音识别控制系统,,,,,,
触摸式阅读灯,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,
行李厢12V电源接口,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,-,-,●,-,-,-
自动驻车,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-
自动头灯,●,●,●,-,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型车,中型车,中型车,中型车,中型车,中型车
简称,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
第二排独立座椅,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-
第二排座椅功能,-,-,,-,-,-
空调温度控制方式,,,,,,
空气悬架,-,-,-,-,-,-
离去角(°),13,13,13,13,13,13
疲劳驾驶提示,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-
电动座椅记忆功能,,,,-,,
电动吸合车门,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,-,-,-,-,-,-
温度分区控制,●,●,●,●,●,●
液晶仪表尺寸,,,,,,
油箱容积(L),56.2,56.2,56.2,56.2,56.2,56.2
气缸数(个),4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4
最高车速(km/h),226,226,226,212,212,212
最大马力(Ps),192,192,192,158,158,158
最大满载质量(kg),2023,2023,2035,1972,1972,1981
最大扭矩转速(rpm),3250,3250,3250,4000,4000,4000
最大扭矩(N·m)_y,252,252,252,202,202,202
最大扭矩(N·m)_x,252,252,252,202,202,202
最大功率转速(rpm),6100,6100,6100,6400,6400,6400
最大功率(kW)_y,141,141,141,116,116,116
最大功率(kW)_x,141,141,141,116,116,116
最大净功率(kW),141,141,141,116,116,116
无钥匙进入功能,,,,-,,
