Feature,1005218,1005219,1005220,1005221,1005222,1005223,1005224,1005225,1005401,1005402,1005403,1005404,1005405
高度(mm),1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5560,5560,5560,5560,5560,5560,5560,5560,5560,5560,5560,5560,5560
长*宽*高(mm),5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,SOHC,SOHC,SOHC,未知,未知
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,卡威K150 2017款 2.8T四驱豪华型4JB1T-4B1,卡威K150 2017款 2.4L四驱豪华型4G69S4N,卡威K150 2017款 2.8T四驱舒适型4JB1T-4B1,卡威K150 2017款 2.4L四驱舒适型4G69S4N,卡威K150 2017款 2.8T两驱豪华型4JB1T-4B1,卡威K150 2017款 2.4L两驱豪华型4G69S4N,卡威K150 2017款 2.8T两驱舒适型4JB1T-4B1,卡威K150 2017款 2.4L两驱舒适型4G69S4N,卡威K150 2017款 2.0T汽油自动两驱4G63TS4T,卡威K150 2017款 2.0T汽油四驱4G63TS4T,卡威K150 2017款 2.0T汽油两驱4G63TS4T,卡威K150 2017款 1.9T柴油四驱D19TCIE2,卡威K150 2017款 1.9T柴油两驱D19TCIE2
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530
行车电脑显示屏,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,汽油,汽油,汽油,柴油,柴油
胎压监测装置,●,●,-,-,●,●,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铁,未知,铁,未知,铁,未知,铁,未知,铁,铁,铁,铁,铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,4挡自动,6挡手动,6挡手动,6挡手动,6挡手动
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-,-
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国IV,国V,国IV,国V,国IV,国V,国IV,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,0号,92号,0号,92号,0号,92号,0号,92号,92号,92号,92号,0号,0号
燃料形式,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,汽油,汽油,汽油,柴油,柴油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),2,4,2,4,2,4,2,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),235,235,235,235,235,235,235,235,235,235,235,235,235
最大马力(Ps),109,131,109,131,109,131,109,131,190,190,190,150,150
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),1800-2400,2500-3000,1800-2400,2500-3000,1800-2400,2500-3000,1800-2400,2500-3000,2400-4800,2400-4800,2400-4800,1800-2800,1800-2800
最大扭矩(N·m)_y,280,200,280,200,280,200,280,200,250,250,250,350,350
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率转速(rpm),3600,5250,3600,5250,3600,5250,3600,5250,5200,5200,5200,4000,4000
最大功率(kW)_y,80,96,80,96,80,96,80,96,140,140,140,110,110
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入系统,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),2771,2378,2771,2378,2771,2378,2771,2378,2019,2019,2019,1910,1910
挡位个数,5,5,5,5,5,5,5,5,4,6,6,6,6
扬声器数量,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,真皮,真皮,织物,织物,真皮,真皮,织物,织物,织物(选装真皮),织物(选装真皮),织物(选装真皮),织物(选装真皮),织物(选装真皮)
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850
定速巡航,-,-,-,-,-,-,-,-,-,-,-,-,-
定位互动服务,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提示,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,○,○,●,●,○,○,○,○,○,○,○
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●
外接音源接口,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,存储卡插槽,存储卡插槽,存储卡插槽,存储卡插槽,存储卡插槽
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560
后轮胎规格,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜加热,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-
