Feature,52356,52357,52359,52360,52554,52555,52556,52557,58505,59463,59464,59465,59540
高度(mm),1358,1358,1360,1357,1341,1341,1359,1359,1352,1353,1359,1364,1336
驾驶辅助影像,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱,前置四驱,前置前驱,前置四驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4757,4765,4765,4765,4705,4705,4705,4705,4705,4765,4765,4765,4705
长*宽*高(mm),4757*1843*1358,4765*1843*1358,4765*1843*1360,4765*1843*1357,4705*1846*1341,4705*1846*1341,4705*1846*1359,4705*1846*1359,4705*1846*1352,4765*1843*1353,4765*1843*1359,4765*1843*1364,4705*1846*1336
钥匙类型,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,,,,-,,-,,-,,,,-,
轴距(mm),2826,2826,2825,2826,2766,2766,2766,2766,2766,2826,2826,2825,2766
轮圈材质,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,●,●,●,●,●,●,●,●,●,●,●,●,●
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,2,2,2,2,2,5,5,5,2
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,○,○,○,-,○,-,○,-,○,○,○,-,○
车道偏离预警系统,○,○,○,-,○,-,○,-,○,○,○,-,○
