Feature,53344,53349,53350,53352,56353,56820,61839,61993,61994,62131,62323,62324
高度(mm),1788,1788,1788,1788,1788,1788,1792,1792,1792,1792,1792,1792
驾驶辅助影像,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置前驱,前置四驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置前驱,前置四驱,前置前驱,前置四驱
首任车主质保政策,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程
面部识别,●,●,●,●,●,●,●,-,●,●,-,●
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4970,4970,4970,4970,4970,4970,4970,4970,4970,4970,4970,4970
长*宽*高(mm),4970*1940*1788,4970*1940*1788,4970*1940*1788,4970*1940*1788,4970*1940*1788,4970*1940*1788,4970*1940*1792,4970*1940*1792,4970*1940*1792,4970*1940*1792,4970*1940*1792,4970*1940*1792
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,○,○,●,●,●,●,●,●
透明底盘/540度影像,-,-,-,-,-,-,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,,,,,,,,,,,,
轴距(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
轮圈材质,,,,,,,,,,,,
转向辅助灯,●,-,-,●,-,-,●,-,●,●,-,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,○,○,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,○,○,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,○,○,●,●,●,●,●,●
车载空气净化器,●,-,-,-,-,-,●,-,●,●,-,●
车载智能系统,,,,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,
车机智能芯片,-,-,-,-,-,-,,,,,,
车型名称,星途揽月 2021款 400T 四驱星尊Pro版 7座,星途揽月 2021款 400T 两驱星耀Pro版 7座,星途揽月 2021款 400T 四驱星耀Pro版 7座,星途揽月 2021款 400T 两驱星睿Pro版 7座,星途揽月 2022款 探享版 400T 两驱星享 5座,星途揽月 2022款 探享版 400T 四驱星享 5座,星途揽月 2023款 400T 四驱星睿版 7座,星途揽月 2023款 400T 四驱星耀版 7座,星途揽月 2023款 400T 两驱星睿版 6座,星途揽月 2023款 400T 四驱星尊版 6座,星途揽月 2023款 400T 两驱星耀版 7座,星途揽月 2023款 400T 四驱星尊版 7座
车前雾灯,,,,,,,,,,,,
车内香氛装置,-,-,-,-,-,-,-,-,-,●,-,●
车内生物监测系统,-,-,-,-,-,-,●,-,●,●,-,●
车内环境氛围灯,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,-,-,-,-,-,●,-,●,●,-,●
语音识别控制系统,,,,,,,,,,,,
记忆泊车,-,-,-,-,-,-,-,-,-,○,-,○
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,-,-,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,○,○,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,-,-,-,-,-,-,-,-,●,-,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,-,-,-,-,-,-,-,-,-,●,-,●
膝部气囊,-,-,-,-,-,-,-,-,-,●,-,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排独立座椅,-,-,-,-,-,-,-,-,●,●,-,-
第二排座椅调节,,,,,-,-,,,,,,
第二排座椅电动调节,-,-,-,-,-,-,-,-,●,●,-,-
第二排座椅功能,-,-,-,-,-,-,,-,,,-,
第三排座椅电动调节,-,-,-,-,-,-,-,-,-,●,-,●
空调温度控制方式,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),20,20,20,20,20,20,20,20,20,20,20,20
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,,,,,,,,,,,,
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,
油箱容积(L),65,65,65,65,65,65,65,65,65,65,65,65
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),195,200,195,200,200,195,195,195,200,195,200,195
最大马力(Ps),261,261,261,261,261,261,261,261,261,261,261,261
最大满载质量(kg),2457,2380,2457,2380,2380,2457,2445,2445,2445,2445,2445,2445
最大扭矩转速(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
最大扭矩(N·m)_y,400,400,400,400,400,400,400,400,400,400,400,400
最大扭矩(N·m)_x,400,400,400,400,400,400,400,400,400,400,400,400
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,192,192,192,192,192,192,192,192,192,192,192,192
最大功率(kW)_x,192,192,192,192,192,192,192,192,192,192,192,192
最大净功率(kW),183,183,183,183,183,183,183,183,183,183,183,183
无钥匙进入功能,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,
方向盘换挡,●,-,●,-,-,●,●,●,-,●,-,●
方向盘加热,-,-,-,-,-,-,●,-,●,●,-,●
方向盘位置调节,,,,,,,,,,,,
整车质保,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里
整备质量(kg),1908,1844,1908,1844,1770,1870,1920,1920,1840,1920,1840,1920
接近角(°),18,18,18,18,18,18,18,18,18,18,18,18
排量(mL),1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998
换挡形式,,,,,,,,,,,,
挡位个数,7,7,7,7,7,7,8,8,8,8,8,8
扬声器数量,,,,,,,,,,,,
扬声器品牌名称,,,,,,,-,,-,-,,-
手机无线充电功能,,,,,,,,,,,,
手机互联/映射,,,,,,,,,,,,
手机APP远程功能,-,-,-,-,-,-,,,,,,
手势控制,-,-,-,-,-,-,●,-,●,●,-,●
感应雨刷功能,,,,,,,,,,,,
感应后备厢,●,●,●,●,●,●,●,●,●,●,●,●
座椅材质,,,,,,,,,,,,
座椅布局,,,,,-,-,,,,,,
座位数(个),7,7,7,7,5,5,7,7,6,6,7,7
并线辅助,●,-,-,●,-,-,●,-,●,●,-,●
巡航系统,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●
多层隔音玻璃,,,,,,,,,,,,
多媒体/充电接口,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
地图品牌,,,,,,,,,,,,
四驱形式,适时四驱,-,适时四驱,-,-,适时四驱,适时四驱,适时四驱,-,适时四驱,-,适时四驱
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1623,1623,1623,1623,1623,1623,1644,1644,1644,1644,1644,1644
后轮胎规格,245/45 R20,235/55 R19,235/55 R19,245/45 R20,235/55 R19,235/55 R19,245/50 R20,245/50 R20,245/50 R20,245/50 R20,245/50 R20,245/50 R20
后方碰撞预警,●,-,-,●,-,-,●,-,●,●,-,●
后排独立空调,●,●,●,●,●,●,●,●,●,●,●,●
后排液晶屏幕,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●
后排控制多媒体,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动放倒,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,
后排小桌板,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-,-,-,-,-,-
可加热喷水嘴,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
