,30892,31180,31181,31182,31183,31184,31185,31186,31187,31188,33796,33797
自动泊车入位,●,-,-,-,-,-,-,-,-,●,-,-
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,●,-,●,●,●,●,●,●,●,●,●,●
全景天窗,●,-,●,●,●,●,●,●,●,●,●,●
多天窗,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙进入系统,●,●,●,●,●,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘电动调节,●,-,-,-,-,-,-,-,●,●,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,●,-,-,-,-,-,-,-,●,●,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-
HUD抬头数字显示,●,-,-,-,-,-,-,-,-,●,-,-
内置行车记录仪,●,-,-,-,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,真皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,真皮,真皮,仿皮,仿皮
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,●,-,-,●,●,-,●,●,●,●,-,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,●,-,-,-,-,-,-,-,-,●,-,-
后排座椅电动调节,●,-,-,-,-,-,-,-,-,●,-,-
副驾驶位后排可调节按钮,●,-,-,-,-,-,-,-,●,●,-,-
电动座椅记忆,●,-,-,-,-,-,-,-,●,●,-,-
前/后排座椅加热,前●&nbsp;/&nbsp;后●,-,-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后●,-,-
前/后排座椅通风,前●&nbsp;/&nbsp;后●,-,-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后●,-,-
前/后排座椅按摩,前●&nbsp;/&nbsp;后-,-,-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,-,-,●,●,-,●,●,●,●,-,●
定位互动服务,●,-,-,-,●,-,-,●,●,●,-,●
中控台彩色大屏,●,-,-,●,●,-,●,●,●,●,-,●
中控台彩色大屏尺寸,10.2英寸,-,-,8英寸,10.2英寸,-,8英寸,10.2英寸,10.2英寸,10.2英寸,-,10.2英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,-,-,●,●,-,●,●,●,●,-,●
手机互联/映射,●,-,-,-,●,-,-,●,●,●,-,●
车联网,●,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,Infinity燕飞利仕,-,-,-,-,-,-,-,Infinity燕飞利仕,Infinity燕飞利仕,-,-
扬声器数量,≥12喇叭,6-7喇叭,6-7喇叭,8-9喇叭,8-9喇叭,6-7喇叭,8-9喇叭,8-9喇叭,8-9喇叭,≥12喇叭,6-7喇叭,8-9喇叭
近光灯,LED,卤素,卤素,卤素,卤素,卤素,卤素,卤素,LED,LED,卤素,卤素
远光灯,卤素+LED,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素+LED,卤素+LED,卤素,卤素
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,●,-,●,●,●,●,●,●,●,●,●,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外-,-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,-,内●&nbsp;/&nbsp;外-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,-,-,-,-,-,-,●,●,●,-,●
后视镜记忆,●,-,-,-,-,-,-,-,●,●,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,●,●,●,●,●,●,●,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,●,-,-,-,-,-,-,-,-,●,-,-
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,-,-,-,-,-,-,-,-,●,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,博瑞 2017款 1.8T 旗舰4G版,博瑞 2017款 2.4L 标准型,博瑞 2017款 2.4L 舒适型,博瑞 2017款 2.4L 尊雅型,博瑞 2017款 2.4L 尊尚型,博瑞 2017款 1.8T 舒适型,博瑞 2017款 1.8T 尊雅型,博瑞 2017款 1.8T 尊尚型,博瑞 2017款 1.8T 尊贵型,博瑞 2017款 1.8T 旗舰型,博瑞 2018款  1.8T 舒适智领版,博瑞 2018款 1.8T 尊尚智领版
厂商指导价(元),17.98万,11.98万,12.98万,13.68万,13.88万,13.98万,14.68万,14.98万,15.68万,17.68万,14.48万,15.48万
厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2018.03,2018.03
最大功率(kW)_x,135,119,119,119,119,135,135,135,135,135,135,135
最大扭矩(N·m)_x,300,210,210,210,210,300,300,300,300,300,300,300
发动机,1.8T 184马力 L4,2.4L 162马力 L4,2.4L 162马力 L4,2.4L 162马力 L4,2.4L 162马力 L4,1.8T 184马力 L4,1.8T 184马力 L4,1.8T 184马力 L4,1.8T 184马力 L4,1.8T 184马力 L4,1.8T 184马力 L4,1.8T 184马力 L4
变速箱,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
长*宽*高(mm),4956*1861*1513,4956*1861*1513,4956*1861*1513,4956*1861*1513,4956*1861*1513,4956*1861*1513,4956*1861*1513,4956*1861*1513,4956*1861*1513,4956*1861*1513,4956*1861*1513,4956*1861*1513
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),210,210,210,210,210,210,210,210,210,210,210,210
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),9.01,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),39.69,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.8,8.4,8.4,8.4,8.4,7.8,7.8,7.8,7.8,7.8,7.8,7.8
实测油耗(L/100km),9.5,-,-,-,-,-,-,-,-,-,-,-
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
长度(mm),4956,4956,4956,4956,4956,4956,4956,4956,4956,4956,4956,4956
宽度(mm),1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861
高度(mm),1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513
轴距(mm),2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),130,130,130,130,130,130,130,130,130,130,130,130
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5
油箱容积(L),70,70,70,70,70,70,70,70,70,70,70,70
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1715,1661,1661,1661,1661,1655,1655,1715,1715,1715,1655,1715
发动机型号,JLE-4G18TDC,JLD-4G24,JLD-4G24,JLD-4G24,JLD-4G24,JLE-4G18TDC,JLE-4G18TDC,JLE-4G18TDC,JLE-4G18TDC,JLE-4G18TDC,JLE-4G18TDC,JLE-4G18TDC
排量(mL),1799,2378,2378,2378,2378,1799,1799,1799,1799,1799,1799,1799
进气形式,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),184,162,162,162,162,184,184,184,184,184,184,184
最大功率(kW)_y,135,119,119,119,119,135,135,135,135,135,135,135
最大功率转速(rpm),5500,5700,5700,5700,5700,5500,5500,5500,5500,5500,5500,5500
最大扭矩(N·m)_y,300,210,210,210,210,300,300,300,300,300,300,300
最大扭矩转速(rpm),1750-4000,4000-4500,4000-4500,4000-4500,4000-4500,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,直喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,6,6,6,6,6,6,6,6,6,6,6,6
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,235/45 R18,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17,235/45 R18,235/45 R18,215/55 R17,215/55 R17
后轮胎规格,235/45 R18,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17,235/45 R18,235/45 R18,215/55 R17,215/55 R17
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
