,27610,28363,28364,28365,32584,32585,32586,32587
侧滑门,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●
发动机电子防盗,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●
无钥匙启动系统,-,-,●,●,-,-,-,-
无钥匙进入系统,-,-,●,●,-,-,-,-
远程启动,-,-,-,-,-,-,-,-
皮质方向盘,-,-,●,●,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘电动调节,-,-,-,-,-,-,-,-
多功能方向盘,●,-,●,●,-,●,●,●
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-
座椅材质,皮/织物混搭,织物,皮/织物混搭(选装真皮),真皮,织物,皮/织物混搭,皮/织物混搭,皮/织物混搭
运动风格座椅,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●
腰部支撑调节,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-
第二排靠背角度调节,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,-,-,-
后排杯架,-,-,●,●,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-
GPS导航系统,-,-,●,●,-,-,-,-
道路救援呼叫,-,-,●,●,-,-,-,-
中控台彩色大屏,●,-,●,●,-,●,●,●
中控台彩色大屏尺寸,7英寸,-,7英寸,7英寸,-,7英寸,7英寸,7英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●
手机互联/映射,-,-,-,-,-,-,-,-
车联网,-,-,●,●,-,-,-,-
车载电视,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB
CD/DVD,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-
扬声器数量,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,●,-,●,●,-,●,●,●
自适应远近光,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●
后视镜加热,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●
感应雨刷,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车型名称,雪铁龙C3-XR 2018款 230THP 自动先锋型,雪铁龙C3-XR 2018款 1.6L 手动时尚型,雪铁龙C3-XR 2018款 230THP 自动智能型,雪铁龙C3-XR 2018款 350THP 自动旗舰型,雪铁龙C3-XR 2018款 1.6L 自动时尚型,雪铁龙C3-XR 2018款 1.6L 手动先锋型,雪铁龙C3-XR 2018款 1.6L 自动先锋型,雪铁龙C3-XR 2018款 230THP 手动先锋型
厂商指导价(元),13.98万,10.88万,14.98万,17.18万,11.88万,11.78万,12.78万,12.78万
厂商,东风雪铁龙,东风雪铁龙,东风雪铁龙,东风雪铁龙,东风雪铁龙,东风雪铁龙,东风雪铁龙,东风雪铁龙
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2017.11,2017.11,2017.11,2017.11,2017.11,2017.11,2017.11,2017.11
最大功率(kW)_x,100,86,100,123,86,86,86,100
最大扭矩(N·m)_x,230,150,230,245,150,150,150,230
发动机,1.2T 136马力 L3,1.6L 117马力 L4,1.2T 136马力 L3,1.6T 167马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.2T 136马力 L3
变速箱,6挡手自一体,5挡手动,6挡手自一体,6挡手自一体,6挡手自一体,5挡手动,6挡手自一体,5挡手动
长*宽*高(mm),4262*1748*1557,4262*1748*1557,4262*1748*1557,4262*1748*1557,4262*1748*1557,4262*1748*1557,4262*1748*1557,4262*1748*1557
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),196,179,196,209,180,179,180,190
官方0-100km/h加速(s),-,-,-,-,-,-,-,-
实测0-100km/h加速(s),9.32,-,-,-,-,-,-,-
实测100-0km/h制动(m),39.8,-,-,-,-,-,-,-
工信部综合油耗(L/100km),5.4,6.8,5.4,6.2,6.4,6.8,6.4,5.3
实测油耗(L/100km),6.7,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4262,4262,4262,4262,4262,4262,4262,4262
宽度(mm),1748,1748,1748,1748,1748,1748,1748,1748
高度(mm),1557,1557,1557,1557,1557,1557,1557,1557
轴距(mm),2655,2655,2655,2655,2655,2655,2655,2655
前轮距(mm),-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5
油箱容积(L),53,53,53,53,53,53,53,53
行李厢容积(L),357,357,357,357,357,357,357,357
整备质量(kg),1235,1210,1235,1270,1260,1210,1260,1200
发动机型号,-,-,-,-,-,-,-,-
排量(mL),1199,1587,1199,1598,1587,1587,1587,1199
进气形式,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L
气缸数(个),3,4,3,4,4,4,4,3
每缸气门数(个),4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-
最大马力(Ps),136,117,136,167,117,117,117,136
最大功率(kW)_y,100,86,100,123,86,86,86,100
最大功率转速(rpm),5500,6000,5500,6000,6000,6000,6000,5500
最大扭矩(N·m)_y,230,150,230,245,150,150,150,230
最大扭矩转速(rpm),1750-3500,4000,1750-3500,1400-4000,4000,4000,4000,1750-3500
发动机特有技术,连续可变正时气门,连续可变正时气门,连续可变正时气门,连续可变正时气门,连续可变正时气门,连续可变正时气门,连续可变正时气门,连续可变正时气门
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,直喷,多点电喷,直喷,直喷,多点电喷,多点电喷,多点电喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铸铁,铝合金,铝合金,铸铁,铸铁,铸铁,铝合金
环保标准,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,6,5,6,6,6,5,6,5
变速箱类型,手自一体变速箱(AT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手自一体变速箱(AT),手动变速箱(MT)
简称,6挡手自一体,5挡手动,6挡手自一体,6挡手自一体,6挡手自一体,5挡手动,6挡手自一体,5挡手动
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,205/60 R16,205/65 R15,205/60 R16,205/60 R16,205/65 R15,205/60 R16,205/60 R16,205/60 R16
后轮胎规格,205/60 R16,205/65 R15,205/60 R16,205/60 R16,205/65 R15,205/60 R16,205/60 R16,205/60 R16
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
