Feature,1007653,1007654,1007655,1007656,1007657,1007658,1007659,1007660,1007661,1007662,1007663,1007664
高度(mm),1800,1800,1758,1758,1830,1830,1830,1730,1730,1830,1730,1730
驾驶辅助影像,,-,,-,,,-,,-,-,,-
驱动方式,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490
长*宽*高(mm),5490×1775×1800,5490×1775×1800,5490×1775×1758,5490×1775×1758,5490×1775×1830,5490×1775×1830,5490×1775×1830,5490×1775×1730,5490×1775×1730,5490×1775×1830,5490×1775×1730,5490×1775×1730
钥匙类型,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380
轮圈材质,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,大力神K5 2019款 2.5T柴油四驱精英型XD25T5,大力神K5 2019款 2.5T柴油四驱豪华型XD25T5,大力神K5 2019款 2.5T柴油两驱精英型XD25T5,大力神K5 2019款 2.5T柴油两驱豪华型XD25T5,大力神K5 2019款 2.2L汽油四驱精英型V22,大力神K5 2019款 2.2L汽油四驱精英型（京五）V22,大力神K5 2019款 2.2L汽油四驱豪华型（京五）V22,大力神K5 2019款 2.2L汽油两驱精英型（京五）V22,大力神K5 2019款 2.2L汽油两驱豪华型（京五）V22,大力神K5 2019款 2.2L汽油四驱豪华型V22,大力神K5 2019款 2.2L汽油两驱精英型V22,大力神K5 2019款 2.2L汽油两驱豪华型V22
车前雾灯,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1735x1465x475,1735x1465x475,1735x1465x475,1735x1465x475,1735x1465x475,1735x1465x475,1735x1465x475,1735x1465x475,1735x1465x475,1735x1465x475,1735x1465x475,1735x1465x475
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,-,●,-,●,●,-,●,-,-,●,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-
